zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00633, 0.41431, 0.00059, 0.00034, 0.00646, 14.44880, 0.23681, 0.00000, 15.11365, 6617
0.99, 2500, 24, 2, 100000, 0, 0.00404, 0.00615, 0.00039, 0.03136, 0.00646, 0.10013, 0.00554, 0.00000, 0.15406, 649106
0.99, 2500, 24, 3, 100000, 0, 0.00398, 0.00518, 0.00061, 0.03506, 0.00583, 0.08940, 0.00523, 0.00000, 0.14529, 688292
0.99, 2500, 24, 4, 100000, 0, 0.00397, 0.00533, 0.00060, 0.03392, 0.00518, 0.08120, 0.00471, 0.00000, 0.13492, 741167
0.99, 2500, 24, 5, 100000, 0, 0.00388, 0.00519, 0.00060, 0.03395, 0.00496, 0.07114, 0.00474, 0.00000, 0.12445, 803540
0.99, 2500, 24, 6, 100000, 0, 0.00390, 0.00455, 0.00060, 0.03375, 0.00447, 0.06309, 0.00445, 0.00000, 0.11482, 870915
0.99, 2500, 24, 7, 100000, 0, 0.00391, 0.00467, 0.00060, 0.03395, 0.00418, 0.05438, 0.00445, 0.00000, 0.10615, 942095
0.99, 2500, 24, 8, 100000, 0, 0.00390, 0.00506, 0.00050, 0.03462, 0.00422, 0.04425, 0.00448, 0.00000, 0.09705, 1030360
0.99, 2500, 24, 9, 100000, 0, 0.00391, 0.00489, 0.00062, 0.03449, 0.00427, 0.03681, 0.00420, 0.00000, 0.08918, 1121330
0.99, 2500, 24, 10, 100000, 0, 0.00390, 0.00461, 0.00060, 0.03380, 0.00462, 0.02659, 0.00461, 0.00000, 0.07873, 1270207
0.99, 2500, 24, 11, 100000, 0, 0.00385, 0.00458, 0.00062, 0.03391, 0.00466, 0.01827, 0.00483, 0.00000, 0.07071, 1414171
0.99, 2500, 24, 12, 100000, 0, 0.00388, 0.00459, 0.00062, 0.03388, 0.00472, 0.01299, 0.00453, 0.00000, 0.06521, 1533419
0.99, 2500, 24, 13, 100000, 0, 0.00390, 0.00453, 0.00061, 0.03395, 0.00438, 0.01193, 0.00436, 0.00000, 0.06366, 1570760
0.99, 2500, 24, 14, 100000, 0, 0.00388, 0.00463, 0.00060, 0.03399, 0.00467, 0.01104, 0.00479, 0.00000, 0.06361, 1572118
0.99, 2500, 24, 15, 100000, 0, 0.00387, 0.00461, 0.00061, 0.03409, 0.00489, 0.01064, 0.00479, 0.00000, 0.06349, 1575022
0.99, 2500, 24, 16, 100000, 0, 0.00389, 0.00466, 0.00061, 0.02844, 0.00448, 0.01003, 0.00554, 0.00000, 0.05764, 1734933
0.99, 2500, 24, 17, 100000, 0, 0.00388, 0.00451, 0.00062, 0.02840, 0.00471, 0.00998, 0.00490, 0.00000, 0.05699, 1754843
0.99, 2500, 24, 18, 100000, 0, 0.00387, 0.00482, 0.00062, 0.02308, 0.00449, 0.00961, 0.00451, 0.00000, 0.05100, 1960939
0.99, 2500, 24, 19, 100000, 0, 0.00387, 0.00466, 0.00061, 0.02008, 0.00422, 0.00976, 0.00482, 0.00000, 0.04803, 2081991
0.99, 2500, 24, 20, 100000, 0, 0.00392, 0.00512, 0.00061, 0.02182, 0.00464, 0.00939, 0.00458, 0.00000, 0.05007, 1997021
