zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 12, 1, 100000, 9491, 0.02835, 0.99984, 0.00026, 0.00017, 0.08534, 7.22456, 0.31584, 0.00000, 8.65435, 11555
0.99, 2500, 12, 2, 100000, 8961, 0.01937, 0.02223, 0.00020, 0.02903, 0.09300, 0.08444, 0.03047, 0.00000, 0.27873, 358772
0.99, 2500, 12, 3, 100000, 7879, 0.01610, 0.02708, 0.00020, 0.03051, 0.07649, 0.07431, 0.02629, 0.00000, 0.25099, 398426
0.99, 2500, 12, 4, 100000, 7188, 0.01534, 0.01386, 0.00020, 0.02814, 0.07005, 0.06787, 0.02425, 0.00000, 0.21972, 455116
0.99, 2500, 12, 5, 100000, 6268, 0.01527, 0.01397, 0.00020, 0.02830, 0.06229, 0.05939, 0.02159, 0.00000, 0.20103, 497438
0.99, 2500, 12, 6, 100000, 5584, 0.01796, 0.01450, 0.00020, 0.02980, 0.05796, 0.05285, 0.01845, 0.00000, 0.19173, 521567
0.99, 2500, 12, 7, 100000, 4838, 0.01499, 0.01378, 0.00020, 0.02872, 0.04951, 0.04575, 0.01639, 0.00000, 0.16935, 590478
0.99, 2500, 12, 8, 100000, 3954, 0.01489, 0.01462, 0.00020, 0.02844, 0.04032, 0.03746, 0.01355, 0.00000, 0.14948, 668976
0.99, 2500, 12, 9, 100000, 3202, 0.01470, 0.02758, 0.00020, 0.03078, 0.03201, 0.03053, 0.01177, 0.00000, 0.14757, 677628
0.99, 2500, 12, 10, 100000, 2337, 0.01460, 0.02635, 0.00020, 0.03164, 0.02167, 0.02237, 0.00943, 0.00000, 0.12627, 791934
0.99, 2500, 12, 11, 100000, 1523, 0.01438, 0.01371, 0.00021, 0.02823, 0.01302, 0.01470, 0.00717, 0.00000, 0.09141, 1094015
0.99, 2500, 12, 12, 100000, 1278, 0.01415, 0.01388, 0.00021, 0.02842, 0.01128, 0.01239, 0.00614, 0.00000, 0.08647, 1156485
0.99, 2500, 12, 13, 100000, 1201, 0.02648, 0.02198, 0.00026, 0.02932, 0.01103, 0.01166, 0.00579, 0.00000, 0.10652, 938797
0.99, 2500, 12, 14, 100000, 1181, 0.01416, 0.02686, 0.00020, 0.02927, 0.01075, 0.01148, 0.00578, 0.00000, 0.09851, 1015116
0.99, 2500, 12, 15, 100000, 1065, 0.01418, 0.02631, 0.00021, 0.03159, 0.00961, 0.01045, 0.00522, 0.00000, 0.09756, 1025033
0.99, 2500, 12, 16, 100000, 937, 0.01422, 0.02787, 0.00021, 0.03036, 0.00905, 0.00913, 0.00503, 0.00000, 0.09587, 1043075
0.99, 2500, 12, 17, 100000, 904, 0.01399, 0.02497, 0.00021, 0.03261, 0.00826, 0.00883, 0.00477, 0.00000, 0.09363, 1067991
0.99, 2500, 12, 18, 100000, 857, 0.01408, 0.01376, 0.00021, 0.02541, 0.00755, 0.00842, 0.00445, 0.00000, 0.07387, 1353671
0.99, 2500, 12, 19, 100000, 844, 0.01404, 0.01374, 0.00021, 0.02549, 0.00720, 0.00838, 0.00468, 0.00000, 0.07373, 1356275
0.99, 2500, 12, 20, 100000, 849, 0.01402, 0.01369, 0.00021, 0.01721, 0.00805, 0.00813, 0.00477, 0.00000, 0.06608, 1513281
