zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00706, 0.40311, 0.00058, 0.00053, 0.00639, 9.34936, 0.23575, 0.00000, 10.00279, 9997
0.99, 2500, 24, 2, 100000, 0, 0.00374, 0.00816, 0.00031, 0.03257, 0.00719, 0.10019, 0.00744, 0.00000, 0.15959, 626609
0.99, 2500, 24, 3, 100000, 0, 0.00371, 0.00794, 0.00058, 0.03423, 0.00548, 0.08873, 0.00576, 0.00000, 0.14643, 682912
0.99, 2500, 24, 4, 100000, 0, 0.00373, 0.00585, 0.00058, 0.03435, 0.00597, 0.08076, 0.00521, 0.00000, 0.13645, 732859
0.99, 2500, 24, 5, 100000, 0, 0.00411, 0.00556, 0.00059, 0.03418, 0.00498, 0.07121, 0.00522, 0.00000, 0.12585, 794615
0.99, 2500, 24, 6, 100000, 0, 0.00407, 0.00539, 0.00058, 0.03405, 0.00475, 0.06280, 0.00487, 0.00000, 0.11652, 858222
0.99, 2500, 24, 7, 100000, 0, 0.00370, 0.00528, 0.00058, 0.03404, 0.00444, 0.05334, 0.00498, 0.00000, 0.10637, 940092
0.99, 2500, 24, 8, 100000, 0, 0.00376, 0.00745, 0.00058, 0.03553, 0.00467, 0.04494, 0.00461, 0.00000, 0.10154, 984823
0.99, 2500, 24, 9, 100000, 0, 0.00377, 0.00505, 0.00059, 0.03414, 0.00495, 0.03629, 0.00521, 0.00000, 0.09000, 1111099
0.99, 2500, 24, 10, 100000, 0, 0.00366, 0.00525, 0.00059, 0.03422, 0.00504, 0.02750, 0.00532, 0.00000, 0.08158, 1225783
0.99, 2500, 24, 11, 100000, 0, 0.00375, 0.00514, 0.00059, 0.03408, 0.00480, 0.01832, 0.00557, 0.00000, 0.07225, 1383989
