zipfian_const, num_dpus, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}, send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], total_time, throughput
0, 2048, 10, 0, 20480, 50000000, 0, 50000000, 0, 0.09468, 0.00023, 0.26328, 0.088, 0.35796, 189908288
0, 2048, 10, 1, 20480, 50000000, 4718, 49995282, 0, 0.09865, 0.00143, 0.26416, 0.541, 0.36282, 189275648
0, 2048, 10, 2, 20480, 50000000, 9500, 49990500, 0, 0.10808, 0.00148, 0.26297, 0.562, 0.37106, 190132848
0, 2048, 10, 4, 20480, 50000000, 19442, 49980558, 0, 0.11208, 0.00147, 0.26413, 0.557, 0.37621, 189302160
0, 2048, 10, 8, 20480, 50000000, 38924, 49961076, 0, 0.09923, 0.00377, 0.26468, 1.425, 0.36391, 188906640
0, 2048, 10, 16, 20480, 50000000, 77788, 49922212, 0, 0.09354, 0.00561, 0.26411, 2.126, 0.35765, 189316496
0, 2048, 10, 32, 20480, 50000000, 155342, 49844658, 0, 0.09834, 0.00937, 0.26223, 3.572, 0.36056, 190675952
0, 2048, 10, 64, 20480, 50000000, 310462, 49689538, 0, 0.09440, 0.01896, 0.25862, 7.330, 0.35303, 193330864
0, 2048, 10, 128, 20480, 50000000, 503780, 49496220, 1, 0.05455, 0.04029, 0.13349, 30.183, 0.18804, 374554304
0, 2048, 10, 256, 20480, 50000000, 808156, 49191844, 1, 0.07043, 0.07461, 0.13190, 56.567, 0.20233, 379072192
0, 2048, 10, 512, 20480, 50000000, 1408462, 48591538, 2, 0.05940, 0.11544, 0.14026, 82.305, 0.19966, 356473184
0, 2048, 10, 1024, 20480, 50000000, 2562702, 47437298, 5, 0.05326, 0.21239, 0.21279, 99.810, 0.26606, 234969024
