zipfian_const, num_dpus, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}, send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], total_time, throughput
1.2, 2048, 10, 0, 20480, 50000000, 0, 50000000, 0, 0.93023, 0.00031, 10.35963, 0.003, 11.28985, 4826429
1.2, 2048, 10, 1, 20480, 50000000, 158098, 49841902, 0, 0.92246, 0.04537, 10.35036, 0.438, 11.27282, 4830752
1.2, 2048, 10, 2, 20480, 50000000, 316010, 49683990, 0, 0.93577, 0.04412, 10.35850, 0.426, 11.29427, 4826952
1.2, 2048, 10, 4, 20480, 50000000, 633740, 49366260, 1, 0.91349, 0.04767, 10.35122, 0.461, 11.26471, 4830350
1.2, 2048, 10, 8, 20480, 50000000, 1269260, 48730740, 2, 0.96896, 0.06744, 10.35152, 0.652, 11.32048, 4830209
1.2, 2048, 10, 16, 20480, 50000000, 2536042, 47463958, 5, 0.91131, 0.08722, 10.34807, 0.843, 11.25938, 4831817
1.2, 2048, 10, 32, 20480, 50000000, 5070648, 44929352, 10, 0.89884, 0.24589, 10.33083, 2.380, 11.22967, 4839883
1.2, 2048, 10, 64, 20480, 50000000, 10125106, 39874894, 20, 0.96559, 0.71122, 10.28084, 6.918, 11.24642, 4863418
1.2, 2048, 10, 128, 20480, 50000000, 15948026, 34051974, 31, 0.64460, 1.13599, 4.22626, 26.879, 4.87086, 11830799
1.2, 2048, 10, 256, 20480, 50000000, 22622728, 27377272, 45, 0.47892, 2.12714, 2.15222, 98.835, 2.63114, 23231838
1.2, 2048, 10, 512, 20480, 50000000, 28618054, 21381946, 57, 0.26940, 2.23782, 2.23837, 99.975, 2.50777, 22337672
1.2, 2048, 10, 1024, 20480, 50000000, 33738364, 16261636, 67, 0.12331, 2.39389, 2.39452, 99.974, 2.51783, 20881030
