read_write, num_redundant_DPUs, zipfian_const, num_dpus, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}, send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], total_time, throughput
50_50, 128, 0, 2048, 10, 256, 19328, 50000000, 808156, 49191844, 1, 0.05838, 0.06244, 0.33244, 18.782, 0.39082, 150403984
50_50, 0, 0, 2048, 10, 256, 20480, 50000000, 808156, 49191844, 1, 0.07043, 0.07461, 0.13190, 56.567, 0.20233, 379072192
95_5, 128, 2048, 10, 256, 19328, 50000000, 811320, 49188680, 1, 0.01212, 0.06560, 0.10187, 64.399, 0.11399, 490826464
95_5, 0, 2048, 10, 256, 20480, 50000000, 811320, 49188680, 1, 0.01132, 0.04557, 0.10178, 44.774, 0.11310, 491255648
50_50, 128, 0.99, 2048, 10, 256, 19328, 50000000, 15454176, 34545824, 30, 0.47691, 1.26805, 4.16220, 30.466, 4.63910, 12012889
50_50, 0, 0.99, 2048, 10, 256, 20480, 50000000, 15454176, 34545824, 30, 0.43964, 1.23629, 1.65660, 74.628, 2.09624, 30182302
95_5, 128, 0.99, 2048, 10, 256, 19328, 50000000, 15437480, 34562520, 30, 0.06071, 0.14651, 1.29969, 11.273, 1.36039, 38470832
95_5, 0, 0.99, 2048, 10, 256, 20480, 50000000, 15437480, 34562520, 30, 0.06517, 0.13898, 1.29984, 10.692, 1.36500, 38466332
50_50, 128, 1.2, 2048, 10, 256, 19328, 50000000, 22622728, 27377272, 45, 0.48545, 2.01930, 5.04056, 40.061, 5.52600, 9919543
50_50, 0, 1.2, 2048, 10, 256, 20480, 50000000, 22622728, 27377272, 45, 0.47892, 2.12714, 2.15222, 98.835, 2.63114, 23231838
95_5, 128, 1.2, 2048, 10, 256, 19328, 50000000, 22604440, 27395560, 45, 0.07356, 0.19952, 1.57118, 12.699, 1.64474, 31823194
95_5, 0, 1.2, 2048, 10, 256, 20480, 50000000, 22604440, 27395560, 45, 0.07583, 0.21378, 1.57122, 13.606, 1.64705, 31822486

