zipfian_const, num_dpus, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}, send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], total_time, throughput
1.2, 2048, 10, 0, 20480, 50000000, 0, 50000000, 0, 4.94428, 0.00071, 38.45368, 0.002, 43.39796, 1300266
1.2, 2048, 10, 1, 20480, 50000000, 1112016, 48887984, 2, 4.56122, 0.28803, 32.64367, 0.882, 37.20489, 1531690
1.2, 2048, 10, 4, 20480, 50000000, 4441976, 45558024, 8, 3.89819, 0.41039, 30.55493, 1.343, 34.45312, 1636397
1.2, 2048, 10, 8, 20480, 50000000, 8880168, 41119832, 17, 2.90842, 0.50334, 30.47635, 1.652, 33.38477, 1640617
1.2, 2048, 10, 16, 20480, 50000000, 13996536, 36003464, 27, 2.15898, 0.61458, 24.70795, 2.487, 26.86693, 2023640
1.2, 2048, 10, 32, 20480, 50000000, 19932054, 30067946, 39, 1.40883, 1.00492, 14.68366, 6.844, 16.09249, 3405146
1.2, 2048, 10, 64, 20480, 50000000, 25322332, 24677668, 50, 1.05916, 1.50657, 6.57467, 22.915, 7.63382, 7604950
1.2, 2048, 10, 128, 20480, 50000000, 29983906, 20016094, 59, 0.73436, 2.07108, 2.87410, 72.060, 3.60846, 17396744
1.2, 2048, 10, 256, 20480, 50000000, 34013394, 15986606, 68, 0.38489, 2.45554, 2.45640, 99.965, 2.84129, 20355024
1.2, 2048, 10, 512, 20480, 50000000, 37493124, 12506876, 74, 0.19635, 2.58376, 2.58464, 99.966, 2.78100, 19345024
1.2, 2048, 10, 1024, 20480, 50000000, 40487752, 9512248, 80, 0.09892, 2.95655, 2.95746, 99.969, 3.05638, 16906422
