zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
0.99, 1, 2047, 10, 16, 20471, 100000000, 15321446, 84678554, 15, 1.04832, 0.64685, 12.86621, 5.03, 13.91452, 30.68571, 7772297
0.99, 16, 2032, 10, 16, 20336, 100000000, 15384132, 84615868, 15, 1.12643, 0.86585, 7.12753, 12.15, 8.25396, 24.57045, 14030109
0.99, 64, 1984, 10, 16, 19904, 100000000, 15591242, 84408758, 15, 1.15397, 0.78617, 2.90725, 27.04, 4.06123, 19.66261, 34396720
0.99, 256, 1792, 10, 16, 18176, 100000000, 16517314, 83482686, 16, 1.34221, 0.81107, 0.88860, 91.27, 2.23081, 18.53544, 112536304
0.99, 512, 1536, 10, 16, 15872, 100000000, 17988320, 82011680, 17, 1.22976, 0.87269, 0.87449, 99.79, 2.10425, 17.03561, 114351832
0.99, 1024, 1024, 10, 16, 11264, 100000000, 21913800, 78086200, 21, 1.41395, 1.33698, 1.33936, 99.82, 2.75330, 19.00841, 74662640
0.99, 1536, 512, 10, 16, 6656, 100000000, 28020104, 71979896, 28, 1.46404, 2.11332, 2.11574, 99.89, 3.57978, 18.03138, 47264856
0.99, 2047, 1, 10, 16, 2057, 100000000, 41641874, 58358126, 41, 1.24144, 6.71338, 6.71585, 99.96, 7.95730, 23.16754, 14890142
0.99, 1, 2047, 10, 32, 20471, 100000000, 23005616, 76994384, 23, 0.62424, 1.22189, 7.06575, 17.29, 7.68999, 24.01939, 14152774
0.99, 16, 2032, 10, 32, 20336, 100000000, 23075844, 76924156, 23, 0.65582, 1.25944, 5.40039, 23.32, 6.05621, 21.15890, 18517180
0.99, 64, 1984, 10, 32, 19904, 100000000, 23308180, 76691820, 23, 0.67809, 1.42054, 2.53560, 56.02, 3.21369, 18.31755, 39438456
0.99, 256, 1792, 10, 32, 18176, 100000000, 24345258, 75654742, 24, 0.82678, 1.36221, 1.36412, 99.86, 2.19089, 18.42931, 73307552
0.99, 512, 1536, 10, 32, 15872, 100000000, 25984722, 74015278, 25, 0.73070, 1.49189, 1.49380, 99.87, 2.22450, 17.25877, 66943368
