zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
0, 1, 2047, 10, 16, 20471, 100000000, 127392, 99872608, 0, 0.13079, 0.01891, 0.28873, 6.55, 0.41952, 17.71796, 346339520
0, 16, 2032, 10, 16, 20336, 100000000, 127882, 99872118, 0, 0.12591, 0.02644, 0.28877, 9.16, 0.41468, 17.15745, 346295168
0, 64, 1984, 10, 16, 19904, 100000000, 129534, 99870466, 0, 0.12868, 0.02205, 0.29524, 7.47, 0.42391, 16.55071, 338710944
0, 256, 1792, 10, 16, 18176, 100000000, 137018, 99862982, 0, 0.18306, 0.02497, 0.32343, 7.72, 0.50649, 17.53216, 309182080
0, 512, 1536, 10, 16, 15872, 100000000, 149568, 99850432, 0, 0.21270, 0.03279, 0.36926, 8.88, 0.58196, 15.97986, 270810400
0, 1024, 1024, 10, 16, 11264, 100000000, 190574, 99809426, 0, 0.26530, 0.02855, 0.52734, 5.41, 0.79264, 17.50211, 189632416
0, 1536, 512, 10, 16, 6656, 100000000, 289126, 99710874, 0, 0.42206, 0.02375, 0.89863, 2.64, 1.32069, 16.30361, 111281000
0, 2047, 1, 10, 16, 2057, 100000000, 818646, 99181354, 0, 0.87899, 0.04968, 2.92245, 1.70, 3.80144, 19.66485, 34217844
0, 1, 2047, 10, 32, 20471, 100000000, 204782, 99795218, 0, 0.12231, 0.04180, 0.28668, 14.58, 0.40899, 17.32390, 348824672
0, 16, 2032, 10, 32, 20336, 100000000, 205854, 99794146, 0, 0.12592, 0.03983, 0.28838, 13.81, 0.41430, 15.91525, 346764704
0, 64, 1984, 10, 32, 19904, 100000000, 209272, 99790728, 0, 0.15749, 0.04193, 0.29470, 14.23, 0.45219, 16.00034, 339330432
0, 256, 1792, 10, 32, 18176, 100000000, 224536, 99775464, 0, 0.17155, 0.04769, 0.32117, 14.85, 0.49273, 17.55423, 311359648
0, 512, 1536, 10, 32, 15872, 100000000, 250040, 99749960, 0, 0.19236, 0.04744, 0.37091, 12.79, 0.56327, 16.05725, 269605728
0, 1024, 1024, 10, 32, 11264, 100000000, 332712, 99667288, 0, 0.26540, 0.05077, 0.52632, 9.65, 0.79172, 16.12225, 189999200
0, 1536, 512, 10, 32, 6656, 100000000, 527438, 99472562, 0, 0.44058, 0.04398, 0.89516, 4.91, 1.33574, 16.34555, 111711992
0, 2047, 1, 10, 32, 2057, 100000000, 1579176, 98420824, 1, 0.90906, 0.07271, 2.90580, 2.50, 3.81486, 18.78352, 34413900
0, 1, 2047, 10, 64, 20471, 100000000, 360452, 99639548, 0, 0.12211, 0.05363, 0.28886, 18.57, 0.41096, 16.43331, 346192096
0, 16, 2032, 10, 64, 20336, 100000000, 362604, 99637396, 0, 0.12600, 0.06552, 0.28879, 22.69, 0.41479, 16.38382, 346272352
0, 64, 1984, 10, 64, 19904, 100000000, 369334, 99630666, 0, 0.12876, 0.06603, 0.29577, 22.33, 0.42452, 17.82022, 338105152
0, 256, 1792, 10, 64, 18176, 100000000, 399756, 99600244, 0, 0.15932, 0.08927, 0.32217, 27.71, 0.48150, 16.32695, 310392224
0, 512, 1536, 10, 64, 15872, 100000000, 450998, 99549002, 0, 0.19456, 0.09451, 0.36875, 25.63, 0.56331, 16.40835, 271182784
0, 1024, 1024, 10, 64, 11264, 100000000, 613320, 99386680, 0, 0.26800, 0.10365, 0.52291, 19.82, 0.79091, 17.96819, 191236032
0, 1536, 512, 10, 64, 6656, 100000000, 998798, 99001202, 0, 0.44284, 0.08471, 0.89193, 9.50, 1.33477, 16.79070, 112116672
0, 2047, 1, 10, 64, 2057, 100000000, 3062196, 96937804, 3, 0.89493, 0.11677, 2.85503, 4.09, 3.74996, 18.83697, 35025952
0, 1, 2047, 10, 256, 20471, 100000000, 1282304, 98717696, 1, 0.12315, 0.19938, 0.28468, 70.04, 0.40782, 17.83319, 351276512
0, 16, 2032, 10, 256, 20336, 100000000, 1290454, 98709546, 1, 0.12797, 0.18963, 0.28537, 66.45, 0.41334, 17.84541, 350423488
0, 64, 1984, 10, 256, 19904, 100000000, 1316944, 98683056, 1, 0.14074, 0.24362, 0.29096, 83.73, 0.43170, 16.43151, 343687488
0, 256, 1792, 10, 256, 18176, 100000000, 1436672, 98563328, 1, 0.18453, 0.23235, 0.31842, 72.97, 0.50296, 18.08820, 314050624
0, 512, 1536, 10, 256, 15872, 100000000, 1634350, 98365650, 1, 0.24142, 0.22688, 0.36509, 62.14, 0.60651, 16.67475, 273905824
0, 1024, 1024, 10, 256, 11264, 100000000, 2268978, 97731022, 2, 0.26188, 0.21002, 0.51341, 40.91, 0.77530, 17.93483, 194774208
0, 1536, 512, 10, 256, 6656, 100000000, 3748048, 96251952, 3, 0.46268, 0.21640, 0.86759, 24.94, 1.33027, 16.95847, 115262344
0, 2047, 1, 10, 256, 2057, 100000000, 11112060, 88887940, 11, 0.80293, 0.45819, 2.61483, 17.52, 3.41776, 18.53016, 38243432
0, 1, 2047, 10, 512, 20471, 100000000, 2486084, 97513916, 2, 0.12747, 0.40924, 0.41091, 99.60, 0.53838, 16.64394, 243365232
0, 16, 2032, 10, 512, 20336, 100000000, 2501656, 97498344, 2, 0.12621, 0.35899, 0.36067, 99.53, 0.48688, 16.38259, 277261728
0, 64, 1984, 10, 512, 19904, 100000000, 2553686, 97446314, 2, 0.13909, 0.36935, 0.37115, 99.52, 0.51024, 16.44520, 269429920
0, 256, 1792, 10, 512, 18176, 100000000, 2784694, 97215306, 2, 0.16142, 0.39606, 0.39785, 99.55, 0.55927, 16.63405, 251347856
0, 512, 1536, 10, 512, 15872, 100000000, 3170080, 96829920, 3, 0.18941, 0.36012, 0.37083, 97.11, 0.56025, 17.65609, 269662432
0, 1024, 1024, 10, 512, 11264, 100000000, 4391446, 95608554, 4, 0.25972, 0.41175, 0.50291, 81.87, 0.76262, 17.91968, 198844304
0, 1536, 512, 10, 512, 6656, 100000000, 7184724, 92815276, 7, 0.43621, 0.50756, 0.86991, 58.35, 1.30612, 18.09651, 114954552
0, 2047, 1, 10, 512, 2057, 100000000, 19972212, 80027788, 19, 0.72441, 0.86044, 2.34746, 36.65, 3.07187, 18.21124, 42599216
0, 1, 2047, 10, 1024, 20471, 100000000, 4807140, 95192860, 4, 0.12580, 0.66599, 0.66777, 99.73, 0.79357, 16.81227, 149751920
0, 16, 2032, 10, 1024, 20336, 100000000, 4837276, 95162724, 4, 0.12230, 0.67153, 0.67342, 99.72, 0.79573, 16.71865, 148494848
0, 64, 1984, 10, 1024, 19904, 100000000, 4936046, 95063954, 4, 0.12937, 0.57507, 0.57682, 99.70, 0.70619, 16.65565, 173364320
0, 256, 1792, 10, 1024, 18176, 100000000, 5375538, 94624462, 5, 0.15655, 0.56879, 0.57046, 99.71, 0.72701, 17.99248, 175296816
0, 512, 1536, 10, 1024, 15872, 100000000, 6103616, 93896384, 6, 0.18315, 0.63854, 0.64034, 99.72, 0.82349, 16.83666, 156167536
