zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.6, 2500, 24, 0, 1000000, 14624, 1.65108, 0.43982, 0.06725, 0.12139, 2.27954, 438685
0.6, 2500, 24, 1, 1000000, 13020, 1.63911, 0.05178, 0.05844, 0.10904, 1.85837, 538107
0.6, 2500, 24, 2, 1000000, 11315, 1.65015, 0.05186, 0.05105, 0.07421, 1.82727, 547265
0.6, 2500, 24, 3, 1000000, 9719, 1.65841, 0.05477, 0.04744, 0.07147, 1.83209, 545826
0.6, 2500, 24, 4, 1000000, 7944, 1.65130, 0.06106, 0.03833, 0.06728, 1.81798, 550061
0.6, 2500, 24, 5, 1000000, 6470, 1.63445, 0.05225, 0.03127, 0.06387, 1.78184, 561218
0.6, 2500, 24, 6, 1000000, 4857, 1.65212, 0.05315, 0.02470, 0.06123, 1.79121, 558283
0.6, 2500, 24, 7, 1000000, 3257, 1.62958, 0.05185, 0.01762, 0.05646, 1.75551, 569636
0.6, 2500, 24, 8, 1000000, 3185, 1.64581, 0.05811, 0.01736, 0.05367, 1.77495, 563395
0.6, 2500, 24, 9, 1000000, 3264, 1.63474, 0.05033, 0.01811, 0.05045, 1.75363, 570246
0.6, 2500, 24, 10, 1000000, 3358, 1.65913, 0.05920, 0.01825, 0.04704, 1.78362, 560656
0.6, 2500, 24, 11, 1000000, 3199, 1.63160, 0.04854, 0.01846, 0.04403, 1.74264, 573842
0.6, 2500, 24, 12, 1000000, 3197, 1.64719, 0.05753, 0.01933, 0.04367, 1.76771, 565702
0.6, 2500, 24, 13, 1000000, 3322, 1.64694, 0.05277, 0.01911, 0.04056, 1.75938, 568381
0.6, 2500, 24, 14, 1000000, 3307, 1.63206, 0.05803, 0.01738, 0.03962, 1.74708, 572383
0.6, 2500, 24, 15, 1000000, 3335, 1.64987, 0.05662, 0.01907, 0.03832, 1.76388, 566931
0.6, 2500, 24, 16, 1000000, 3289, 1.63741, 0.06094, 0.01731, 0.03751, 1.75317, 570395
0.6, 2500, 24, 17, 1000000, 3213, 1.65144, 0.05783, 0.01838, 0.03813, 1.76578, 566323
0.6, 2500, 24, 18, 1000000, 3340, 1.64992, 0.06033, 0.01997, 0.03656, 1.76679, 565999
0.6, 2500, 24, 19, 1000000, 3282, 1.64363, 0.06362, 0.01966, 0.03539, 1.76229, 567444
0.6, 2500, 24, total, 20000000, 32.89594, 1.50040, 0.55850, 1.12990, 36.08473, 554251
