zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.6, 2500, 24, 0, 1000000, 1.67546, 7.19488, 0.06405, 0.12139, 9.05578, 110427
0.6, 2500, 24, 1, 1000000, 1.67135, 0.54199, 0.06050, 0.10905, 2.38289, 419658
0.6, 2500, 24, 2, 1000000, 1.68878, 0.55507, 0.04920, 0.06166, 2.35471, 424681
0.6, 2500, 24, 3, 1000000, 1.68879, 0.59173, 0.04646, 0.05190, 2.37888, 420366
0.6, 2500, 24, 4, 1000000, 1.67423, 0.59801, 0.03688, 0.04445, 2.35358, 424886
0.6, 2500, 24, 5, 1000000, 1.67438, 0.58680, 0.03064, 0.04008, 2.33190, 428834
0.6, 2500, 24, 6, 1000000, 1.67076, 0.63911, 0.02611, 0.03771, 2.37368, 421286
0.6, 2500, 24, 7, 1000000, 1.67096, 0.60646, 0.01836, 0.02268, 2.31847, 431319
0.6, 2500, 24, 8, 1000000, 1.67192, 0.58825, 0.01854, 0.02290, 2.30161, 434479
0.6, 2500, 24, 9, 1000000, 1.67611, 0.63818, 0.01775, 0.02295, 2.35500, 424628
0.6, 2500, 24, total, 10000000, 16.76274, 12.54049, 0.36850, 0.53477, 30.20650, 331055
