
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.99, 2500, 24, 0, 1000000, 86304, 0.49040, 1.59601, 2.08641, 1.46873, 0.24798, 1.56955, 5.37267, 186127
0.99, 2500, 24, 1, 1000000, 76908, 0.49036, 1.58438, 2.07474, 0.07048, 0.24136, 1.40633, 3.79292, 263649
0.99, 2500, 24, 2, 1000000, 67376, 0.49010, 1.59566, 2.08576, 0.07687, 0.22882, 1.22549, 3.61694, 276476
0.99, 2500, 24, 3, 1000000, 57884, 0.49116, 1.59817, 2.08933, 0.07328, 0.21299, 1.05724, 3.43284, 291304
0.99, 2500, 24, 4, 1000000, 47882, 0.49025, 1.58871, 2.07897, 0.07272, 0.16867, 0.10637, 2.42673, 412077
0.99, 2500, 24, 5, 1000000, 38456, 0.49002, 1.60444, 2.09446, 0.07363, 0.15824, 0.09782, 2.42414, 412517
0.99, 2500, 24, 6, 1000000, 28768, 0.49622, 1.59629, 2.09251, 0.07419, 0.11655, 0.09582, 2.37907, 420332
0.99, 2500, 24, 7, 1000000, 19460, 0.48961, 1.59586, 2.08547, 0.07721, 0.08098, 0.10033, 2.34399, 426623
0.99, 2500, 24, 8, 1000000, 19403, 0.49096, 1.59369, 2.08464, 0.07706, 0.08246, 0.06273, 2.30689, 433483
0.99, 2500, 24, 9, 1000000, 19486, 0.48931, 1.60179, 2.09109, 0.07068, 0.08301, 0.05983, 2.30462, 433912
0.99, 2500, 24, 10, 1000000, 18990, 0.48900, 1.59074, 2.07974, 0.07228, 0.07963, 0.05299, 2.28464, 437705
0.99, 2500, 24, 11, 1000000, 19150, 0.48919, 1.60839, 2.09758, 0.07560, 0.08112, 0.04704, 2.30135, 434528
0.99, 2500, 24, 12, 1000000, 19464, 0.49053, 1.60493, 2.09546, 0.07483, 0.08087, 0.04609, 2.29725, 435304
0.99, 2500, 24, 13, 1000000, 19180, 0.48955, 1.60234, 2.09189, 0.07452, 0.08028, 0.04726, 2.29395, 435930
0.99, 2500, 24, 14, 1000000, 19269, 0.49019, 1.59802, 2.08821, 0.07378, 0.08209, 0.04429, 2.28836, 436994
0.99, 2500, 24, 15, 1000000, 19265, 0.49051, 1.60295, 2.09347, 0.07641, 0.08050, 0.04311, 2.29349, 436016
0.99, 2500, 24, 16, 1000000, 19181, 0.48985, 1.59706, 2.08691, 0.07320, 0.08120, 0.04475, 2.28606, 437433
0.99, 2500, 24, 17, 1000000, 19420, 0.48879, 1.59558, 2.08437, 0.07743, 0.08342, 0.04216, 2.28737, 437183
0.99, 2500, 24, 18, 1000000, 19209, 0.49011, 1.59212, 2.08223, 0.07664, 0.08633, 0.04211, 2.28731, 437195
0.99, 2500, 24, 19, 1000000, 19228, 0.49012, 1.60745, 2.09757, 0.07479, 0.08166, 0.04608, 2.30010, 434763
0.99, 2500, 24, total, 20000000, 41.76081, 41.76081, 41.76081,2.88432,2.43817, 6.23741, 53.32072, 375089
