
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, migration_num, preprocess_time1, preprocess_time2, migration_time, send_time, execution_time, recieve_result_time, merge_time, batch_time, throughput
0.99, 2500, 12, 1, 1000000, 114356, 0.08731, 1.13902, 0.00016, 0.00007, 0.26848, 0.98249, 0.68808, 0.00246, 3.16808, 315649
0.99, 2500, 12, 2, 1000000, 76158, 0.08488, 1.14098, 0.00015, 0.14934, 0.23188, 0.71244, 0.56419, 0.00298, 2.88684, 346400
0.99, 2500, 12, 3, 1000000, 38303, 0.08695, 1.13573, 0.00015, 0.14649, 0.14730, 0.35896, 0.43014, 0.00262, 2.30835, 433210
0.99, 2500, 12, 4, 1000000, 38532, 0.08605, 1.14753, 0.00028, 0.15502, 0.14367, 0.36178, 0.43203, 0.00236, 2.32872, 429421
0.99, 2500, 12, 5, 1000000, 38446, 0.08547, 1.16940, 0.00028, 0.14451, 0.17202, 0.36110, 0.42966, 0.00228, 2.36471, 422886
0.99, 2500, 12, 6, 1000000, 38261, 0.08638, 1.14628, 0.00028, 0.15254, 0.15830, 0.35881, 0.42713, 0.00232, 2.33203, 428811
0.99, 2500, 12, 7, 1000000, 38396, 0.08577, 1.13381, 0.00027, 0.15268, 0.14699, 0.35946, 0.43504, 0.00238, 2.31640, 431705
0.99, 2500, 12, 8, 1000000, 38457, 0.08549, 1.12925, 0.00027, 0.14890, 0.15165, 0.36097, 0.43156, 0.00240, 2.31048, 432810
0.99, 2500, 12, 9, 1000000, 38460, 0.08519, 1.12857, 0.00027, 0.15198, 0.15669, 0.36051, 0.43036, 0.00229, 2.31586, 431806
0.99, 2500, 12, 10, 1000000, 38496, 0.08513, 1.13262, 0.00027, 0.14627, 0.15824, 0.36065, 0.43107, 0.00229, 2.31654, 431678
0.99, 2500, 12, 11, 1000000, 38509, 0.08535, 1.12876, 0.00027, 0.15013, 0.16200, 0.36127, 0.44384, 0.00665, 2.33827, 427666
0.99, 2500, 12, 12, 1000000, 38613, 0.08664, 1.14816, 0.00026, 0.15117, 0.14604, 0.36201, 0.43355, 0.00297, 2.33081, 429036
0.99, 2500, 12, 13, 1000000, 38496, 0.08563, 1.13173, 0.00026, 0.15086, 0.16776, 0.36071, 0.44038, 0.00227, 2.33959, 427425
0.99, 2500, 12, 14, 1000000, 38408, 0.08594, 1.13134, 0.00025, 0.15112, 0.14425, 0.36046, 0.43784, 0.00271, 2.31390, 432171
0.99, 2500, 12, 15, 1000000, 38424, 0.08599, 1.13022, 0.00025, 0.15099, 0.15168, 0.35989, 0.43255, 0.00235, 2.31392, 432167
0.99, 2500, 12, 16, 1000000, 38236, 0.08665, 1.13527, 0.00025, 0.14721, 0.15457, 0.35895, 0.43462, 0.00236, 2.31988, 431057
0.99, 2500, 12, 17, 1000000, 38437, 0.08628, 1.14348, 0.00025, 0.15253, 0.16065, 0.36062, 0.43248, 0.00229, 2.33857, 427611
0.99, 2500, 12, 18, 1000000, 38308, 0.08593, 1.13581, 0.00025, 0.14900, 0.17093, 0.35857, 0.43128, 0.00249, 2.33425, 428403
0.99, 2500, 12, 19, 1000000, 38531, 0.08616, 1.13531, 0.00025, 0.15157, 0.15091, 0.36096, 0.42894, 0.00215, 2.31626, 431730
0.99, 2500, 12, 20, 1000000, 38480, 0.08625, 1.13055, 0.00025, 0.15034, 0.14235, 0.36083, 0.43455, 0.00228, 2.30740, 433389
0.99, 2500, 12, total, 20000000,, 1.71947, 22.75380, 0.00490,2.85273,3.28636, 8.18142, 9.04928, 0.05289, 47.90084, 417529.18750, 0.00000, 0
