
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, migration_num, preprocess_time1, preprocess_time2, migration_time, send_time, execution_time, recieve_result_time, merge_time, batch_time, throughput
0, 2500, 12, 1, 1000000, 787, 0.13439, 1.36630, 0.00017, 0.00007, 0.00862, 0.00784, 0.25359, 0.00247, 1.77345, 563871
0, 2500, 12, 2, 1000000, 580, 0.13341, 1.36943, 0.00022, 0.03147, 0.00603, 0.00548, 0.25265, 0.00258, 1.80127, 555163
0, 2500, 12, 3, 1000000, 517, 0.13413, 1.37312, 0.00022, 0.03186, 0.00571, 0.00515, 0.25119, 0.00209, 1.80348, 554484
0, 2500, 12, 4, 1000000, 524, 0.13401, 1.36677, 0.00021, 0.06087, 0.00516, 0.00498, 0.25133, 0.00206, 1.82538, 547830
0, 2500, 12, 5, 1000000, 547, 0.13458, 1.37323, 0.00022, 0.06271, 0.00576, 0.00650, 0.25073, 0.00213, 1.83586, 544705
0, 2500, 12, 6, 1000000, 528, 0.13379, 1.37127, 0.00022, 0.06174, 0.00605, 0.00491, 0.25393, 0.00203, 1.83395, 545271
0, 2500, 12, 7, 1000000, 526, 0.13423, 1.37078, 0.00021, 0.06278, 0.00552, 0.00538, 0.25154, 0.00209, 1.83254, 545690
0, 2500, 12, 8, 1000000, 556, 0.13388, 1.37028, 0.00022, 0.06264, 0.00604, 0.00550, 0.25175, 0.00206, 1.83237, 545742
0, 2500, 12, 9, 1000000, 559, 0.13477, 1.36745, 0.00022, 0.06141, 0.00574, 0.00533, 0.25157, 0.00216, 1.82865, 546852
0, 2500, 12, 10, 1000000, 573, 0.13449, 1.36960, 0.00021, 0.06237, 0.00575, 0.00582, 0.25766, 0.00216, 1.83806, 544051
0, 2500, 12, 11, 1000000, 529, 0.13294, 1.36905, 0.00021, 0.06208, 0.00604, 0.00519, 0.25069, 0.00220, 1.82839, 546928
0, 2500, 12, 12, 1000000, 567, 0.13336, 1.37048, 0.00022, 0.06166, 0.00603, 0.00555, 0.25098, 0.00206, 1.83034, 546347
0, 2500, 12, 13, 1000000, 503, 0.13482, 1.37219, 0.00021, 0.09167, 0.00508, 0.00517, 0.25094, 0.00215, 1.86224, 536989
0, 2500, 12, 14, 1000000, 517, 0.13346, 1.36770, 0.00021, 0.09294, 0.00505, 0.00513, 0.25064, 0.00203, 1.85715, 538459
0, 2500, 12, 15, 1000000, 545, 0.13446, 1.36832, 0.00022, 0.06224, 0.00546, 0.00518, 0.25159, 0.00207, 1.82953, 546588
0, 2500, 12, 16, 1000000, 524, 0.13346, 1.37479, 0.00022, 0.06168, 0.00523, 0.00532, 0.25370, 0.00202, 1.83643, 544536
0, 2500, 12, 17, 1000000, 534, 0.13356, 1.37328, 0.00022, 0.06277, 0.00553, 0.00504, 0.25223, 0.00399, 1.83661, 544482
0, 2500, 12, 18, 1000000, 524, 0.13459, 1.37423, 0.00021, 0.06052, 0.00567, 0.00498, 0.25169, 0.00217, 1.83406, 545237
0, 2500, 12, 19, 1000000, 506, 0.13474, 1.38645, 0.00022, 0.06257, 0.00517, 0.00471, 0.25105, 0.00206, 1.84698, 541425
0, 2500, 12, 20, 1000000, 551, 0.13454, 1.38335, 0.00022, 0.06210, 0.00558, 0.00526, 0.25681, 0.00215, 1.85000, 540541
0, 2500, 12, total, 20000000,, 2.68161, 27.43806, 0.00429,1.17816,0.11522, 0.10841, 5.04626, 0.04474, 36.61675, 546198.06250, 0.00000, 0
