
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0, 2500, 24, 0, 1000000, 711, 0.57901, 1.68408, 2.26308, 0.64397, 0.00515, 0.01358, 2.92578, 341790
0, 2500, 24, 1, 1000000, 667, 0.57479, 1.69597, 2.27077, 0.05476, 0.00520, 0.01309, 2.34382, 426655
0, 2500, 24, 2, 1000000, 548, 0.57752, 1.69456, 2.27208, 0.11990, 0.00408, 0.01093, 2.40700, 415455
0, 2500, 24, 3, 1000000, 491, 0.57919, 1.69989, 2.27908, 0.09385, 0.00432, 0.01128, 2.38854, 418666
0, 2500, 24, 4, 1000000, 477, 0.57686, 1.70150, 2.27835, 0.07332, 0.00379, 0.01163, 2.36710, 422458
0, 2500, 24, 5, 1000000, 479, 0.57949, 1.70555, 2.28504, 0.10775, 0.00400, 0.01064, 2.40744, 415379
0, 2500, 24, 6, 1000000, 492, 0.57214, 1.68361, 2.25575, 0.09675, 0.00381, 0.01132, 2.36763, 422363
0, 2500, 24, 7, 1000000, 485, 0.57342, 1.69590, 2.26932, 0.12067, 0.00409, 0.01208, 2.40615, 415602
0, 2500, 24, 8, 1000000, 478, 0.57218, 1.69668, 2.26886, 0.13539, 0.00395, 0.01108, 2.41929, 413345
0, 2500, 24, 9, 1000000, 491, 0.57432, 1.67997, 2.25428, 0.07678, 0.00408, 0.01102, 2.34617, 426227
0, 2500, 24, 10, 1000000, 474, 0.57013, 1.68908, 2.25921, 0.09342, 0.00366, 0.01177, 2.36805, 422288
0, 2500, 24, 11, 1000000, 491, 0.57127, 1.70489, 2.27616, 0.13408, 0.00380, 0.01119, 2.42524, 412331
0, 2500, 24, 12, 1000000, 459, 0.57434, 1.68395, 2.25830, 0.11049, 0.00386, 0.01058, 2.38323, 419598
0, 2500, 24, 13, 1000000, 476, 0.56878, 1.68917, 2.25795, 0.18350, 0.00375, 0.01099, 2.45618, 407136
0, 2500, 24, 14, 1000000, 467, 0.57033, 1.70110, 2.27143, 0.12133, 0.00356, 0.01171, 2.40803, 415276
0, 2500, 24, 15, 1000000, 485, 0.56941, 1.67584, 2.24524, 0.13239, 0.00368, 0.01110, 2.39241, 417988
0, 2500, 24, 16, 1000000, 462, 0.57466, 1.69352, 2.26818, 0.10865, 0.00376, 0.01154, 2.39213, 418038
0, 2500, 24, 17, 1000000, 473, 0.57470, 1.69936, 2.27406, 0.13916, 0.00370, 0.01120, 2.42812, 411841
0, 2500, 24, 18, 1000000, 481, 0.57283, 1.70249, 2.27532, 0.12241, 0.00401, 0.01147, 2.41321, 414385
0, 2500, 24, 19, 1000000, 464, 0.57444, 1.69499, 2.26943, 0.14789, 0.00409, 0.01087, 2.43228, 411136
0, 2500, 24, total, 20000000, 45.35191, 45.35191, 45.35191,2.81649,0.08034, 0.22906, 48.47780, 412560
