
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, migration_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0, 2500, 24, 0, 1000000, 787, 0, 0.22441, 2.23841, 2.46281, 0.00000, 0.01294, 0.00840, 2.48416, 402551
0, 2500, 24, 1, 1000000, 713, 1, 0.21808, 2.23742, 2.45550, 0.00693, 0.01060, 0.00764, 2.48068, 403116
0, 2500, 24, 2, 1000000, 585, 1, 0.21874, 2.23606, 2.45481, 0.00338, 0.00845, 0.00625, 2.47289, 404385
0, 2500, 24, 3, 1000000, 546, 1, 0.21842, 2.23646, 2.45487, 0.00337, 0.00815, 0.00605, 2.47245, 404457
0, 2500, 24, 4, 1000000, 488, 1, 0.22991, 2.23721, 2.46711, 0.00671, 0.00729, 0.00555, 2.48667, 402144
0, 2500, 24, 5, 1000000, 490, 0, 0.21833, 2.23955, 2.45789, 0.00000, 0.00753, 0.00537, 2.47079, 404729
0, 2500, 24, 6, 1000000, 503, 0, 0.21836, 2.23929, 2.45765, 0.00000, 0.00740, 0.00561, 2.47065, 404751
0, 2500, 24, 7, 1000000, 492, 0, 0.21853, 2.24675, 2.46528, 0.00000, 0.00763, 0.00549, 2.47839, 403487
0, 2500, 24, 8, 1000000, 506, 0, 0.21821, 2.24749, 2.46570, 0.00000, 0.00713, 0.00536, 2.47820, 403519
0, 2500, 24, 9, 1000000, 520, 0, 0.21831, 2.24686, 2.46517, 0.00000, 0.00795, 0.00542, 2.47854, 403463
0, 2500, 24, 10, 1000000, 508, 0, 0.21834, 2.24679, 2.46514, 0.00000, 0.00746, 0.00543, 2.47802, 403548
0, 2500, 24, 11, 1000000, 526, 0, 0.21830, 2.24794, 2.46623, 0.00000, 0.00806, 0.00589, 2.48019, 403196
0, 2500, 24, 12, 1000000, 489, 0, 0.21933, 2.24650, 2.46583, 0.00000, 0.00739, 0.00682, 2.48005, 403218
0, 2500, 24, 13, 1000000, 496, 0, 0.21848, 2.23835, 2.45683, 0.00000, 0.00755, 0.00546, 2.46985, 404883
0, 2500, 24, 14, 1000000, 504, 0, 0.21832, 2.23989, 2.45821, 0.00000, 0.00725, 0.00544, 2.47090, 404711
0, 2500, 24, 15, 1000000, 494, 0, 0.21855, 2.23740, 2.45595, 0.00000, 0.00710, 0.00540, 2.46845, 405113
0, 2500, 24, 16, 1000000, 497, 0, 0.21840, 2.23683, 2.45524, 0.00000, 0.00688, 0.00551, 2.46763, 405247
0, 2500, 24, 17, 1000000, 491, 0, 0.21801, 2.23869, 2.45670, 0.00000, 0.00739, 0.00576, 2.46985, 404883
0, 2500, 24, 18, 1000000, 495, 0, 0.21835, 2.23710, 2.45545, 0.00000, 0.00704, 0.00548, 2.46796, 405193
0, 2500, 24, 19, 1000000, 506, 0, 0.21820, 2.23957, 2.45777, 0.00000, 0.00742, 0.00571, 2.47090, 404711
0, 2500, 24, 20, 1000000, 483, 0, 0.21842, 2.23661, 2.45503, 0.00000, 0.00811, 0.00546, 2.46860, 405088
0, 2500, 24, 21, 1000000, 485, 0, 0.21838, 2.23707, 2.45545, 0.00000, 0.00720, 0.00548, 2.46812, 405167
0, 2500, 24, 22, 1000000, 499, 0, 0.21856, 2.23647, 2.45503, 0.00000, 0.00800, 0.00559, 2.46862, 405085
0, 2500, 24, 23, 1000000, 498, 0, 0.21840, 2.23691, 2.45532, 0.00000, 0.00733, 0.00551, 2.46816, 405160
0, 2500, 24, 24, 1000000, 517, 1, 0.21832, 2.23658, 2.45490, 0.01085, 0.00785, 0.00550, 2.47911, 403370
0, 2500, 24, 25, 1000000, 517, 0, 0.21837, 2.23633, 2.45470, 0.00000, 0.00780, 0.00555, 2.46806, 405177
0, 2500, 24, 26, 1000000, 506, 0, 0.21856, 2.24696, 2.46553, 0.00000, 0.00804, 0.00541, 2.47897, 403393
0, 2500, 24, 27, 1000000, 515, 0, 0.21950, 2.24682, 2.46632, 0.00000, 0.00743, 0.00553, 2.47928, 403343
0, 2500, 24, 28, 1000000, 512, 0, 0.21854, 2.24552, 2.46406, 0.00000, 0.00740, 0.00548, 2.47693, 403725
0, 2500, 24, 29, 1000000, 505, 0, 0.21847, 2.24692, 2.46540, 0.00000, 0.00755, 0.00532, 2.47827, 403507
0, 2500, 24, 30, 1000000, 491, 1, 0.21845, 2.24633, 2.46478, 0.01930, 0.00775, 0.00563, 2.49746, 400407
0, 2500, 24, 31, 1000000, 513, 0, 0.21876, 2.24703, 2.46579, 0.00000, 0.00794, 0.00539, 2.47911, 403370
0, 2500, 24, 32, 1000000, 508, 1, 0.22075, 2.25305, 2.47380, 0.01278, 0.00870, 0.00552, 2.50080, 399872
0, 2500, 24, 33, 1000000, 494, 0, 0.22063, 2.25119, 2.47182, 0.00000, 0.00732, 0.00546, 2.48460, 402479
0, 2500, 24, 34, 1000000, 508, 0, 0.22063, 2.25275, 2.47338, 0.00000, 0.00746, 0.00541, 2.48625, 402213
0, 2500, 24, 35, 1000000, 516, 0, 0.22127, 2.25149, 2.47277, 0.00000, 0.00819, 0.00559, 2.48655, 402164
0, 2500, 24, 36, 1000000, 510, 0, 0.22058, 2.25201, 2.47259, 0.00000, 0.00774, 0.00548, 2.48580, 402285
0, 2500, 24, 37, 1000000, 494, 0, 0.22086, 2.25153, 2.47239, 0.00000, 0.00739, 0.00547, 2.48525, 402374
0, 2500, 24, 38, 1000000, 495, 0, 0.22132, 2.25328, 2.47461, 0.00000, 0.00771, 0.00554, 2.48785, 401953
0, 2500, 24, 39, 1000000, 504, 0, 0.22193, 2.25163, 2.47356, 0.00000, 0.00732, 0.00543, 2.48630, 402204
0, 2500, 24, 40, 1000000, 485, 1, 0.22083, 2.25278, 2.47361, 0.01058, 0.00687, 0.00533, 2.49639, 400578
0, 2500, 24, 41, 1000000, 530, 0, 0.22131, 2.25069, 2.47200, 0.00000, 0.00824, 0.00548, 2.48572, 402297
0, 2500, 24, 42, 1000000, 491, 0, 0.22511, 2.25311, 2.47822, 0.00000, 0.00733, 0.00543, 2.49099, 401447
0, 2500, 24, 43, 1000000, 528, 0, 0.22104, 2.24305, 2.46409, 0.00000, 0.00757, 0.00548, 2.47714, 403691
0, 2500, 24, 44, 1000000, 500, 0, 0.22083, 2.24704, 2.46787, 0.00000, 0.00785, 0.00544, 2.48117, 403035
0, 2500, 24, 45, 1000000, 511, 0, 0.22078, 2.24306, 2.46384, 0.00000, 0.00762, 0.00543, 2.47689, 403732
0, 2500, 24, 46, 1000000, 513, 0, 0.22075, 2.24428, 2.46503, 0.00000, 0.00771, 0.00544, 2.47819, 403521
