
zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, migration_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
1.2, 2500, 24, 0, 1000000, 219555, 0, 0.11215, 1.26041, 1.37257, 0.00000, 0.19720, 2.09095, 3.66072, 273170
1.2, 2500, 24, 1, 1000000, 197224, 1, 0.11077, 1.26967, 1.38044, 0.00302, 0.18905, 0.91646, 2.48897, 401773
1.2, 2500, 24, 2, 1000000, 175848, 1, 0.11143, 1.27195, 1.38338, 0.00353, 0.17467, 0.91574, 2.47732, 403662
1.2, 2500, 24, 3, 1000000, 154178, 1, 0.11789, 1.26050, 1.37840, 0.00341, 0.16377, 0.91285, 2.45842, 406766
1.2, 2500, 24, 4, 1000000, 131775, 1, 0.11159, 1.24949, 1.36108, 0.00338, 0.16386, 0.91400, 2.44233, 409445
1.2, 2500, 24, 5, 1000000, 109881, 1, 0.11809, 1.29121, 1.40930, 0.00312, 0.15317, 0.90616, 2.47175, 404571
1.2, 2500, 24, 6, 1000000, 95565, 1, 0.11662, 1.29070, 1.40732, 0.00317, 0.12932, 0.91059, 2.45040, 408097
1.2, 2500, 24, 7, 1000000, 88481, 1, 0.11515, 1.30569, 1.42084, 0.00352, 0.12071, 0.81974, 2.36481, 422867
1.2, 2500, 24, 8, 1000000, 86257, 1, 0.12411, 1.27851, 1.40262, 0.00354, 0.11158, 0.82243, 2.34018, 427318
1.2, 2500, 24, 9, 1000000, 76544, 1, 0.11598, 1.28089, 1.39687, 0.00353, 0.10764, 0.72935, 2.23739, 446950
1.2, 2500, 24, 10, 1000000, 69887, 1, 0.11600, 1.28422, 1.40023, 0.00310, 0.11062, 0.66648, 2.18042, 458627
1.2, 2500, 24, 11, 1000000, 66771, 1, 0.11538, 1.30301, 1.41839, 0.00330, 0.08691, 0.63603, 2.14463, 466281
1.2, 2500, 24, 12, 1000000, 66340, 1, 0.11882, 1.27099, 1.38981, 0.00409, 0.10367, 0.60345, 2.10102, 475959
1.2, 2500, 24, 13, 1000000, 62974, 1, 0.11314, 1.26431, 1.37745, 0.00297, 0.09394, 0.60069, 2.07505, 481916
1.2, 2500, 24, 14, 1000000, 57459, 1, 0.11007, 1.27753, 1.38760, 0.00296, 0.08903, 0.53603, 2.01562, 496125
1.2, 2500, 24, 15, 1000000, 56096, 1, 0.10996, 1.28387, 1.39383, 0.00303, 0.08601, 0.53490, 2.01777, 495597
1.2, 2500, 24, 16, 1000000, 49074, 1, 0.11023, 1.27732, 1.38755, 0.00292, 0.08088, 0.46828, 1.93963, 515564
1.2, 2500, 24, 17, 1000000, 47519, 1, 0.11049, 1.28513, 1.39562, 0.00349, 0.07141, 0.44312, 1.91365, 522562
1.2, 2500, 24, 18, 1000000, 45934, 1, 0.11035, 1.28343, 1.39378, 0.00310, 0.07498, 0.43804, 1.90990, 523587
1.2, 2500, 24, 19, 1000000, 43960, 1, 0.10953, 1.28226, 1.39179, 0.00312, 0.07695, 0.40084, 1.87271, 533987
1.2, 2500, 24, 20, 1000000, 41891, 1, 0.10987, 1.27956, 1.38943, 0.00356, 0.07016, 0.39985, 1.86299, 536771
1.2, 2500, 24, 21, 1000000, 41850, 1, 0.10966, 1.27629, 1.38595, 0.00304, 0.07067, 0.39863, 1.85829, 538129
1.2, 2500, 24, 22, 1000000, 38119, 1, 0.11033, 1.27107, 1.38139, 0.00308, 0.06708, 0.35601, 1.80757, 553229
1.2, 2500, 24, 23, 1000000, 37277, 1, 0.10934, 1.27298, 1.38231, 0.00326, 0.06527, 0.35555, 1.80640, 553587
1.2, 2500, 24, 24, 1000000, 35229, 1, 0.11043, 1.26358, 1.37401, 0.00316, 0.06313, 0.33596, 1.77625, 562983
1.2, 2500, 24, 25, 1000000, 34164, 1, 0.10968, 1.28402, 1.39371, 0.00329, 0.06682, 0.32596, 1.78977, 558731
1.2, 2500, 24, 26, 1000000, 32699, 1, 0.10889, 1.27213, 1.38102, 0.00328, 0.05854, 0.31158, 1.75442, 569988
1.2, 2500, 24, 27, 1000000, 30812, 1, 0.10903, 1.28948, 1.39851, 0.00329, 0.05767, 0.29378, 1.75324, 570372
1.2, 2500, 24, 28, 1000000, 28531, 1, 0.11021, 1.26898, 1.37919, 0.00291, 0.05721, 0.26878, 1.70809, 585451
1.2, 2500, 24, 29, 1000000, 28070, 1, 0.10913, 1.28127, 1.39040, 0.00320, 0.05896, 0.26776, 1.72031, 581291
1.2, 2500, 24, 30, 1000000, 27791, 1, 0.10907, 1.26083, 1.36991, 0.00291, 0.05293, 0.26545, 1.69119, 591299
1.2, 2500, 24, 31, 1000000, 27104, 1, 0.10901, 1.28928, 1.39829, 0.00315, 0.05079, 0.25836, 1.71059, 584594
