zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 12, 1, 100000, 0, 0.01634, 1.01780, 0.00021, 0.00014, 0.00679, 7.22453, 0.23272, 0.00000, 8.49854, 11767
0.99, 2500, 12, 2, 100000, 0, 0.03231, 0.02503, 0.00026, 0.03078, 0.00611, 0.08453, 0.00468, 0.00000, 0.18370, 544371
0.99, 2500, 12, 3, 100000, 0, 0.02850, 0.02845, 0.00025, 0.03193, 0.00576, 0.07440, 0.00462, 0.00000, 0.17391, 575009
0.99, 2500, 12, 4, 100000, 0, 0.02779, 0.02831, 0.00027, 0.03015, 0.00497, 0.06797, 0.00429, 0.00000, 0.16376, 610659
0.99, 2500, 12, 5, 100000, 0, 0.02935, 0.02260, 0.00023, 0.02878, 0.00629, 0.05947, 0.00506, 0.00000, 0.15177, 658890
0.99, 2500, 12, 6, 100000, 0, 0.02954, 0.02870, 0.00025, 0.03306, 0.00436, 0.05292, 0.00474, 0.00000, 0.15356, 651206
0.99, 2500, 12, 7, 100000, 0, 0.02814, 0.02772, 0.00025, 0.03328, 0.00412, 0.04586, 0.00377, 0.00000, 0.14315, 698550
0.99, 2500, 12, 8, 100000, 0, 0.02894, 0.02455, 0.00027, 0.02982, 0.00436, 0.03760, 0.00378, 0.00000, 0.12933, 773214
0.99, 2500, 12, 9, 100000, 0, 0.02828, 0.02454, 0.00028, 0.03027, 0.00408, 0.03066, 0.00420, 0.00000, 0.12231, 817616
0.99, 2500, 12, 10, 100000, 0, 0.02734, 0.02651, 0.00026, 0.03370, 0.00432, 0.02244, 0.00368, 0.00000, 0.11825, 845660
0.99, 2500, 12, 11, 100000, 0, 0.02446, 0.03028, 0.00022, 0.03101, 0.00461, 0.01485, 0.00409, 0.00000, 0.10951, 913120
0.99, 2500, 12, 12, 100000, 0, 0.02822, 0.02824, 0.00026, 0.03264, 0.00460, 0.01254, 0.00409, 0.00000, 0.11059, 904218
0.99, 2500, 12, 13, 100000, 0, 0.02220, 0.03054, 0.00022, 0.03303, 0.00444, 0.01174, 0.00462, 0.00000, 0.10678, 936462
0.99, 2500, 12, 14, 100000, 0, 0.03192, 0.03010, 0.00027, 0.03505, 0.00444, 0.01154, 0.00383, 0.00000, 0.11716, 853530
0.99, 2500, 12, 15, 100000, 0, 0.03062, 0.02331, 0.00026, 0.02966, 0.00410, 0.01054, 0.00437, 0.00000, 0.10285, 972258
0.99, 2500, 12, 16, 100000, 0, 0.03009, 0.02291, 0.00022, 0.03006, 0.00445, 0.00912, 0.00397, 0.00000, 0.10082, 991860
0.99, 2500, 12, 17, 100000, 0, 0.01548, 0.01479, 0.00021, 0.02832, 0.00420, 0.00887, 0.00373, 0.00000, 0.07561, 1322624
0.99, 2500, 12, 18, 100000, 0, 0.02825, 0.05586, 0.00026, 0.02867, 0.00418, 0.00848, 0.00398, 0.00000, 0.12967, 771184
0.99, 2500, 12, 19, 100000, 0, 0.02877, 0.05467, 0.00027, 0.02643, 0.00472, 0.00841, 0.00373, 0.00000, 0.12700, 787423
0.99, 2500, 12, 20, 100000, 0, 0.02943, 0.05389, 0.00024, 0.01747, 0.00432, 0.00812, 0.00357, 0.00000, 0.11705, 854321
0.99, 2500, 12, total, 2000000,, 0.54599, 1.59881, 0.00496, 0.57423, 0.09522, 7.80461, 0.31151, 0.00000, 10.93533, 182893.43750
