zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, migration_num, preprocess_time1, preprocess_time2, preprocess_time, migration_time, send_time, execution_time, batch_time, throughput
0.6, 2048, 10, 1, 10, 1, 0, 0.00003, 0.00003, 0.00007, 0.00008, 0.00286, 0.00061, 0.00361, 2771
0.6, 2048, 10, 2, 10, 1, 0, 0.00003, 0.00003, 0.00006, 0.07946, 0.00294, 0.00069, 0.08314, 120
0.6, 2048, 10, 3, 10, 1, 0, 0.00002, 0.00002, 0.00005, 0.08009, 0.00298, 0.00071, 0.08383, 119
0.6, 2048, 10, 4, 10, 1, 0, 0.00002, 0.00002, 0.00004, 0.07811, 0.00293, 0.00070, 0.08177, 122
0.6, 2048, 10, 5, 10, 1, 0, 0.00002, 0.00002, 0.00005, 0.07957, 0.00299, 0.00076, 0.08337, 120
0.6, 2048, 10, 6, 10, 1, 0, 0.00002, 0.00002, 0.00004, 0.07822, 0.00299, 0.00068, 0.08193, 122
0.6, 2048, 10, 7, 10, 1, 0, 0.00002, 0.00002, 0.00003, 0.07996, 0.00298, 0.00071, 0.08369, 119
0.6, 2048, 10, 8, 10, 1, 0, 0.00002, 0.00002, 0.00004, 0.07874, 0.00280, 0.00067, 0.08224, 122
0.6, 2048, 10, 9, 10, 1, 0, 0.00001, 0.00001, 0.00003, 0.07843, 0.00292, 0.00072, 0.08210, 122
0.6, 2048, 10, 10, 10, 1, 0, 0.00002, 0.00002, 0.00005, 0.07978, 0.00272, 0.00069, 0.08325, 120
0.6, 2048, 10, total, 100,, 0.00045, 0.00045, 0.00045,0.71243,0.02912, 0.00693, 0.74893, 134

0.6, 2048, 10, 1, 100, 3, 0, 0.00015, 0.00015, 0.00030, 0.00008, 0.00274, 0.00071, 0.00383, 26110
0.6, 2048, 10, 2, 100, 3, 0, 0.00008, 0.00008, 0.00017, 0.07936, 0.00265, 0.00074, 0.08292, 1206
0.6, 2048, 10, 3, 100, 2, 0, 0.00006, 0.00006, 0.00012, 0.07851, 0.00290, 0.00074, 0.08228, 1215
0.6, 2048, 10, 4, 100, 3, 0, 0.00007, 0.00007, 0.00013, 0.07790, 0.00255, 0.00071, 0.08129, 1230
0.6, 2048, 10, 5, 100, 2, 0, 0.00008, 0.00008, 0.00015, 0.07726, 0.00253, 0.00065, 0.08059, 1241
