NR_DPUS,push_transfer,push_transfer_1DPUin4,push_transfer_serial,broadcast
1,0.000063,0.000126,0.000137,0.000226
2,0.000067,0.000139,0.000090,0.000231
4,0.000058,0.000122,0.000085,0.000211
8,0.000066,0.000110,0.000086,0.000212
16,0.000064,0.000118,0.000041,0.000225
32,0.000095,0.000181,0.000044,0.000250
64,0.000079,0.000191,0.000045,0.000258
128,0.000185,0.000187,0.000048,0.000314
256,0.000203,0.000153,0.000109,0.000407
512,0.000339,0.000218,0.000125,0.000652
1024,0.000379,0.000159,0.000117,0.000762
2048,0.000483,0.000285,0.000220,0.000569
1,0.000039,0.000141,0.000128,0.000180
2,0.000043,0.000123,0.000186,0.000169
4,0.000044,0.000146,0.000395,0.000180
8,0.000050,0.000111,0.000710,0.000178
16,0.000054,0.000114,0.001005,0.000188
32,0.000067,0.000169,0.002014,0.000195
64,0.000069,0.000181,0.004228,0.000195
128,0.000117,0.000177,0.008853,0.000241
256,0.000184,0.000177,0.018788,0.000249
512,0.000222,0.000209,0.058166,0.000515
1024,0.000324,0.000195,0.165650,0.000702
2048,0.000451,0.000288,0.439780,0.001174
1024, 1,0.000047,0.000143,0.000121,0.000173
1024, 2,0.000046,0.000129,0.000191,0.000173
1024, 4,0.000044,0.000127,0.000358,0.000172
1024, 8,0.000053,0.000109,0.000724,0.000187
1024, 16,0.000054,0.000118,0.001067,0.000199
1024, 32,0.000066,0.000184,0.002081,0.000192
1024, 64,0.000069,0.000180,0.004167,0.000212
1024, 128,0.000127,0.000174,0.008064,0.000231
1024, 256,0.000154,0.000191,0.023528,0.000347
1024, 512,0.000238,0.000198,0.055758,0.000499
1024, 1024,0.000298,0.000220,0.164246,0.000564
1024, 2048,0.000508,0.000286,0.357947,0.001177
1024,1,0.000581,0.000574,0.000572,0.000600
1024,2,0.000632,0.000551,0.001096,0.000589
1024,4,0.000628,0.000577,0.002189,0.000618
1024,8,0.000709,0.000564,0.004398,0.000674
1024,16,0.001307,0.001077,0.008747,0.000682
1024,32,0.002119,0.002135,0.018039,0.000692
1024,64,0.005388,0.002123,0.030919,0.000664
1024,128,0.005739,0.002129,0.071041,0.000689
1024,256,0.005332,0.002253,0.151791,0.000943
1024,512,0.006028,0.002207,0.311358,0.000988
1024,1024,0.005210,0.002196,0.664173,0.000947
1024,2048,0.008414,0.002237,1.527568,0.001521
8192,1,0.000109,0.000139,0.000144,0.000237
8192,2,0.000102,0.000137,0.000204,0.001274
8192,512,0.000769,0.000286,0.083843,0.000921
8192,1024,0.000965,0.000333,0.235278,0.001477
8192,1,0.000102,0.000128,0.000125,0.000231
8192,2,0.000113,0.000157,0.000267,0.000273
8192,8,0.000114,0.000114,0.000775,0.000249
8192,16,0.000152,0.000124,0.001178,0.000265
