zipfian_const, num_dpus, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}, send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], total_time, throughput
1.2, 2048, 10, 0, 20480, 500000000, 0, 500000000, 0, 2.93477, 0.00290, 3.00993, 0.096, 5.94470, 166116720
1.2, 2048, 10, 1, 20480, 500000000, 14337440, 485662560, 2, 3.07937, 2.65031, 3.01428, 87.925, 6.09364, 165877072
1.2, 2048, 10, 2, 20480, 500000000, 28663160, 471336840, 5, 2.92987, 3.13296, 3.34625, 93.626, 6.27612, 149420912
1.2, 2048, 10, 4, 20480, 500000000, 57326320, 442673680, 11, 2.89438, 3.85805, 3.95360, 97.583, 6.84797, 126467104
1.2, 2048, 10, 8, 20480, 500000000, 112595980, 387404020, 22, 1.45117, 4.93367, 4.98015, 99.067, 6.43132, 100398568
1.2, 2048, 10, 16, 20480, 500000000, 161558740, 338441260, 32, 1.15517, 5.36307, 5.36841, 99.901, 6.52358, 93137408
1.2, 2048, 10, 32, 20480, 500000000, 220264820, 279735180, 44, 0.61577, 6.54886, 6.55453, 99.914, 7.17030, 76283152
1.2, 2048, 10, 64, 20480, 500000000, 271213100, 228786900, 54, 0.32361, 7.59117, 7.59677, 99.926, 7.92037, 65817468
1.2, 2048, 10, 128, 20480, 500000000, 315325020, 184674980, 63, 0.21970, 8.60158, 8.60717, 99.935, 8.82687, 58091076
1.2, 2048, 10, 256, 20480, 500000000, 353575720, 146424280, 70, 0.20903, 9.12470, 9.13069, 99.934, 9.33972, 54760400
