zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
0.99, 1, 2047, 10, 16, 20471, 100000000, 15295720, 84704280, 15, 0.88191, 0.26931, 20.37924, 1.32, 21.26115, 30.01620, 4906955
0.99, 16, 2032, 10, 16, 20336, 100000000, 15358900, 84641100, 15, 0.62339, 0.27237, 12.23297, 2.23, 12.85636, 21.58677, 8174630
0.99, 64, 1984, 10, 16, 19904, 100000000, 15566280, 84433720, 15, 0.30645, 0.29168, 4.96298, 5.88, 5.26944, 13.98510, 20149168
0.99, 256, 1792, 10, 16, 18176, 100000000, 16496360, 83503640, 16, 0.18998, 0.33042, 1.35479, 24.39, 1.54477, 10.46152, 73812280
0.99, 512, 1536, 10, 16, 15872, 100000000, 17966400, 82033600, 17, 0.18024, 0.35106, 0.68413, 51.31, 0.86437, 9.59218, 146171904
0.99, 1024, 1024, 10, 16, 11264, 100000000, 21890460, 78109540, 21, 0.21648, 0.42900, 0.43089, 99.56, 0.64738, 9.34211, 232076720
0.99, 1536, 512, 10, 16, 6656, 100000000, 28017640, 71982360, 28, 0.28445, 0.65823, 0.66016, 99.71, 0.94461, 9.60080, 151479344
0.99, 2047, 1, 10, 16, 2057, 100000000, 41642680, 58357320, 41, 0.17408, 2.28972, 2.29182, 99.91, 2.46590, 11.14264, 43633448
0.99, 1, 2047, 10, 32, 20471, 100000000, 22988060, 77011940, 22, 0.57214, 0.33735, 11.93905, 2.83, 12.51119, 21.27330, 8375876
0.99, 16, 2032, 10, 32, 20336, 100000000, 23058000, 76942000, 23, 0.43624, 0.39027, 8.57302, 4.55, 9.00926, 17.81983, 11664505
0.99, 64, 1984, 10, 32, 19904, 100000000, 23290580, 76709420, 23, 0.26424, 0.43597, 4.15723, 10.49, 4.42147, 13.14984, 24054476
0.99, 256, 1792, 10, 32, 18176, 100000000, 24330860, 75669140, 24, 0.12341, 0.46318, 1.27007, 36.47, 1.39348, 10.16321, 78735880
0.99, 512, 1536, 10, 32, 15872, 100000000, 25976960, 74023040, 25, 0.14870, 0.48551, 0.66511, 73.00, 0.81381, 9.57905, 150351072
0.99, 1024, 1024, 10, 32, 11264, 100000000, 29941200, 70058800, 29, 0.18138, 0.58798, 0.58997, 99.66, 0.77135, 9.45821, 169501024
0.99, 1536, 512, 10, 32, 6656, 100000000, 36044520, 63955480, 36, 0.18072, 0.80940, 0.81134, 99.76, 0.99206, 9.67909, 123252896
0.99, 2047, 1, 10, 32, 2057, 100000000, 49710960, 50289040, 49, 0.13666, 2.29546, 2.29778, 99.90, 2.43444, 11.12914, 43520324
0.99, 1, 2047, 10, 64, 20471, 100000000, 31043500, 68956500, 31, 0.32504, 0.45522, 6.11057, 7.45, 6.43562, 15.24767, 16365082
0.99, 16, 2032, 10, 64, 20336, 100000000, 31118680, 68881320, 31, 0.29779, 0.48274, 4.93350, 9.78, 5.23129, 14.05752, 20269578
0.99, 64, 1984, 10, 64, 19904, 100000000, 31370380, 68629620, 31, 0.19599, 0.51495, 3.03952, 16.94, 3.23552, 12.04770, 32899888
0.99, 256, 1792, 10, 64, 18176, 100000000, 32434760, 67565240, 32, 0.13155, 0.56514, 1.14292, 49.45, 1.27447, 10.30205, 87495416
0.99, 512, 1536, 10, 64, 15872, 100000000, 34001060, 65998940, 34, 0.07564, 0.63045, 0.65697, 95.96, 0.73261, 9.52633, 152215104
0.99, 1024, 1024, 10, 64, 11264, 100000000, 37984640, 62015360, 37, 0.12635, 0.74961, 0.75161, 99.73, 0.87795, 9.81015, 133048592
0.99, 1536, 512, 10, 64, 6656, 100000000, 44109280, 55890720, 44, 0.14379, 0.95497, 0.95688, 99.80, 1.10067, 9.75097, 104506536
0.99, 2047, 1, 10, 64, 2057, 100000000, 57724720, 42275280, 57, 0.06268, 2.53332, 2.53564, 99.91, 2.59832, 11.25790, 39437760
0.99, 1, 2047, 10, 256, 20471, 100000000, 47167020, 52832980, 47, 0.11772, 0.64949, 1.44593, 44.92, 1.56365, 10.37476, 69159696
0.99, 16, 2032, 10, 256, 20336, 100000000, 47242640, 52757360, 47, 0.11561, 0.56779, 1.36135, 41.71, 1.47696, 10.30295, 73456384
0.99, 64, 1984, 10, 256, 19904, 100000000, 47495460, 52504540, 47, 0.09988, 0.59108, 1.14018, 51.84, 1.24006, 10.25404, 87705680
0.99, 256, 1792, 10, 256, 18176, 100000000, 48552440, 51447560, 48, 0.10050, 0.66052, 0.75196, 87.84, 0.85246, 9.70764, 132985808
0.99, 512, 1536, 10, 256, 15872, 100000000, 50130000, 49870000, 50, 0.06107, 0.66358, 0.66540, 99.73, 0.72647, 9.56148, 150285088
