zipfian_const, num_dpus_redundant, num_dpus_multiple, num_tasklets, num_CPU_Trees, num_DPU_Trees, num_queries, num_reqs_for_cpu, num_reqs_for_dpu, num_reqs_{cpu/(cpu+dpu)}[%], send_time, execution_time_cpu, execution_time_cpu_and_dpu, exec_time_{cpu/(cpu&dpu)}[%], send_and_execution_time, total_time, throughput
0, 1, 2047, 10, 16, 20471, 100000000, 126460, 99873540, 0, 0.03085, 0.02233, 0.16103, 13.87, 0.19189, 8.97583, 620990784
0, 16, 2032, 10, 16, 20336, 100000000, 126940, 99873060, 0, 0.02956, 0.02890, 0.16123, 17.93, 0.19078, 8.98705, 620251200
0, 64, 1984, 10, 16, 19904, 100000000, 128640, 99871360, 0, 0.03148, 0.02747, 0.16694, 16.46, 0.19842, 9.03776, 598999744
0, 256, 1792, 10, 16, 18176, 100000000, 136160, 99863840, 0, 0.03605, 0.01317, 0.18316, 7.19, 0.21920, 9.11178, 545985664
0, 512, 1536, 10, 16, 15872, 100000000, 148380, 99851620, 0, 0.03737, 0.02077, 0.21005, 9.89, 0.24743, 9.04905, 476065792
0, 1024, 1024, 10, 16, 11264, 100000000, 188580, 99811420, 0, 0.06852, 0.02344, 0.29185, 8.03, 0.36037, 9.29783, 342646464
0, 1536, 512, 10, 16, 6656, 100000000, 287840, 99712160, 0, 0.11716, 0.02274, 0.49570, 4.59, 0.61286, 9.43266, 201735744
0, 2047, 1, 10, 16, 2057, 100000000, 816660, 99183340, 0, 0.16078, 0.02316, 1.55909, 1.49, 1.71988, 10.40406, 64139812
0, 1, 2047, 10, 32, 20471, 100000000, 202720, 99797280, 0, 0.03075, 0.02408, 0.16158, 14.90, 0.19233, 8.94625, 618888448
0, 16, 2032, 10, 32, 20336, 100000000, 203940, 99796060, 0, 0.03026, 0.02783, 0.16394, 16.98, 0.19420, 8.99628, 609968128
0, 64, 1984, 10, 32, 19904, 100000000, 207340, 99792660, 0, 0.03093, 0.03222, 0.16538, 19.48, 0.19631, 8.93775, 604675328
0, 256, 1792, 10, 32, 18176, 100000000, 223080, 99776920, 0, 0.05460, 0.03658, 0.18345, 19.94, 0.23805, 9.08230, 545116544
0, 512, 1536, 10, 32, 15872, 100000000, 249180, 99750820, 0, 0.05722, 0.02988, 0.20817, 14.35, 0.26538, 9.05842, 480388128
0, 1024, 1024, 10, 32, 11264, 100000000, 330200, 99669800, 0, 0.06686, 0.03775, 0.29320, 12.88, 0.36006, 9.19611, 341067616
0, 1536, 512, 10, 32, 6656, 100000000, 527740, 99472260, 0, 0.13677, 0.02790, 0.49616, 5.62, 0.63293, 9.49657, 201547072
0, 2047, 1, 10, 32, 2057, 100000000, 1579580, 98420420, 1, 0.17894, 0.03669, 1.54283, 2.38, 1.72176, 10.49599, 64816124
0, 1, 2047, 10, 64, 20471, 100000000, 359560, 99640440, 0, 0.02995, 0.04527, 0.16238, 27.88, 0.19233, 8.98009, 615831808
0, 16, 2032, 10, 64, 20336, 100000000, 361660, 99638340, 0, 0.03085, 0.04313, 0.16081, 26.82, 0.19166, 8.86602, 621832576
0, 64, 1984, 10, 64, 19904, 100000000, 368260, 99631740, 0, 0.03245, 0.03631, 0.16622, 21.84, 0.19868, 9.09176, 601597760
0, 256, 1792, 10, 64, 18176, 100000000, 399500, 99600500, 0, 0.05417, 0.05994, 0.18111, 33.10, 0.23527, 8.89009, 552162880
0, 512, 1536, 10, 64, 15872, 100000000, 449800, 99550200, 0, 0.07440, 0.05722, 0.20568, 27.82, 0.28007, 9.00037, 486201632
0, 1024, 1024, 10, 64, 11264, 100000000, 612800, 99387200, 0, 0.04614, 0.04628, 0.29194, 15.85, 0.33807, 9.23313, 342541984
0, 1536, 512, 10, 64, 6656, 100000000, 997040, 99002960, 0, 0.13323, 0.06215, 0.48899, 12.71, 0.62222, 9.49190, 204501072
0, 2047, 1, 10, 64, 2057, 100000000, 3054480, 96945520, 3, 0.13964, 0.07896, 1.52100, 5.19, 1.66064, 10.31009, 65746436
0, 1, 2047, 10, 256, 20471, 100000000, 1281840, 98718160, 1, 0.03013, 0.15772, 0.16838, 93.67, 0.19851, 8.96695, 593894784
0, 16, 2032, 10, 256, 20336, 100000000, 1289860, 98710140, 1, 0.03076, 0.14635, 0.16170, 90.51, 0.19246, 9.02827, 618433024
0, 64, 1984, 10, 256, 19904, 100000000, 1316760, 98683240, 1, 0.03159, 0.16949, 0.17357, 97.65, 0.20515, 8.96587, 576149696
0, 256, 1792, 10, 256, 18176, 100000000, 1436560, 98563440, 1, 0.05419, 0.14046, 0.17953, 78.23, 0.23372, 8.99461, 557000704
0, 512, 1536, 10, 256, 15872, 100000000, 1634860, 98365140, 1, 0.05370, 0.22704, 0.23216, 97.79, 0.28585, 9.14638, 430737376
0, 1024, 1024, 10, 256, 11264, 100000000, 2263920, 97736080, 2, 0.11900, 0.20540, 0.28950, 70.95, 0.40850, 9.27348, 345424352
0, 1536, 512, 10, 256, 6656, 100000000, 3735720, 96264280, 3, 0.06707, 0.17997, 0.47677, 37.75, 0.54384, 9.40772, 209743424
0, 2047, 1, 10, 256, 2057, 100000000, 11086600, 88913400, 11, 0.11804, 0.28288, 1.38171, 20.47, 1.49975, 10.15269, 72373984
0, 1, 2047, 10, 512, 20471, 100000000, 2483860, 97516140, 2, 0.03060, 0.24673, 0.24839, 99.33, 0.27899, 9.15164, 402595936
0, 16, 2032, 10, 512, 20336, 100000000, 2499680, 97500320, 2, 0.03033, 0.22615, 0.22782, 99.27, 0.25815, 9.00107, 438943040
0, 64, 1984, 10, 512, 19904, 100000000, 2551460, 97448540, 2, 0.02952, 0.26918, 0.27082, 99.39, 0.30034, 9.02818, 369250304
0, 256, 1792, 10, 512, 18176, 100000000, 2778460, 97221540, 2, 0.04123, 0.25076, 0.25241, 99.35, 0.29364, 9.05923, 396187104
0, 512, 1536, 10, 512, 15872, 100000000, 3164260, 96835740, 3, 0.05661, 0.22508, 0.22722, 99.06, 0.28383, 9.17573, 440109856
0, 1024, 1024, 10, 512, 11264, 100000000, 4375200, 95624800, 4, 0.11908, 0.29568, 0.30813, 95.96, 0.42720, 9.24253, 324540448
0, 1536, 512, 10, 512, 6656, 100000000, 7168460, 92831540, 7, 0.06716, 0.28315, 0.46127, 61.39, 0.52842, 9.33495, 216794656
0, 2047, 1, 10, 512, 2057, 100000000, 19952100, 80047900, 19, 0.10557, 0.39839, 1.24502, 32.00, 1.35059, 10.07576, 80320248
0, 1, 2047, 10, 1024, 20471, 100000000, 4795980, 95204020, 4, 0.03066, 0.44181, 0.44355, 99.61, 0.47421, 9.20697, 225455248
0, 16, 2032, 10, 1024, 20336, 100000000, 4827180, 95172820, 4, 0.03002, 0.54352, 0.54521, 99.69, 0.57523, 9.30819, 183414224
0, 64, 1984, 10, 1024, 19904, 100000000, 4923600, 95076400, 4, 0.03105, 0.46764, 0.46938, 99.63, 0.50043, 9.27341, 213049264
0, 256, 1792, 10, 1024, 18176, 100000000, 5359260, 94640740, 5, 0.03477, 0.44671, 0.44840, 99.62, 0.48316, 9.24495, 223015168
