num of tasklets, total_num_requests[s], time_sendrequests[s], time_dpu_execution[s], total_time[s], throughput[OPS/s]
1, 199999908, 0.26740101, 1.64010894, 1.90750992, 104848680
2, 399999392, 0.52184105, 1.73041606, 2.25225687, 177599360
3, 599999744, 0.78480703, 1.85599697, 2.64080405, 227203440
4, 799998758, 0.91205800, 2.08470702, 2.99676490, 266954128
5, 999996088, 1.43035913, 2.45373487, 3.88409376, 257459312
6, 1199995170, 1.47851396, 2.88848925, 4.36700296, 274786880
7, 1399995950, 1.85201192, 3.31658697, 5.16859913, 270865632
8, 1599997346, 1.86665106, 3.73480797, 5.60145903, 285639392
9, 1799986442, 2.31958604, 4.14151096, 6.46109676, 278588384
10, 1999991920, 2.79154110, 4.54766989, 7.33921099, 272507744
11, 2199991074, 2.85255098, 4.93341589, 7.78596687, 282558496
12, 2399973402, 2.79216790, 5.31562519, 8.10779285, 296008224
12, 2399973402, 2.79268885, 5.31546879, 8.10815811, 295994880
12, 2399973402, 2.74788570, 5.31662893, 8.06451416, 297596768
12, 2399973402, 2.76046395, 5.31553078, 8.07599449, 297173728
12, 2399973402, 2.80881119, 5.31542492, 8.12423611, 295409120
12, 2399973402, 2.74952602, 5.31548595, 8.06501198, 297578400
12, 2399973402, 2.78434587, 5.31545210, 8.09979820, 296300384
12, 2399973402, 2.75934172, 5.31644058, 8.07578278, 297181504
12, 2399973402, 2.77390289, 5.31542349, 8.08932590, 296683968
12, 2399973402, 2.81793690, 5.31550884, 8.13344574, 295074624
12, 2399973402, 2.81520605, 5.31546783, 8.13067341, 295175232
12, 2399973402, 2.78470182, 5.31552935, 8.10023117, 296284544
12, 2399973402, 2.76471806, 5.31552315, 8.08024025, 297017568
12, 2399973402, 2.81122804, 5.31775808, 8.12898636, 295236480
12, 2399973402, 2.69256496, 5.31599045, 8.00855446, 299676224
12, 2399973402, 2.80288291, 5.31717110, 8.12005329, 295561280
12, 2399973402, 2.79837298, 5.31554127, 8.11391354, 295784928
12, 2399973402, 2.80129409, 5.31550217, 8.11679554, 295679904
12, 2399973402, 2.84212685, 5.31550598, 8.15763378, 294199680
12, 2399973402, 2.78362608, 5.31549835, 8.09912395, 296325056
12, 2399973402, 2.78728414, 5.31550598, 8.10278988, 296191008
12, 2399973402, 2.81357288, 5.31552505, 8.12909794, 295232448
12, 2399973402, 2.75520205, 5.31544876, 8.07065105, 297370464
12, 2399973402, 2.81218600, 5.31555605, 8.12774277, 295281664
12, 2399973402, 2.79846311, 5.31542587, 8.11388874, 295785824
