zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.39368, 0.00018, 0.00011, 0.00584, 9.34933, 0.23996, 0.00000, 9.98909, 10011
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.00679, 0.00024, 0.02897, 0.00527, 0.09853, 0.00577, 0.00000, 0.14557, 686964
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.00719, 0.00053, 0.03207, 0.00495, 0.08739, 0.00646, 0.00000, 0.13860, 721504
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.00710, 0.00053, 0.03178, 0.00477, 0.07948, 0.00595, 0.00000, 0.12960, 771591
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.00743, 0.00053, 0.03080, 0.00439, 0.06999, 0.00491, 0.00000, 0.11806, 847027
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.00670, 0.00045, 0.03125, 0.00426, 0.06185, 0.00473, 0.00000, 0.10924, 915443
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.00650, 0.00054, 0.03179, 0.00563, 0.05243, 0.00499, 0.00000, 0.10188, 981531
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.00674, 0.00023, 0.02875, 0.00390, 0.04427, 0.00480, 0.00000, 0.08869, 1127463
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.00697, 0.00056, 0.03182, 0.00430, 0.03568, 0.00526, 0.00000, 0.08459, 1182178
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.00703, 0.00055, 0.03161, 0.00421, 0.02698, 0.00548, 0.00000, 0.07587, 1318126
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.00744, 0.00049, 0.03157, 0.00422, 0.01801, 0.00520, 0.00000, 0.06694, 1493912
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.00741, 0.00054, 0.03187, 0.00456, 0.01255, 0.00495, 0.00000, 0.06189, 1615761
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.00666, 0.00039, 0.02895, 0.00434, 0.01190, 0.00480, 0.00000, 0.05703, 1753441
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.00697, 0.00054, 0.03189, 0.00464, 0.01105, 0.00454, 0.00000, 0.05963, 1676937
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.00707, 0.00055, 0.03206, 0.00431, 0.01041, 0.00521, 0.00000, 0.05961, 1677526
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.00730, 0.00039, 0.02837, 0.00402, 0.00996, 0.00472, 0.00000, 0.05477, 1825749
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.00737, 0.00055, 0.02781, 0.00442, 0.00984, 0.00439, 0.00000, 0.05437, 1839180
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.00738, 0.00055, 0.02562, 0.00407, 0.00975, 0.00488, 0.00000, 0.05226, 1913663
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.00843, 0.00037, 0.02000, 0.00438, 0.00947, 0.00445, 0.00000, 0.04709, 2123486
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.00757, 0.00054, 0.02121, 0.00441, 0.01001, 0.00474, 0.00000, 0.04848, 2062742
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.00756, 0.00046, 0.02098, 0.00420, 0.00953, 0.00515, 0.00000, 0.04788, 2088635
