zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.36885, 0.00054, 0.00042, 0.00650, 9.35035, 0.23281, 0.00000, 9.95947, 10041
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.00726, 0.00054, 0.03151, 0.00658, 0.09852, 0.00570, 0.00000, 0.15011, 666192
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.00690, 0.00053, 0.03187, 0.00598, 0.08743, 0.00501, 0.00000, 0.13773, 726063
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.00689, 0.00053, 0.03184, 0.00599, 0.07953, 0.00630, 0.00000, 0.13108, 762879
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.00678, 0.00053, 0.03183, 0.00514, 0.07002, 0.00496, 0.00000, 0.11926, 838506
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.00692, 0.00054, 0.03181, 0.00514, 0.06186, 0.00483, 0.00000, 0.11108, 900217
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.00742, 0.00054, 0.03182, 0.00527, 0.05244, 0.00498, 0.00000, 0.10246, 975995
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.00729, 0.00053, 0.03189, 0.00430, 0.04427, 0.00411, 0.00000, 0.09239, 1082352
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.00731, 0.00054, 0.03180, 0.00459, 0.03570, 0.00521, 0.00000, 0.08515, 1174420
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.00735, 0.00054, 0.03169, 0.00499, 0.02700, 0.00480, 0.00000, 0.07637, 1309351
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.00742, 0.00054, 0.03197, 0.00488, 0.01805, 0.00506, 0.00000, 0.06792, 1472399
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.00745, 0.00055, 0.03197, 0.00484, 0.01260, 0.00486, 0.00000, 0.06227, 1605934
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.00751, 0.00055, 0.03205, 0.00457, 0.01195, 0.00523, 0.00000, 0.06185, 1616789
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.00760, 0.00056, 0.03241, 0.00492, 0.01107, 0.00482, 0.00000, 0.06138, 1629311
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.00745, 0.00055, 0.03219, 0.00463, 0.01041, 0.00465, 0.00000, 0.05988, 1670127
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.00752, 0.00056, 0.03011, 0.00472, 0.01000, 0.00474, 0.00000, 0.05764, 1734776
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.00748, 0.00055, 0.00707, 0.00442, 0.00997, 0.00461, 0.00000, 0.03409, 2933072
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.00751, 0.00055, 0.01756, 0.00459, 0.00978, 0.00537, 0.00000, 0.04537, 2204316
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.00737, 0.00055, 0.02057, 0.00490, 0.00954, 0.00540, 0.00000, 0.04833, 2069119
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.00759, 0.00055, 0.00928, 0.00482, 0.01005, 0.00530, 0.00000, 0.03758, 2660925
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.00749, 0.00058, 0.02632, 0.00531, 0.00953, 0.00545, 0.00000, 0.05468, 1828706
0.99, 2500, 24, 22, 100000, 0, 0.00000, 0.00749, 0.00056, 0.02412, 0.00513, 0.00960, 0.00485, 0.00000, 0.05174, 1932596
0.99, 2500, 24, 23, 100000, 0, 0.00000, 0.00720, 0.00050, 0.02019, 0.00498, 0.00948, 0.00503, 0.00000, 0.04740, 2109914
0.99, 2500, 24, 24, 100000, 0, 0.00000, 0.00681, 0.00049, 0.00040, 0.00526, 0.00974, 0.00518, 0.00000, 0.02790, 3584762
0.99, 2500, 24, 25, 100000, 0, 0.00000, 0.00716, 0.00050, 0.01988, 0.00508, 0.00959, 0.00496, 0.00000, 0.04716, 2120280
0.99, 2500, 24, 26, 100000, 0, 0.00000, 0.00723, 0.00050, 0.02276, 0.00487, 0.00955, 0.00490, 0.00000, 0.04982, 2007149
0.99, 2500, 24, 27, 100000, 0, 0.00000, 0.00732, 0.00055, 0.02118, 0.00460, 0.00925, 0.00469, 0.00000, 0.04760, 2100835
0.99, 2500, 24, 28, 100000, 0, 0.00000, 0.00728, 0.00055, 0.02376, 0.00495, 0.00942, 0.00492, 0.00000, 0.05089, 1964894
0.99, 2500, 24, 29, 100000, 0, 0.00000, 0.00729, 0.00055, 0.02145, 0.00466, 0.00951, 0.00484, 0.00000, 0.04829, 2070627
