zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.38234, 0.00057, 0.00043, 0.00264, 0.00284, 0.22518, 0.00000, 0.61399, 162868
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.00947, 0.00055, 0.00043, 0.00240, 0.00151, 0.00251, 0.00000, 0.01686, 5931757
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.00757, 0.00038, 0.00030, 0.00210, 0.00152, 0.00260, 0.00000, 0.01447, 6912471
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.00930, 0.00049, 0.00045, 0.00252, 0.00324, 0.00250, 0.00000, 0.01851, 5402480
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.00894, 0.00051, 0.00045, 0.00268, 0.00157, 0.00280, 0.00000, 0.01696, 5896168
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.00852, 0.00054, 0.00049, 0.00260, 0.00157, 0.00267, 0.00000, 0.01639, 6100996
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.00921, 0.00054, 0.00050, 0.00259, 0.00246, 0.00285, 0.00000, 0.01815, 5509959
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.00836, 0.00055, 0.00041, 0.00249, 0.00243, 0.00256, 0.00000, 0.01680, 5951421
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.00930, 0.00042, 0.00039, 0.00258, 0.00156, 0.00263, 0.00000, 0.01688, 5924142
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.00761, 0.00042, 0.00032, 0.00219, 0.00148, 0.00268, 0.00000, 0.01470, 6803086
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.00950, 0.00054, 0.00050, 0.00251, 0.00172, 0.00257, 0.00000, 0.01734, 5767642
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.00838, 0.00053, 0.00043, 0.00254, 0.00152, 0.00278, 0.00000, 0.01619, 6178549
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.00953, 0.00056, 0.00050, 0.00261, 0.00227, 0.00222, 0.00000, 0.01768, 5656079
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.00752, 0.00036, 0.00033, 0.00249, 0.00157, 0.00287, 0.00000, 0.01514, 6603324
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.00950, 0.00054, 0.00057, 0.00238, 0.00219, 0.00265, 0.00000, 0.01784, 5606530
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.00805, 0.00045, 0.00041, 0.00240, 0.00154, 0.00289, 0.00000, 0.01576, 6346827
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.00920, 0.00054, 0.00049, 0.00246, 0.00157, 0.00258, 0.00000, 0.01683, 5941120
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.00718, 0.00034, 0.00032, 0.00223, 0.00151, 0.00250, 0.00000, 0.01409, 7099206
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.00942, 0.00054, 0.00050, 0.00252, 0.00159, 0.00241, 0.00000, 0.01697, 5891495
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.00772, 0.00037, 0.00028, 0.00221, 0.00151, 0.00272, 0.00000, 0.01480, 6754998
