zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.30094, 0.00042, 0.00044, 0.00193, 0.00638, 0.23081, 0.00000, 0.54092, 184870
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.01328, 0.00080, 0.01892, 0.00231, 0.00648, 0.00459, 0.00000, 0.04638, 2156064
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.01228, 0.00070, 0.01891, 0.00199, 0.00553, 0.00439, 0.00000, 0.04380, 2283229
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.01215, 0.00050, 0.01858, 0.00271, 0.00594, 0.00475, 0.00000, 0.04464, 2240274
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.02072, 0.00114, 0.02440, 0.00370, 0.00592, 0.00503, 0.00000, 0.06091, 1641846
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.01706, 0.00074, 0.01830, 0.00249, 0.00578, 0.00486, 0.00000, 0.04924, 2030847
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.01520, 0.00115, 0.02428, 0.00266, 0.00563, 0.00479, 0.00000, 0.05372, 1861426
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.01367, 0.00092, 0.02080, 0.00287, 0.00579, 0.00501, 0.00000, 0.04905, 2038557
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.01966, 0.00086, 0.02272, 0.00270, 0.00501, 0.00478, 0.00000, 0.05572, 1794541
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.02069, 0.00074, 0.02246, 0.00270, 0.00505, 0.00470, 0.00000, 0.05634, 1774882
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.01610, 0.00083, 0.01952, 0.00235, 0.00481, 0.00475, 0.00000, 0.04835, 2068226
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.02174, 0.00091, 0.02418, 0.00206, 0.00520, 0.00449, 0.00000, 0.05858, 1707142
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.01718, 0.00059, 0.01795, 0.00225, 0.00490, 0.00423, 0.00000, 0.04710, 2123052
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.01863, 0.00053, 0.01863, 0.00338, 0.00510, 0.00474, 0.00000, 0.05100, 1960802
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.01392, 0.00075, 0.02042, 0.00273, 0.00455, 0.00606, 0.00000, 0.04843, 2065021
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.01529, 0.00078, 0.02225, 0.00293, 0.00502, 0.00524, 0.00000, 0.05152, 1941003
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.01585, 0.00099, 0.02147, 0.00248, 0.00411, 0.00452, 0.00000, 0.04942, 2023338
