zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.30161, 0.00041, 0.00041, 0.00625, 0.24786, 0.01049, 0.00000, 0.56703, 176357
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.01491, 0.00074, 0.02341, 0.00749, 0.29714, 0.00810, 0.00000, 0.35178, 284265
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.01259, 0.00116, 0.02407, 0.00644, 0.25634, 0.00846, 0.00000, 0.30906, 323565
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.01801, 0.00095, 0.02677, 0.00737, 0.24050, 0.00886, 0.00000, 0.30245, 330633
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.01644, 0.00086, 0.02278, 0.00588, 0.25710, 0.00780, 0.00000, 0.31086, 321691
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.01763, 0.00069, 0.02691, 0.00595, 0.28433, 0.00798, 0.00000, 0.34348, 291134
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.01662, 0.00084, 0.02432, 0.00572, 0.26019, 0.00772, 0.00000, 0.31541, 317045
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.01699, 0.00070, 0.02552, 0.00549, 0.21889, 0.00783, 0.00000, 0.27542, 363079
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.01719, 0.00076, 0.02600, 0.00553, 0.21582, 0.00808, 0.00000, 0.27337, 365802
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.01741, 0.00088, 0.02728, 0.00529, 0.21700, 0.00809, 0.00000, 0.27595, 362383
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.01827, 0.00077, 0.02941, 0.00524, 0.22016, 0.00795, 0.00000, 0.28182, 354839
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.01696, 0.00062, 0.03224, 0.00582, 0.22728, 0.00787, 0.00000, 0.29078, 343903
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.01840, 0.00085, 0.03188, 0.00506, 0.23338, 0.00860, 0.00000, 0.29817, 335378
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.01736, 0.00071, 0.03155, 0.00489, 0.23232, 0.00798, 0.00000, 0.29482, 339194
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.01833, 0.00079, 0.03218, 0.00578, 0.22171, 0.00877, 0.00000, 0.28755, 347761
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.01723, 0.00068, 0.03464, 0.00529, 0.19846, 0.00777, 0.00000, 0.26408, 378674
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.01811, 0.00076, 0.03299, 0.00532, 0.18136, 0.00853, 0.00000, 0.24707, 404749
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.01798, 0.00083, 0.03397, 0.00561, 0.17396, 0.00798, 0.00000, 0.24032, 416105
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.01807, 0.00084, 0.03655, 0.00538, 0.16850, 0.00892, 0.00000, 0.23826, 419716
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.01817, 0.00079, 0.03571, 0.00530, 0.16381, 0.00760, 0.00000, 0.23136, 432223
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.01819, 0.00086, 0.03720, 0.00458, 0.15612, 0.00783, 0.00000, 0.22477, 444890
0.99, 2500, 24, 22, 100000, 0, 0.00000, 0.01972, 0.00074, 0.03801, 0.00502, 0.15447, 0.00788, 0.00000, 0.22584, 442799
0.99, 2500, 24, 23, 100000, 0, 0.00000, 0.01816, 0.00063, 0.04060, 0.00492, 0.15725, 0.00782, 0.00000, 0.22938, 435954
0.99, 2500, 24, 24, 100000, 0, 0.00000, 0.01789, 0.00083, 0.03827, 0.00479, 0.15102, 0.00772, 0.00000, 0.22052, 453468
0.99, 2500, 24, 25, 100000, 0, 0.00000, 0.01874, 0.00076, 0.03984, 0.00524, 0.15294, 0.00759, 0.00000, 0.22511, 444222
0.99, 2500, 24, 26, 100000, 0, 0.00000, 0.02143, 0.00078, 0.04133, 0.00501, 0.14804, 0.00765, 0.00000, 0.22424, 445955
0.99, 2500, 24, 27, 100000, 0, 0.00000, 0.01901, 0.00066, 0.04210, 0.00475, 0.14695, 0.00803, 0.00000, 0.22150, 451468
0.99, 2500, 24, 28, 100000, 0, 0.00000, 0.01923, 0.00086, 0.04313, 0.00478, 0.14418, 0.00800, 0.00000, 0.22017, 454197
0.99, 2500, 24, 29, 100000, 0, 0.00000, 0.02029, 0.00085, 0.04401, 0.00451, 0.14446, 0.00766, 0.00000, 0.22178, 450888
0.99, 2500, 24, 30, 100000, 0, 0.00000, 0.02287, 0.00072, 0.04594, 0.00445, 0.14211, 0.00804, 0.00000, 0.22413, 446172
0.99, 2500, 24, 31, 100000, 0, 0.00000, 0.02247, 0.00077, 0.04404, 0.00469, 0.12441, 0.00773, 0.00000, 0.20410, 489963
0.99, 2500, 24, 32, 100000, 0, 0.00000, 0.01885, 0.00072, 0.04649, 0.00425, 0.11606, 0.00791, 0.00000, 0.19428, 514731
0.99, 2500, 24, 33, 100000, 0, 0.00000, 0.02039, 0.00085, 0.04615, 0.00450, 0.10782, 0.00800, 0.00000, 0.18772, 532716
0.99, 2500, 24, 34, 100000, 0, 0.00000, 0.01841, 0.00079, 0.04731, 0.00428, 0.09876, 0.00803, 0.00000, 0.17758, 563138
0.99, 2500, 24, 35, 100000, 0, 0.00000, 0.01790, 0.00093, 0.04636, 0.00453, 0.09014, 0.00778, 0.00000, 0.16763, 596544
0.99, 2500, 24, 36, 100000, 0, 0.00000, 0.02394, 0.00073, 0.04727, 0.00386, 0.08282, 0.00798, 0.00000, 0.16661, 600216
0.99, 2500, 24, 37, 100000, 0, 0.00000, 0.01782, 0.00083, 0.04848, 0.00367, 0.07643, 0.00769, 0.00000, 0.15493, 645454
0.99, 2500, 24, 38, 100000, 0, 0.00000, 0.01970, 0.00067, 0.04838, 0.00369, 0.06922, 0.00776, 0.00000, 0.14942, 669277
0.99, 2500, 24, 39, 100000, 0, 0.00000, 0.01759, 0.00072, 0.04699, 0.00350, 0.06573, 0.00792, 0.00000, 0.14246, 701967
0.99, 2500, 24, 40, 100000, 0, 0.00000, 0.02008, 0.00076, 0.04897, 0.00348, 0.05888, 0.00761, 0.00000, 0.13978, 715399
0.99, 2500, 24, 41, 100000, 0, 0.00000, 0.01782, 0.00082, 0.04955, 0.00336, 0.05488, 0.00792, 0.00000, 0.13434, 744361
0.99, 2500, 24, 42, 100000, 0, 0.00000, 0.02384, 0.00084, 0.04504, 0.00339, 0.04998, 0.00770, 0.00000, 0.13077, 764673
0.99, 2500, 24, 43, 100000, 0, 0.00000, 0.01972, 0.00082, 0.04521, 0.00316, 0.04242, 0.00772, 0.00000, 0.11905, 839972
0.99, 2500, 24, 44, 100000, 0, 0.00000, 0.02104, 0.00101, 0.04951, 0.00320, 0.03894, 0.00780, 0.00000, 0.12151, 822981
0.99, 2500, 24, 45, 100000, 0, 0.00000, 0.01827, 0.00086, 0.04560, 0.00339, 0.03765, 0.00783, 0.00000, 0.11359, 880375
0.99, 2500, 24, 46, 100000, 0, 0.00000, 0.01791, 0.00074, 0.05071, 0.00284, 0.03605, 0.00756, 0.00000, 0.11581, 863512
0.99, 2500, 24, 47, 100000, 0, 0.00000, 0.01935, 0.00106, 0.04315, 0.00339, 0.03393, 0.00771, 0.00000, 0.10858, 920967
0.99, 2500, 24, 48, 100000, 0, 0.00000, 0.01971, 0.00075, 0.03362, 0.00320, 0.03491, 0.00825, 0.00000, 0.10043, 995764
0.99, 2500, 24, 49, 100000, 0, 0.00000, 0.01176, 0.00047, 0.03243, 0.00286, 0.03544, 0.00763, 0.00000, 0.09059, 1103880
0.99, 2500, 24, 50, 100000, 0, 0.00000, 0.01378, 0.00077, 0.04557, 0.00295, 0.03239, 0.00707, 0.00000, 0.10252, 975395
0.99, 2500, 24, 51, 100000, 0, 0.00000, 0.01088, 0.00050, 0.03423, 0.00341, 0.03394, 0.00738, 0.00000, 0.09033, 1107003
0.99, 2500, 24, 52, 100000, 0, 0.00000, 0.01329, 0.00041, 0.03462, 0.00308, 0.03272, 0.00774, 0.00000, 0.09186, 1088618
0.99, 2500, 24, 53, 100000, 0, 0.00000, 0.01565, 0.00097, 0.03465, 0.00321, 0.03182, 0.00770, 0.00000, 0.09399, 1063896
0.99, 2500, 24, 54, 100000, 0, 0.00000, 0.01606, 0.00081, 0.03950, 0.00317, 0.03117, 0.00755, 0.00000, 0.09827, 1017637
0.99, 2500, 24, 55, 100000, 0, 0.00000, 0.01458, 0.00079, 0.04022, 0.00338, 0.03165, 0.00763, 0.00000, 0.09825, 1017791
0.99, 2500, 24, 56, 100000, 0, 0.00000, 0.01652, 0.00080, 0.03342, 0.00330, 0.03205, 0.00728, 0.00000, 0.09337, 1070984
0.99, 2500, 24, 57, 100000, 0, 0.00000, 0.01430, 0.00048, 0.03264, 0.00324, 0.02974, 0.00765, 0.00000, 0.08805, 1135754
0.99, 2500, 24, 58, 100000, 0, 0.00000, 0.01420, 0.00077, 0.03733, 0.00304, 0.03003, 0.00763, 0.00000, 0.09299, 1075341
0.99, 2500, 24, 59, 100000, 0, 0.00000, 0.01663, 0.00082, 0.04210, 0.00329, 0.02938, 0.00750, 0.00000, 0.09972, 1002845
0.99, 2500, 24, 60, 100000, 0, 0.00000, 0.01395, 0.00079, 0.03410, 0.00299, 0.02916, 0.00758, 0.00000, 0.08856, 1129132
0.99, 2500, 24, 61, 100000, 0, 0.00000, 0.01382, 0.00094, 0.03454, 0.00308, 0.02822, 0.00754, 0.00000, 0.08816, 1134351
0.99, 2500, 24, 62, 100000, 0, 0.00000, 0.01594, 0.00082, 0.04551, 0.00306, 0.02800, 0.00764, 0.00000, 0.10097, 990428
0.99, 2500, 24, 63, 100000, 0, 0.00000, 0.01307, 0.00103, 0.03461, 0.00300, 0.02857, 0.00746, 0.00000, 0.08774, 1139755
0.99, 2500, 24, 64, 100000, 0, 0.00000, 0.01604, 0.00104, 0.05289, 0.00311, 0.02691, 0.00753, 0.00000, 0.10752, 930019
0.99, 2500, 24, 65, 100000, 0, 0.00000, 0.01397, 0.00094, 0.03405, 0.00295, 0.02668, 0.00771, 0.00000, 0.08631, 1158663
0.99, 2500, 24, 66, 100000, 0, 0.00000, 0.01413, 0.00072, 0.03792, 0.00345, 0.02785, 0.00770, 0.00000, 0.09176, 1089849
0.99, 2500, 24, 67, 100000, 0, 0.00000, 0.01430, 0.00083, 0.03257, 0.00329, 0.02610, 0.00759, 0.00000, 0.08469, 1180788
0.99, 2500, 24, 68, 100000, 0, 0.00000, 0.01445, 0.00076, 0.03537, 0.00295, 0.02590, 0.00768, 0.00000, 0.08712, 1147905
0.99, 2500, 24, 69, 100000, 0, 0.00000, 0.01379, 0.00078, 0.03999, 0.00371, 0.02495, 0.00765, 0.00000, 0.09087, 1100495
0.99, 2500, 24, 70, 100000, 0, 0.00000, 0.01476, 0.00074, 0.04078, 0.00364, 0.02545, 0.00715, 0.00000, 0.09253, 1080698
0.99, 2500, 24, 71, 100000, 0, 0.00000, 0.01110, 0.00050, 0.04098, 0.00302, 0.02513, 0.00766, 0.00000, 0.08838, 1131453
0.99, 2500, 24, 72, 100000, 0, 0.00000, 0.01334, 0.00084, 0.03210, 0.00311, 0.02414, 0.00774, 0.00000, 0.08127, 1230406
0.99, 2500, 24, 73, 100000, 0, 0.00000, 0.01385, 0.00090, 0.03367, 0.00313, 0.02426, 0.00774, 0.00000, 0.08355, 1196918
0.99, 2500, 24, 74, 100000, 0, 0.00000, 0.01607, 0.00073, 0.04032, 0.00344, 0.02320, 0.00765, 0.00000, 0.09140, 1094060
0.99, 2500, 24, 75, 100000, 0, 0.00000, 0.01423, 0.00082, 0.03687, 0.00345, 0.02261, 0.00761, 0.00000, 0.08558, 1168454
0.99, 2500, 24, 76, 100000, 0, 0.00000, 0.02015, 0.00072, 0.03357, 0.01184, 0.02441, 0.00718, 0.00000, 0.09787, 1021788
0.99, 2500, 24, 77, 100000, 0, 0.00000, 0.01096, 0.00050, 0.04032, 0.00330, 0.02227, 0.00736, 0.00000, 0.08471, 1180496
0.99, 2500, 24, 78, 100000, 0, 0.00000, 0.02136, 0.00082, 0.03533, 0.00289, 0.02360, 0.00773, 0.00000, 0.09173, 1090186
0.99, 2500, 24, 79, 100000, 0, 0.00000, 0.02025, 0.00073, 0.04338, 0.00303, 0.02336, 0.00763, 0.00000, 0.09838, 1016471
0.99, 2500, 24, 80, 100000, 0, 0.00000, 0.02250, 0.00080, 0.03718, 0.00359, 0.02255, 0.00750, 0.00000, 0.09412, 1062489
0.99, 2500, 24, 81, 100000, 0, 0.00000, 0.02256, 0.00075, 0.03743, 0.00371, 0.02135, 0.00776, 0.00000, 0.09355, 1068980
0.99, 2500, 24, 82, 100000, 0, 0.00000, 0.01579, 0.00104, 0.03882, 0.00327, 0.02154, 0.00773, 0.00000, 0.08820, 1133784
0.99, 2500, 24, 83, 100000, 0, 0.00000, 0.01315, 0.00098, 0.03520, 0.00291, 0.02160, 0.00751, 0.00000, 0.08134, 1229418
0.99, 2500, 24, 84, 100000, 0, 0.00000, 0.01280, 0.00054, 0.05258, 0.00299, 0.02177, 0.00697, 0.00000, 0.09766, 1023985
0.99, 2500, 24, 85, 100000, 0, 0.00000, 0.01407, 0.00079, 0.03688, 0.00271, 0.02233, 0.00762, 0.00000, 0.08438, 1185046
0.99, 2500, 24, 86, 100000, 0, 0.00000, 0.01663, 0.00079, 0.03865, 0.00349, 0.02131, 0.00719, 0.00000, 0.08805, 1135692
0.99, 2500, 24, 87, 100000, 0, 0.00000, 0.01656, 0.00065, 0.03536, 0.00304, 0.02128, 0.00763, 0.00000, 0.08454, 1182896
0.99, 2500, 24, 88, 100000, 0, 0.00000, 0.01589, 0.00046, 0.03233, 0.00323, 0.02038, 0.00776, 0.00000, 0.08004, 1249420
