zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.28065, 0.00025, 0.00021, 0.00667, 9.34933, 0.23356, 0.00000, 9.87068, 10131
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.00633, 0.00017, 0.03054, 0.00602, 0.10013, 0.00720, 0.00000, 0.15040, 664910
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.00737, 0.00052, 0.03433, 0.00643, 0.08874, 0.00679, 0.00000, 0.14419, 693550
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.00721, 0.00050, 0.03420, 0.00535, 0.08079, 0.00508, 0.00000, 0.13312, 751195
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.00578, 0.00050, 0.03794, 0.00573, 0.07123, 0.00514, 0.00000, 0.12633, 791555
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.00584, 0.00051, 0.03424, 0.00511, 0.06284, 0.00481, 0.00000, 0.11333, 882359
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.00584, 0.00051, 0.03435, 0.00479, 0.05333, 0.00475, 0.00000, 0.10358, 965417
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.00566, 0.00051, 0.03408, 0.00482, 0.04495, 0.00458, 0.00000, 0.09460, 1057052
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.00548, 0.00051, 0.03434, 0.00473, 0.03625, 0.00503, 0.00000, 0.08635, 1158144
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.00548, 0.00051, 0.03416, 0.00499, 0.02749, 0.00545, 0.00000, 0.07808, 1280715
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.00498, 0.00051, 0.03418, 0.00471, 0.01832, 0.00544, 0.00000, 0.06814, 1467630
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.00493, 0.00053, 0.03412, 0.00458, 0.01276, 0.00532, 0.00000, 0.06224, 1606805
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.00542, 0.00051, 0.03458, 0.00462, 0.01209, 0.00442, 0.00000, 0.06165, 1622149
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.00443, 0.00030, 0.03031, 0.00426, 0.01123, 0.00432, 0.00000, 0.05484, 1823445
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.00506, 0.00052, 0.03421, 0.00441, 0.01058, 0.00509, 0.00000, 0.05987, 1670317
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.00509, 0.00051, 0.03199, 0.00439, 0.01008, 0.00467, 0.00000, 0.05673, 1762636
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.00512, 0.00053, 0.00771, 0.00481, 0.01008, 0.00467, 0.00000, 0.03291, 3038520
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.00444, 0.00033, 0.01599, 0.00486, 0.00991, 0.00466, 0.00000, 0.04019, 2488196
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.00560, 0.00033, 0.01794, 0.00514, 0.00965, 0.00493, 0.00000, 0.04358, 2294422
