zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.29273, 0.00051, 0.00058, 0.00551, 0.23944, 0.00470, 0.00000, 0.54348, 184001
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.00534, 0.00042, 0.03773, 0.00655, 0.29211, 0.00340, 0.00000, 0.34556, 289386
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.00648, 0.00051, 0.04092, 0.00548, 0.21770, 0.00356, 0.00000, 0.27465, 364096
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.00512, 0.00050, 0.04397, 0.00488, 0.19177, 0.00344, 0.00000, 0.24967, 400524
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.00511, 0.00050, 0.04640, 0.00506, 0.19165, 0.00337, 0.00000, 0.25209, 396691
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.00678, 0.00053, 0.05023, 0.00593, 0.19133, 0.00345, 0.00000, 0.25824, 387230
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.00563, 0.00052, 0.05372, 0.00466, 0.15013, 0.00368, 0.00000, 0.21835, 457985
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.00537, 0.00051, 0.05759, 0.00468, 0.10395, 0.00302, 0.00000, 0.17512, 571043
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.00529, 0.00019, 0.05546, 0.00475, 0.08740, 0.00301, 0.00000, 0.15609, 640664
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.00533, 0.00018, 0.05395, 0.00508, 0.07263, 0.00299, 0.00000, 0.14016, 713494
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.00518, 0.00017, 0.06187, 0.00468, 0.06788, 0.00293, 0.00000, 0.14271, 700742
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.00381, 0.00017, 0.05092, 0.00461, 0.06824, 0.00290, 0.00000, 0.13066, 765352
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.00525, 0.00018, 0.04641, 0.00538, 0.07145, 0.00349, 0.00000, 0.13216, 756674
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.00386, 0.00052, 0.04373, 0.00501, 0.07317, 0.00292, 0.00000, 0.12921, 773958
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.00510, 0.00018, 0.04800, 0.00457, 0.06949, 0.00286, 0.00000, 0.13020, 768065
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.00526, 0.00018, 0.04975, 0.00478, 0.06596, 0.00319, 0.00000, 0.12913, 774417
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.00375, 0.00018, 0.00821, 0.00402, 0.06839, 0.00296, 0.00000, 0.08751, 1142700
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.00379, 0.00018, 0.03370, 0.00447, 0.06641, 0.00296, 0.00000, 0.11151, 896763
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.00485, 0.00018, 0.08205, 0.00480, 0.06488, 0.00299, 0.00000, 0.15974, 626008
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.00422, 0.00018, 0.04422, 0.00417, 0.06627, 0.00337, 0.00000, 0.12244, 816758
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.00517, 0.00053, 0.04248, 0.00472, 0.06409, 0.00325, 0.00000, 0.12024, 831649
0.99, 2500, 24, 22, 100000, 0, 0.00000, 0.00524, 0.00052, 0.03104, 0.00567, 0.06833, 0.00295, 0.00000, 0.11376, 879080
0.99, 2500, 24, 23, 100000, 0, 0.00000, 0.00396, 0.00017, 0.03685, 0.00441, 0.06495, 0.00294, 0.00000, 0.11328, 882780
0.99, 2500, 24, 24, 100000, 0, 0.00000, 0.00372, 0.00017, 0.00016, 0.00550, 0.06824, 0.00301, 0.00000, 0.08080, 1237561
0.99, 2500, 24, 25, 100000, 0, 0.00000, 0.00479, 0.00018, 0.02853, 0.00455, 0.06885, 0.00293, 0.00000, 0.10983, 910517
0.99, 2500, 24, 26, 100000, 0, 0.00000, 0.00469, 0.00018, 0.03329, 0.00480, 0.06998, 0.00326, 0.00000, 0.11619, 860652
0.99, 2500, 24, 27, 100000, 0, 0.00000, 0.00511, 0.00054, 0.02489, 0.00440, 0.06964, 0.00291, 0.00000, 0.10749, 930332
0.99, 2500, 24, 28, 100000, 0, 0.00000, 0.00540, 0.00018, 0.02761, 0.00498, 0.06910, 0.00297, 0.00000, 0.11025, 907058
0.99, 2500, 24, 29, 100000, 0, 0.00000, 0.00527, 0.00017, 0.05416, 0.00452, 0.06834, 0.00301, 0.00000, 0.13547, 738150
0.99, 2500, 24, 30, 100000, 0, 0.00000, 0.00377, 0.00019, 0.00016, 0.00462, 0.07523, 0.00303, 0.00000, 0.08700, 1149450
0.99, 2500, 24, 31, 100000, 0, 0.00000, 0.00390, 0.00018, 0.01420, 0.00442, 0.07063, 0.00306, 0.00000, 0.09639, 1037496
0.99, 2500, 24, 32, 100000, 0, 0.00000, 0.00565, 0.00020, 0.02093, 0.00479, 0.06848, 0.00348, 0.00000, 0.10354, 965838
0.99, 2500, 24, 33, 100000, 0, 0.00000, 0.00571, 0.00053, 0.04313, 0.00487, 0.06762, 0.00312, 0.00000, 0.12498, 800106
0.99, 2500, 24, 34, 100000, 0, 0.00000, 0.00624, 0.00019, 0.02186, 0.00456, 0.06500, 0.00349, 0.00000, 0.10133, 986834
0.99, 2500, 24, 35, 100000, 0, 0.00000, 0.00537, 0.00055, 0.03422, 0.00483, 0.06958, 0.00330, 0.00000, 0.11786, 848496
0.99, 2500, 24, 36, 100000, 0, 0.00000, 0.00555, 0.00052, 0.03099, 0.00466, 0.06403, 0.00348, 0.00000, 0.10923, 915519
0.99, 2500, 24, 37, 100000, 0, 0.00000, 0.00567, 0.00053, 0.03163, 0.00452, 0.06208, 0.00293, 0.00000, 0.10737, 931381
