zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.30333, 0.00053, 0.00049, 0.00233, 0.00143, 0.24463, 0.00000, 0.55274, 180916
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.00638, 0.00024, 0.07898, 0.00251, 0.00167, 0.00270, 0.00000, 0.09248, 1081334
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.00612, 0.00048, 0.15367, 0.00250, 0.00177, 0.00294, 0.00000, 0.16748, 597088
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.00660, 0.00043, 0.15145, 0.00267, 0.00158, 0.00269, 0.00000, 0.16543, 604502
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.00695, 0.00052, 0.15490, 0.00271, 0.00165, 0.00275, 0.00000, 0.16948, 590050
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.00762, 0.00054, 0.15457, 0.00276, 0.00161, 0.00322, 0.00000, 0.17033, 587092
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.00781, 0.00040, 0.15385, 0.00254, 0.00157, 0.00280, 0.00000, 0.16897, 591821
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.00748, 0.00052, 0.15699, 0.00248, 0.00167, 0.00288, 0.00000, 0.17202, 581337
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.00702, 0.00052, 0.15262, 0.00261, 0.00160, 0.00305, 0.00000, 0.16741, 597333
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.00658, 0.00051, 0.15298, 0.00252, 0.00156, 0.00280, 0.00000, 0.16696, 598954
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.00643, 0.00051, 0.15223, 0.00239, 0.00160, 0.00316, 0.00000, 0.16632, 601236
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.00659, 0.00046, 0.14631, 0.00257, 0.00157, 0.00280, 0.00000, 0.16030, 623823
