zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.26619, 0.00089, 0.00065, 0.00185, 0.00640, 0.22937, 0.00000, 0.50536, 197879
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.01309, 0.00067, 0.00839, 0.00237, 0.00649, 0.00470, 0.00000, 0.03572, 2799842
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.01325, 0.00074, 0.00528, 0.00198, 0.00554, 0.00493, 0.00000, 0.03173, 3151677
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.01253, 0.00097, 0.00932, 0.00220, 0.00595, 0.00404, 0.00000, 0.03501, 2856400
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.01177, 0.00054, 0.00461, 0.00223, 0.00591, 0.00475, 0.00000, 0.02980, 3355669
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.01271, 0.00081, 0.00536, 0.00240, 0.00578, 0.00540, 0.00000, 0.03246, 3080876
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.02064, 0.00078, 0.00974, 0.00278, 0.00563, 0.00482, 0.00000, 0.04439, 2252660
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.01708, 0.00080, 0.00541, 0.00229, 0.00573, 0.00455, 0.00000, 0.03586, 2788463
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.01673, 0.00083, 0.00894, 0.00244, 0.00498, 0.00455, 0.00000, 0.03847, 2599335
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.01627, 0.00053, 0.00801, 0.00210, 0.00501, 0.00474, 0.00000, 0.03666, 2727977
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.01723, 0.00101, 0.00545, 0.00236, 0.00476, 0.00410, 0.00000, 0.03491, 2864323
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.01691, 0.00081, 0.00515, 0.00259, 0.00517, 0.00414, 0.00000, 0.03477, 2876168
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.01637, 0.00057, 0.00452, 0.00275, 0.00494, 0.00431, 0.00000, 0.03347, 2987404
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.01637, 0.00060, 0.00457, 0.00250, 0.00508, 0.00466, 0.00000, 0.03377, 2961292
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.01684, 0.00093, 0.00528, 0.00267, 0.00475, 0.00464, 0.00000, 0.03510, 2848712
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.01628, 0.00054, 0.00447, 0.00193, 0.00499, 0.01489, 0.00000, 0.04310, 2320103
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.01657, 0.00059, 0.00064, 0.00226, 0.00437, 0.00562, 0.00000, 0.03006, 3326542
0.40, 2500, 24, 18, 100000, 0, 0.00000, 0.01615, 0.00055, 0.00052, 0.00234, 0.00456, 0.00476, 0.00000, 0.02887, 3463285
0.40, 2500, 24, 19, 100000, 0, 0.00000, 0.01541, 0.00092, 0.00096, 0.00269, 0.00471, 0.00455, 0.00000, 0.02923, 3420820
0.40, 2500, 24, 20, 100000, 0, 0.00000, 0.01499, 0.00065, 0.00468, 0.00271, 0.00490, 0.00518, 0.00000, 0.03311, 3019950
0.40, 2500, 24, 21, 100000, 0, 0.00000, 0.01690, 0.00070, 0.00085, 0.00253, 0.00427, 0.00471, 0.00000, 0.02996, 3338051
0.40, 2500, 24, 22, 100000, 0, 0.00000, 0.01703, 0.00107, 0.00108, 0.00241, 0.00472, 0.00448, 0.00000, 0.03077, 3249546
0.40, 2500, 24, 23, 100000, 0, 0.00000, 0.01644, 0.00046, 0.00444, 0.00201, 0.00469, 0.00465, 0.00000, 0.03268, 3059534
0.40, 2500, 24, 24, 100000, 0, 0.00000, 0.01458, 0.00110, 0.00130, 0.00239, 0.00452, 0.00461, 0.00000, 0.02849, 3509787
0.40, 2500, 24, 25, 100000, 0, 0.00000, 0.01370, 0.00092, 0.00112, 0.00270, 0.00461, 0.00460, 0.00000, 0.02766, 3615953
0.40, 2500, 24, 26, 100000, 0, 0.00000, 0.01593, 0.00079, 0.00566, 0.00244, 0.00455, 0.00443, 0.00000, 0.03380, 2958961
0.40, 2500, 24, 27, 100000, 0, 0.00000, 0.01293, 0.00064, 0.00074, 0.00206, 0.00431, 0.00491, 0.00000, 0.02559, 3908387
0.40, 2500, 24, 28, 100000, 0, 0.00000, 0.01341, 0.00118, 0.00095, 0.00240, 0.00465, 0.00432, 0.00000, 0.02691, 3716108
0.40, 2500, 24, 29, 100000, 0, 0.00000, 0.01373, 0.00089, 0.00090, 0.00277, 0.00486, 0.00472, 0.00000, 0.02788, 3587203
