zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.30343, 0.00044, 0.00052, 0.00279, 0.01290, 0.00907, 0.00000, 0.32914, 303824
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.01390, 0.00064, 0.00837, 0.00263, 0.01359, 0.00735, 0.00000, 0.04648, 2151581
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.01247, 0.00060, 0.00500, 0.00218, 0.01209, 0.00836, 0.00000, 0.04070, 2456708
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.01274, 0.00066, 0.00844, 0.00248, 0.01239, 0.00752, 0.00000, 0.04423, 2260943
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.01219, 0.00057, 0.00482, 0.00272, 0.01270, 0.00802, 0.00000, 0.04102, 2437926
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.01285, 0.00083, 0.00551, 0.00198, 0.01312, 0.00748, 0.00000, 0.04177, 2394264
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.01263, 0.00085, 0.00870, 0.00251, 0.01315, 0.00784, 0.00000, 0.04567, 2189443
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.01279, 0.00090, 0.00540, 0.00250, 0.01253, 0.00782, 0.00000, 0.04194, 2384327
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.01270, 0.00076, 0.00945, 0.00238, 0.01103, 0.00772, 0.00000, 0.04404, 2270882
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.01312, 0.00098, 0.00949, 0.00246, 0.01102, 0.00761, 0.00000, 0.04468, 2238206
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.01279, 0.00078, 0.00548, 0.00226, 0.01131, 0.00779, 0.00000, 0.04041, 2474644
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.01275, 0.00096, 0.00551, 0.00238, 0.01159, 0.00746, 0.00000, 0.04066, 2459245
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.01206, 0.00050, 0.00484, 0.00215, 0.01047, 0.00772, 0.00000, 0.03775, 2648995
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.01282, 0.00073, 0.00542, 0.00208, 0.01093, 0.00724, 0.00000, 0.03922, 2549829
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.01216, 0.00050, 0.00480, 0.00254, 0.01098, 0.00725, 0.00000, 0.03823, 2615522
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.01213, 0.00060, 0.00479, 0.00274, 0.01114, 0.00789, 0.00000, 0.03929, 2544971
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.01316, 0.00074, 0.00090, 0.00210, 0.01024, 0.00730, 0.00000, 0.03443, 2904066
0.40, 2500, 24, 18, 100000, 0, 0.00000, 0.01226, 0.00065, 0.00081, 0.00219, 0.01059, 0.00780, 0.00000, 0.03430, 2915114
0.40, 2500, 24, 19, 100000, 0, 0.00000, 0.01297, 0.00077, 0.00091, 0.00226, 0.01063, 0.00726, 0.00000, 0.03480, 2873966
0.40, 2500, 24, 20, 100000, 0, 0.00000, 0.01550, 0.00045, 0.00494, 0.00243, 0.01062, 0.00762, 0.00000, 0.04156, 2406124
0.40, 2500, 24, 21, 100000, 0, 0.00000, 0.01308, 0.00073, 0.00090, 0.00282, 0.01015, 0.00795, 0.00000, 0.03564, 2806058
0.40, 2500, 24, 22, 100000, 0, 0.00000, 0.01794, 0.00106, 0.00091, 0.00264, 0.01101, 0.00769, 0.00000, 0.04126, 2423646
0.40, 2500, 24, 23, 100000, 0, 0.00000, 0.01713, 0.00076, 0.00553, 0.00205, 0.01161, 0.00789, 0.00000, 0.04496, 2224222
0.40, 2500, 24, 24, 100000, 0, 0.00000, 0.01707, 0.00075, 0.00091, 0.00251, 0.01065, 0.00778, 0.00000, 0.03967, 2520604
0.40, 2500, 24, 25, 100000, 0, 0.00000, 0.01692, 0.00082, 0.00097, 0.00266, 0.01099, 0.00770, 0.00000, 0.04006, 2496376
0.40, 2500, 24, 26, 100000, 0, 0.00000, 0.01684, 0.00069, 0.00541, 0.00294, 0.01133, 0.00778, 0.00000, 0.04499, 2222729
0.40, 2500, 24, 27, 100000, 0, 0.00000, 0.01769, 0.00079, 0.00091, 0.00265, 0.01088, 0.00748, 0.00000, 0.04040, 2475186
0.40, 2500, 24, 28, 100000, 0, 0.00000, 0.01652, 0.00063, 0.00061, 0.00240, 0.01207, 0.00726, 0.00000, 0.03948, 2533222
0.40, 2500, 24, 29, 100000, 0, 0.00000, 0.01656, 0.00057, 0.00064, 0.00246, 0.01157, 0.00780, 0.00000, 0.03959, 2525688
0.40, 2500, 24, 30, 100000, 0, 0.00000, 0.01683, 0.00070, 0.00081, 0.00291, 0.01105, 0.00769, 0.00000, 0.04000, 2500065
0.40, 2500, 24, 31, 100000, 0, 0.00000, 0.01703, 0.00079, 0.00090, 0.00252, 0.01145, 0.00764, 0.00000, 0.04033, 2479457
0.40, 2500, 24, 32, 100000, 0, 0.00000, 0.01708, 0.00104, 0.00130, 0.00227, 0.01087, 0.00693, 0.00000, 0.03950, 2531668
0.40, 2500, 24, 33, 100000, 0, 0.00000, 0.01213, 0.00048, 0.00053, 0.00270, 0.01226, 0.00763, 0.00000, 0.03573, 2798854
0.40, 2500, 24, 34, 100000, 0, 0.00000, 0.01308, 0.00075, 0.00597, 0.00283, 0.01231, 0.00793, 0.00000, 0.04286, 2332938
0.40, 2500, 24, 35, 100000, 0, 0.00000, 0.01836, 0.00098, 0.00118, 0.00273, 0.01215, 0.00696, 0.00000, 0.04236, 2360975
0.40, 2500, 24, 36, 100000, 0, 0.00000, 0.01208, 0.00048, 0.00053, 0.00226, 0.01311, 0.00715, 0.00000, 0.03562, 2807506
0.40, 2500, 24, 37, 100000, 0, 0.00000, 0.01206, 0.00046, 0.00494, 0.00198, 0.01166, 0.00712, 0.00000, 0.03821, 2616857
0.40, 2500, 24, 38, 100000, 0, 0.00000, 0.01210, 0.00041, 0.00052, 0.00289, 0.01172, 0.00788, 0.00000, 0.03552, 2815472
0.40, 2500, 24, 39, 100000, 0, 0.00000, 0.01305, 0.00074, 0.00090, 0.00240, 0.01248, 0.00725, 0.00000, 0.03681, 2716566
0.40, 2500, 24, 40, 100000, 0, 0.00000, 0.01609, 0.00047, 0.00060, 0.00217, 0.01218, 0.00681, 0.00000, 0.03833, 2609134
0.40, 2500, 24, 41, 100000, 0, 0.00000, 0.01236, 0.00052, 0.00066, 0.00276, 0.01186, 0.00785, 0.00000, 0.03601, 2776679
0.40, 2500, 24, 42, 100000, 0, 0.00000, 0.01296, 0.00100, 0.00096, 0.00261, 0.01205, 0.00749, 0.00000, 0.03706, 2698000
0.40, 2500, 24, 43, 100000, 0, 0.00000, 0.01244, 0.00067, 0.00081, 0.00258, 0.01166, 0.00780, 0.00000, 0.03595, 2781333
0.40, 2500, 24, 44, 100000, 0, 0.00000, 0.01660, 0.00085, 0.00096, 0.00224, 0.01170, 0.00718, 0.00000, 0.03954, 2529214
0.40, 2500, 24, 45, 100000, 0, 0.00000, 0.01221, 0.00067, 0.00081, 0.00204, 0.01148, 0.00729, 0.00000, 0.03450, 2898494
0.40, 2500, 24, 46, 100000, 0, 0.00000, 0.01186, 0.00051, 0.00061, 0.00239, 0.01164, 0.00762, 0.00000, 0.03463, 2887730
0.40, 2500, 24, 47, 100000, 0, 0.00000, 0.01725, 0.00075, 0.00091, 0.00224, 0.01181, 0.00672, 0.00000, 0.03967, 2520581
0.40, 2500, 24, 48, 100000, 0, 0.00000, 0.01221, 0.00067, 0.00081, 0.00262, 0.01181, 0.00776, 0.00000, 0.03589, 2786254
0.40, 2500, 24, 49, 100000, 0, 0.00000, 0.01277, 0.00077, 0.00578, 0.00207, 0.01264, 0.00787, 0.00000, 0.04190, 2386392
0.40, 2500, 24, 50, 100000, 0, 0.00000, 0.01360, 0.00072, 0.00086, 0.00255, 0.01253, 0.00777, 0.00000, 0.03803, 2629513
0.40, 2500, 24, 51, 100000, 0, 0.00000, 0.01235, 0.00051, 0.00060, 0.00256, 0.01293, 0.00744, 0.00000, 0.03640, 2747553
0.40, 2500, 24, 52, 100000, 0, 0.00000, 0.01601, 0.00084, 0.00098, 0.00192, 0.01239, 0.00751, 0.00000, 0.03965, 2522275
0.40, 2500, 24, 53, 100000, 0, 0.00000, 0.01394, 0.00075, 0.00586, 0.00203, 0.01328, 0.00747, 0.00000, 0.04332, 2308527
0.40, 2500, 24, 54, 100000, 0, 0.00000, 0.01176, 0.00072, 0.00082, 0.00214, 0.01141, 0.00743, 0.00000, 0.03427, 2917789
0.40, 2500, 24, 55, 100000, 0, 0.00000, 0.01522, 0.00062, 0.00067, 0.00217, 0.01242, 0.00713, 0.00000, 0.03823, 2615722
0.40, 2500, 24, 56, 100000, 0, 0.00000, 0.01150, 0.00056, 0.00059, 0.00207, 0.01186, 0.00801, 0.00000, 0.03459, 2891048
0.40, 2500, 24, 57, 100000, 0, 0.00000, 0.01295, 0.00093, 0.00113, 0.00215, 0.01181, 0.00711, 0.00000, 0.03607, 2772255
0.40, 2500, 24, 58, 100000, 0, 0.00000, 0.01578, 0.00045, 0.00052, 0.00218, 0.01195, 0.00717, 0.00000, 0.03804, 2628468
0.40, 2500, 24, 59, 100000, 0, 0.00000, 0.01285, 0.00073, 0.00091, 0.00261, 0.01192, 0.00740, 0.00000, 0.03643, 2745132
0.40, 2500, 24, 60, 100000, 0, 0.00000, 0.01216, 0.00050, 0.00060, 0.00207, 0.01154, 0.00710, 0.00000, 0.03397, 2944168
0.40, 2500, 24, 61, 100000, 0, 0.00000, 0.01191, 0.00044, 0.00053, 0.00274, 0.01174, 0.00737, 0.00000, 0.03473, 2879390
0.40, 2500, 24, 62, 100000, 0, 0.00000, 0.01227, 0.00049, 0.00059, 0.00220, 0.01208, 0.00710, 0.00000, 0.03474, 2878424
0.40, 2500, 24, 63, 100000, 0, 0.00000, 0.01690, 0.00043, 0.00053, 0.00250, 0.01189, 0.00725, 0.00000, 0.03949, 2532142
0.40, 2500, 24, 64, 100000, 0, 0.00000, 0.01231, 0.00064, 0.00584, 0.00225, 0.01045, 0.00772, 0.00000, 0.03921, 2550494
0.40, 2500, 24, 65, 100000, 0, 0.00000, 0.01672, 0.00096, 0.00086, 0.00230, 0.01179, 0.00711, 0.00000, 0.03974, 2516354
0.40, 2500, 24, 66, 100000, 0, 0.00000, 0.01318, 0.00076, 0.00090, 0.00218, 0.01221, 0.00756, 0.00000, 0.03679, 2718146
0.40, 2500, 24, 67, 100000, 0, 0.00000, 0.01732, 0.00054, 0.00058, 0.00287, 0.01128, 0.00719, 0.00000, 0.03979, 2513134
0.40, 2500, 24, 68, 100000, 0, 0.00000, 0.01262, 0.00054, 0.00068, 0.00288, 0.01226, 0.00801, 0.00000, 0.03699, 2703714
0.40, 2500, 24, 69, 100000, 0, 0.00000, 0.01610, 0.00078, 0.00086, 0.00263, 0.01263, 0.00691, 0.00000, 0.03991, 2505577
0.40, 2500, 24, 70, 100000, 0, 0.00000, 0.01167, 0.00048, 0.00053, 0.00219, 0.01114, 0.00720, 0.00000, 0.03321, 3010888
0.40, 2500, 24, 71, 100000, 0, 0.00000, 0.01612, 0.00048, 0.00053, 0.00239, 0.01012, 0.00705, 0.00000, 0.03669, 2725251
0.40, 2500, 24, 72, 100000, 0, 0.00000, 0.01189, 0.00048, 0.00052, 0.00246, 0.01027, 0.00790, 0.00000, 0.03353, 2982316
0.40, 2500, 24, 73, 100000, 0, 0.00000, 0.01369, 0.00088, 0.00110, 0.00250, 0.01061, 0.00760, 0.00000, 0.03639, 2748004
0.40, 2500, 24, 74, 100000, 0, 0.00000, 0.01184, 0.00050, 0.00060, 0.00228, 0.01029, 0.00716, 0.00000, 0.03267, 3061249
0.40, 2500, 24, 75, 100000, 0, 0.00000, 0.01579, 0.00047, 0.00052, 0.00208, 0.01072, 0.00710, 0.00000, 0.03668, 2725940
0.40, 2500, 24, 76, 100000, 0, 0.00000, 0.01559, 0.00041, 0.00052, 0.00212, 0.01084, 0.00794, 0.00000, 0.03741, 2673255
0.40, 2500, 24, 77, 100000, 0, 0.00000, 0.01926, 0.00094, 0.00111, 0.00282, 0.01065, 0.00762, 0.00000, 0.04240, 2358324
0.40, 2500, 24, 78, 100000, 0, 0.00000, 0.01249, 0.00054, 0.00061, 0.00272, 0.01065, 0.00759, 0.00000, 0.03460, 2890322
0.40, 2500, 24, 79, 100000, 0, 0.00000, 0.01257, 0.00082, 0.00096, 0.00221, 0.01040, 0.00784, 0.00000, 0.03481, 2872828
0.40, 2500, 24, 80, 100000, 0, 0.00000, 0.01681, 0.00078, 0.00096, 0.00215, 0.01010, 0.00665, 0.00000, 0.03746, 2669816
0.40, 2500, 24, 81, 100000, 0, 0.00000, 0.01239, 0.00049, 0.00061, 0.00205, 0.01027, 0.00771, 0.00000, 0.03351, 2984250
0.40, 2500, 24, 82, 100000, 0, 0.00000, 0.01215, 0.00077, 0.00065, 0.00238, 0.01073, 0.00737, 0.00000, 0.03405, 2937005
0.40, 2500, 24, 83, 100000, 0, 0.00000, 0.01456, 0.00047, 0.00052, 0.00259, 0.01056, 0.00744, 0.00000, 0.03614, 2767220
0.40, 2500, 24, 84, 100000, 0, 0.00000, 0.01250, 0.00085, 0.00096, 0.00277, 0.00981, 0.00769, 0.00000, 0.03459, 2890701
0.40, 2500, 24, 85, 100000, 0, 0.00000, 0.01263, 0.00080, 0.00097, 0.00216, 0.01025, 0.00770, 0.00000, 0.03451, 2897685
0.40, 2500, 24, 86, 100000, 0, 0.00000, 0.01690, 0.00079, 0.00096, 0.00236, 0.01052, 0.00708, 0.00000, 0.03861, 2589809
0.40, 2500, 24, 87, 100000, 0, 0.00000, 0.01230, 0.00052, 0.00063, 0.00215, 0.01042, 0.00803, 0.00000, 0.03404, 2937393
0.40, 2500, 24, 88, 100000, 0, 0.00000, 0.01923, 0.00076, 0.00091, 0.00230, 0.00998, 0.00738, 0.00000, 0.04055, 2465893
0.40, 2500, 24, 89, 100000, 0, 0.00000, 0.01290, 0.00075, 0.00091, 0.00232, 0.01050, 0.00744, 0.00000, 0.03482, 2871582
0.40, 2500, 24, 90, 100000, 0, 0.00000, 0.01202, 0.00049, 0.00055, 0.00227, 0.01074, 0.00801, 0.00000, 0.03407, 2935436
