zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.29567, 0.00106, 0.00094, 0.00191, 0.00157, 0.24035, 0.00000, 0.54150, 184673
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.01685, 0.00065, 0.00057, 0.00240, 0.00482, 0.00468, 0.00000, 0.02998, 3335504
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.01741, 0.00089, 0.00111, 0.00209, 0.00164, 0.00437, 0.00000, 0.02752, 3633826
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.01625, 0.00047, 0.00053, 0.00253, 0.00253, 0.00466, 0.00000, 0.02698, 3706781
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.01403, 0.00128, 0.00144, 0.00277, 0.00167, 0.00476, 0.00000, 0.02595, 3853688
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.01360, 0.00090, 0.00112, 0.00436, 0.00169, 0.00501, 0.00000, 0.02668, 3748696
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.01363, 0.00092, 0.00111, 0.00221, 0.00269, 0.00392, 0.00000, 0.02448, 4085536
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.01357, 0.00079, 0.00097, 0.00272, 0.00218, 0.00474, 0.00000, 0.02498, 4003752
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.01342, 0.00074, 0.00093, 0.00295, 0.00175, 0.00570, 0.00000, 0.02549, 3922783
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.01358, 0.00075, 0.00092, 0.00213, 0.00158, 0.00421, 0.00000, 0.02317, 4315529
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.01272, 0.00060, 0.00075, 0.00202, 0.00259, 0.00436, 0.00000, 0.02304, 4339956
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.01358, 0.00071, 0.00092, 0.00231, 0.00176, 0.00454, 0.00000, 0.02382, 4197334
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.01336, 0.00089, 0.00111, 0.00252, 0.00165, 0.00476, 0.00000, 0.02428, 4117863
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.01451, 0.00116, 0.00143, 0.00269, 0.00259, 0.00471, 0.00000, 0.02709, 3690974
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.01293, 0.00113, 0.00132, 0.00215, 0.00189, 0.00428, 0.00000, 0.02370, 4219939
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.01147, 0.00049, 0.00053, 0.00223, 0.00166, 0.00470, 0.00000, 0.02108, 4743876
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.01324, 0.00087, 0.00105, 0.00216, 0.00161, 0.00483, 0.00000, 0.02375, 4209972
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.01372, 0.00072, 0.00090, 0.00222, 0.00161, 0.00491, 0.00000, 0.02409, 4150980
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.01375, 0.00084, 0.00091, 0.00220, 0.00255, 0.00422, 0.00000, 0.02446, 4087965
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.01301, 0.00070, 0.00085, 0.00227, 0.00207, 0.00467, 0.00000, 0.02357, 4243340
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.01239, 0.00045, 0.00052, 0.00276, 0.00251, 0.00454, 0.00000, 0.02318, 4313144
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.01260, 0.00081, 0.00096, 0.00227, 0.00165, 0.00457, 0.00000, 0.02285, 4376056
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.01343, 0.00073, 0.00091, 0.00240, 0.00221, 0.00433, 0.00000, 0.02401, 4164378
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.01381, 0.00073, 0.00091, 0.00225, 0.00257, 0.00472, 0.00000, 0.02499, 4001734
0.00, 2500, 24, 25, 100000, 0, 0.00000, 0.01383, 0.00118, 0.00115, 0.00271, 0.00159, 0.00447, 0.00000, 0.02492, 4012624
0.00, 2500, 24, 26, 100000, 0, 0.00000, 0.01334, 0.00076, 0.00096, 0.00221, 0.00161, 0.00448, 0.00000, 0.02336, 4280285
0.00, 2500, 24, 27, 100000, 0, 0.00000, 0.01407, 0.00081, 0.00097, 0.00255, 0.00165, 0.00465, 0.00000, 0.02469, 4050062
0.00, 2500, 24, 28, 100000, 0, 0.00000, 0.01253, 0.00056, 0.00068, 0.00231, 0.00164, 0.00412, 0.00000, 0.02184, 4579738
0.00, 2500, 24, 29, 100000, 0, 0.00000, 0.01275, 0.00043, 0.00053, 0.00228, 0.00164, 0.00434, 0.00000, 0.02197, 4550938
0.00, 2500, 24, 30, 100000, 0, 0.00000, 0.01293, 0.00060, 0.00071, 0.00219, 0.00258, 0.00478, 0.00000, 0.02380, 4202314
0.00, 2500, 24, 31, 100000, 0, 0.00000, 0.01373, 0.00073, 0.00091, 0.00234, 0.00168, 0.00490, 0.00000, 0.02430, 4116043
0.00, 2500, 24, 32, 100000, 0, 0.00000, 0.01356, 0.00078, 0.00093, 0.00239, 0.00253, 0.00483, 0.00000, 0.02502, 3997082
0.00, 2500, 24, 33, 100000, 0, 0.00000, 0.01330, 0.00088, 0.00111, 0.00263, 0.00168, 0.00472, 0.00000, 0.02431, 4113405
0.00, 2500, 24, 34, 100000, 0, 0.00000, 0.01367, 0.00092, 0.00112, 0.00291, 0.00670, 0.00473, 0.00000, 0.03004, 3328452
0.00, 2500, 24, 35, 100000, 0, 0.00000, 0.01540, 0.00119, 0.00103, 0.00232, 0.00184, 0.00488, 0.00000, 0.02667, 3749130
0.00, 2500, 24, 36, 100000, 0, 0.00000, 0.01478, 0.00108, 0.00106, 0.00264, 0.00163, 0.00444, 0.00000, 0.02562, 3902500
0.00, 2500, 24, 37, 100000, 0, 0.00000, 0.01335, 0.00067, 0.00083, 0.00238, 0.00169, 0.00467, 0.00000, 0.02358, 4240328
0.00, 2500, 24, 38, 100000, 0, 0.00000, 0.01269, 0.00046, 0.00053, 0.00279, 0.00248, 0.00479, 0.00000, 0.02373, 4214414
0.00, 2500, 24, 39, 100000, 0, 0.00000, 0.01363, 0.00078, 0.00096, 0.00270, 0.00252, 0.00474, 0.00000, 0.02533, 3948034
0.00, 2500, 24, 40, 100000, 0, 0.00000, 0.01735, 0.00051, 0.00065, 0.00253, 0.00165, 0.00408, 0.00000, 0.02676, 3736413
0.00, 2500, 24, 41, 100000, 0, 0.00000, 0.01667, 0.00060, 0.00055, 0.00242, 0.00166, 0.00459, 0.00000, 0.02649, 3774798
0.00, 2500, 24, 42, 100000, 0, 0.00000, 0.01777, 0.00077, 0.00092, 0.00225, 0.00252, 0.00380, 0.00000, 0.02804, 3566865
0.00, 2500, 24, 43, 100000, 0, 0.00000, 0.01660, 0.00055, 0.00055, 0.00241, 0.00163, 0.00487, 0.00000, 0.02661, 3757574
0.00, 2500, 24, 44, 100000, 0, 0.00000, 0.01728, 0.00077, 0.00092, 0.00240, 0.00250, 0.00455, 0.00000, 0.02842, 3518655
0.00, 2500, 24, 45, 100000, 0, 0.00000, 0.01675, 0.00058, 0.00068, 0.00211, 0.00232, 0.00498, 0.00000, 0.02741, 3648676
0.00, 2500, 24, 46, 100000, 0, 0.00000, 0.01677, 0.00056, 0.00067, 0.00255, 0.00434, 0.00456, 0.00000, 0.02945, 3396000
0.00, 2500, 24, 47, 100000, 0, 0.00000, 0.01747, 0.00072, 0.00092, 0.00279, 0.00253, 0.00414, 0.00000, 0.02857, 3500605
0.00, 2500, 24, 48, 100000, 0, 0.00000, 0.01653, 0.00050, 0.00054, 0.00236, 0.00155, 0.00429, 0.00000, 0.02577, 3880534
0.00, 2500, 24, 49, 100000, 0, 0.00000, 0.01720, 0.00088, 0.00092, 0.00273, 0.00248, 0.00456, 0.00000, 0.02877, 3475621
