zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.29554, 0.00019, 0.00016, 0.00186, 0.00603, 0.23313, 0.00000, 0.53690, 186254
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.00654, 0.00024, 0.01252, 0.00182, 0.00570, 0.00362, 0.00000, 0.03044, 3284830
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.00635, 0.00055, 0.00742, 0.00250, 0.00485, 0.00302, 0.00000, 0.02469, 4050382
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.00659, 0.00053, 0.00759, 0.00280, 0.00458, 0.00262, 0.00000, 0.02471, 4047175
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.00572, 0.00040, 0.00704, 0.00277, 0.00409, 0.00312, 0.00000, 0.02314, 4320738
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.00720, 0.00047, 0.00731, 0.00247, 0.00442, 0.00288, 0.00000, 0.02476, 4039362
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.00574, 0.00052, 0.00035, 0.00270, 0.00445, 0.00305, 0.00000, 0.01682, 5946626
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.00635, 0.00053, 0.00043, 0.00229, 0.00442, 0.00291, 0.00000, 0.01693, 5905332
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.00602, 0.00053, 0.00740, 0.00270, 0.00802, 0.00270, 0.00000, 0.02737, 3653486
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.00577, 0.00053, 0.00752, 0.00231, 0.00404, 0.00298, 0.00000, 0.02316, 4317320
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.00638, 0.00053, 0.00041, 0.00286, 0.00412, 0.00294, 0.00000, 0.01723, 5802379
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.00578, 0.00053, 0.00032, 0.00291, 0.00432, 0.00333, 0.00000, 0.01718, 5819362
