zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.31699, 0.00020, 0.00012, 0.00191, 0.00237, 0.00309, 0.00000, 0.32468, 307996
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.00463, 0.00021, 0.00014, 0.00187, 0.00205, 0.00265, 0.00000, 0.01155, 8654725
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.00513, 0.00028, 0.00018, 0.00224, 0.00279, 0.00311, 0.00000, 0.01374, 7277944
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.00585, 0.00040, 0.00025, 0.00233, 0.00359, 0.00334, 0.00000, 0.01576, 6344711
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.00597, 0.00047, 0.00031, 0.00246, 0.00229, 0.00350, 0.00000, 0.01501, 6660200
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.00609, 0.00051, 0.00033, 0.00325, 0.00232, 0.00329, 0.00000, 0.01579, 6334988
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.00597, 0.00051, 0.00042, 0.00243, 0.00239, 0.00327, 0.00000, 0.01500, 6666790
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.00584, 0.00043, 0.00027, 0.00247, 0.00243, 0.00335, 0.00000, 0.01479, 6762932
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.00583, 0.00052, 0.00042, 0.00255, 0.00358, 0.00324, 0.00000, 0.01614, 6197412
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.00638, 0.00052, 0.00034, 0.00272, 0.00224, 0.00338, 0.00000, 0.01558, 6418325
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.00570, 0.00053, 0.00035, 0.00247, 0.00240, 0.00335, 0.00000, 0.01479, 6760576
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.00564, 0.00036, 0.00025, 0.00231, 0.00243, 0.00355, 0.00000, 0.01453, 6883136
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.00590, 0.00043, 0.00029, 0.00240, 0.00247, 0.00324, 0.00000, 0.01474, 6782818
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.00567, 0.00037, 0.00026, 0.00228, 0.00359, 0.00342, 0.00000, 0.01559, 6415196
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.00631, 0.00052, 0.00035, 0.00283, 0.00278, 0.00328, 0.00000, 0.01607, 6223495
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.00637, 0.00051, 0.00034, 0.00266, 0.00291, 0.00337, 0.00000, 0.01615, 6192988
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.00580, 0.00051, 0.00042, 0.00281, 0.00370, 0.00321, 0.00000, 0.01645, 6078256
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.00563, 0.00047, 0.00040, 0.00289, 0.00372, 0.00331, 0.00000, 0.01642, 6089796
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.00602, 0.00052, 0.00035, 0.00224, 0.00242, 0.00340, 0.00000, 0.01495, 6689016
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.00632, 0.00053, 0.00034, 0.00275, 0.00237, 0.00335, 0.00000, 0.01566, 6385828
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.00634, 0.00050, 0.00033, 0.00257, 0.00375, 0.00320, 0.00000, 0.01669, 5990618
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.00635, 0.00051, 0.00042, 0.00296, 0.00228, 0.00329, 0.00000, 0.01580, 6328533
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.00620, 0.00051, 0.00034, 0.00327, 0.00232, 0.00333, 0.00000, 0.01597, 6260748
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.00585, 0.00043, 0.00036, 0.00246, 0.00238, 0.00322, 0.00000, 0.01469, 6805148
0.00, 2500, 24, 25, 100000, 0, 0.00000, 0.00551, 0.00035, 0.00035, 0.00243, 0.00247, 0.00310, 0.00000, 0.01421, 7038075
0.00, 2500, 24, 26, 100000, 0, 0.00000, 0.00537, 0.00030, 0.00020, 0.00250, 0.00295, 0.00337, 0.00000, 0.01470, 6802178
0.00, 2500, 24, 27, 100000, 0, 0.00000, 0.00611, 0.00052, 0.00035, 0.00271, 0.00247, 0.00322, 0.00000, 0.01537, 6505749
0.00, 2500, 24, 28, 100000, 0, 0.00000, 0.00613, 0.00052, 0.00042, 0.00264, 0.00255, 0.00339, 0.00000, 0.01565, 6391086
0.00, 2500, 24, 29, 100000, 0, 0.00000, 0.00591, 0.00042, 0.00036, 0.00239, 0.00243, 0.00319, 0.00000, 0.01471, 6800400
0.00, 2500, 24, 30, 100000, 0, 0.00000, 0.00567, 0.00037, 0.00029, 0.00231, 0.00250, 0.00318, 0.00000, 0.01432, 6982269
0.00, 2500, 24, 31, 100000, 0, 0.00000, 0.00557, 0.00035, 0.00023, 0.00277, 0.00230, 0.00348, 0.00000, 0.01468, 6811653
0.00, 2500, 24, 32, 100000, 0, 0.00000, 0.00609, 0.00047, 0.00031, 0.00247, 0.00243, 0.00325, 0.00000, 0.01502, 6659956
0.00, 2500, 24, 33, 100000, 0, 0.00000, 0.00601, 0.00037, 0.00025, 0.00255, 0.00229, 0.00310, 0.00000, 0.01457, 6864180
0.00, 2500, 24, 34, 100000, 0, 0.00000, 0.00587, 0.00040, 0.00033, 0.00247, 0.00234, 0.00315, 0.00000, 0.01457, 6862794
0.00, 2500, 24, 35, 100000, 0, 0.00000, 0.00578, 0.00040, 0.00029, 0.00238, 0.00247, 0.00314, 0.00000, 0.01446, 6914003
0.00, 2500, 24, 36, 100000, 0, 0.00000, 0.00557, 0.00035, 0.00023, 0.00238, 0.00326, 0.00318, 0.00000, 0.01497, 6678644
0.00, 2500, 24, 37, 100000, 0, 0.00000, 0.00550, 0.00028, 0.00018, 0.00240, 0.00262, 0.00306, 0.00000, 0.01404, 7121072
0.00, 2500, 24, 38, 100000, 0, 0.00000, 0.00526, 0.00029, 0.00025, 0.00219, 0.00250, 0.00309, 0.00000, 0.01359, 7357834
0.00, 2500, 24, 39, 100000, 0, 0.00000, 0.00530, 0.00030, 0.00025, 0.00217, 0.00391, 0.00310, 0.00000, 0.01502, 6656804
0.00, 2500, 24, 40, 100000, 0, 0.00000, 0.00546, 0.00032, 0.00020, 0.00273, 0.00245, 0.00338, 0.00000, 0.01454, 6876634
0.00, 2500, 24, 41, 100000, 0, 0.00000, 0.00620, 0.00052, 0.00048, 0.00210, 0.00235, 0.00316, 0.00000, 0.01482, 6746625
0.00, 2500, 24, 42, 100000, 0, 0.00000, 0.00546, 0.00034, 0.00022, 0.00238, 0.00246, 0.00315, 0.00000, 0.01400, 7144200
0.00, 2500, 24, 43, 100000, 0, 0.00000, 0.00533, 0.00029, 0.00023, 0.00236, 0.00230, 0.00337, 0.00000, 0.01387, 7208514
0.00, 2500, 24, 44, 100000, 0, 0.00000, 0.00621, 0.00052, 0.00035, 0.00270, 0.00314, 0.00321, 0.00000, 0.01612, 6203479
0.00, 2500, 24, 45, 100000, 0, 0.00000, 0.00634, 0.00053, 0.00034, 0.00266, 0.00267, 0.00321, 0.00000, 0.01575, 6348516
0.00, 2500, 24, 46, 100000, 0, 0.00000, 0.00643, 0.00052, 0.00032, 0.00273, 0.00239, 0.00353, 0.00000, 0.01592, 6280431
0.00, 2500, 24, 47, 100000, 0, 0.00000, 0.00601, 0.00051, 0.00035, 0.00252, 0.00244, 0.00339, 0.00000, 0.01521, 6573828
0.00, 2500, 24, 48, 100000, 0, 0.00000, 0.00635, 0.00054, 0.00035, 0.00265, 0.00244, 0.00326, 0.00000, 0.01558, 6417354
0.00, 2500, 24, 49, 100000, 0, 0.00000, 0.00632, 0.00045, 0.00031, 0.00266, 0.00396, 0.00321, 0.00000, 0.01691, 5913200
0.00, 2500, 24, 50, 100000, 0, 0.00000, 0.00613, 0.00043, 0.00029, 0.00306, 0.00392, 0.00343, 0.00000, 0.01725, 5796416
0.00, 2500, 24, 51, 100000, 0, 0.00000, 0.00594, 0.00051, 0.00035, 0.00306, 0.00241, 0.00335, 0.00000, 0.01562, 6401720
0.00, 2500, 24, 52, 100000, 0, 0.00000, 0.00640, 0.00051, 0.00035, 0.00279, 0.00238, 0.00321, 0.00000, 0.01564, 6395830
0.00, 2500, 24, 53, 100000, 0, 0.00000, 0.00659, 0.00052, 0.00043, 0.00255, 0.00404, 0.00354, 0.00000, 0.01768, 5655295
0.00, 2500, 24, 54, 100000, 0, 0.00000, 0.00807, 0.00052, 0.00035, 0.00252, 0.00261, 0.00365, 0.00000, 0.01772, 5644820
0.00, 2500, 24, 55, 100000, 0, 0.00000, 0.00586, 0.00025, 0.00022, 0.00286, 0.00259, 0.00333, 0.00000, 0.01512, 6614868
0.00, 2500, 24, 56, 100000, 0, 0.00000, 0.00665, 0.00051, 0.00035, 0.00280, 0.00254, 0.00358, 0.00000, 0.01643, 6085411
0.00, 2500, 24, 57, 100000, 0, 0.00000, 0.00705, 0.00082, 0.00063, 0.00237, 0.00242, 0.00334, 0.00000, 0.01663, 6011492
0.00, 2500, 24, 58, 100000, 0, 0.00000, 0.00599, 0.00032, 0.00026, 0.00216, 0.00233, 0.00310, 0.00000, 0.01417, 7059492
0.00, 2500, 24, 59, 100000, 0, 0.00000, 0.00562, 0.00029, 0.00024, 0.00222, 0.00250, 0.00318, 0.00000, 0.01404, 7120786
0.00, 2500, 24, 60, 100000, 0, 0.00000, 0.00629, 0.00029, 0.00019, 0.00229, 0.00271, 0.00337, 0.00000, 0.01514, 6606962
0.00, 2500, 24, 61, 100000, 0, 0.00000, 0.00599, 0.00035, 0.00025, 0.00223, 0.00237, 0.00314, 0.00000, 0.01433, 6977828
0.00, 2500, 24, 62, 100000, 0, 0.00000, 0.00590, 0.00027, 0.00021, 0.00236, 0.00288, 0.00315, 0.00000, 0.01477, 6771480
0.00, 2500, 24, 63, 100000, 0, 0.00000, 0.00767, 0.00025, 0.00016, 0.00266, 0.00240, 0.00318, 0.00000, 0.01631, 6132165
0.00, 2500, 24, 64, 100000, 0, 0.00000, 0.00604, 0.00022, 0.00016, 0.00236, 0.00249, 0.00316, 0.00000, 0.01443, 6928862
0.00, 2500, 24, 65, 100000, 0, 0.00000, 0.00621, 0.00043, 0.00029, 0.00219, 0.00252, 0.00314, 0.00000, 0.01478, 6763896
0.00, 2500, 24, 66, 100000, 0, 0.00000, 0.00562, 0.00033, 0.00022, 0.00215, 0.00362, 0.00324, 0.00000, 0.01517, 6591071
0.00, 2500, 24, 67, 100000, 0, 0.00000, 0.00609, 0.00043, 0.00029, 0.00246, 0.00392, 0.00335, 0.00000, 0.01654, 6045332
0.00, 2500, 24, 68, 100000, 0, 0.00000, 0.00667, 0.00051, 0.00042, 0.00267, 0.00261, 0.00336, 0.00000, 0.01623, 6160870
0.00, 2500, 24, 69, 100000, 0, 0.00000, 0.00652, 0.00053, 0.00034, 0.00270, 0.00234, 0.00350, 0.00000, 0.01594, 6272196
