zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.30652, 0.00049, 0.00048, 0.00283, 0.00615, 0.24652, 0.00000, 0.56299, 177622
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.01963, 0.00060, 0.04595, 0.00243, 0.00620, 0.00457, 0.00000, 0.07939, 1259663
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.01596, 0.00060, 0.04292, 0.00205, 0.00547, 0.00432, 0.00000, 0.07131, 1402340
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.01757, 0.00104, 0.04717, 0.00247, 0.00580, 0.00484, 0.00000, 0.07890, 1267480
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.01944, 0.00077, 0.04835, 0.00223, 0.00570, 0.00491, 0.00000, 0.08139, 1228613
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.01985, 0.00100, 0.04747, 0.00238, 0.00552, 0.00576, 0.00000, 0.08198, 1219768
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.01934, 0.00077, 0.04734, 0.00243, 0.00541, 0.00461, 0.00000, 0.07990, 1251640
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.01940, 0.00077, 0.04675, 0.00296, 0.00549, 0.00477, 0.00000, 0.08016, 1247575
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.01890, 0.00077, 0.04806, 0.00255, 0.00485, 0.00460, 0.00000, 0.07973, 1254292
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.01856, 0.00095, 0.04769, 0.00265, 0.00483, 0.00460, 0.00000, 0.07927, 1261540
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.01901, 0.00079, 0.04787, 0.00231, 0.00454, 0.00444, 0.00000, 0.07897, 1266318
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.01908, 0.00058, 0.04717, 0.00251, 0.00493, 0.00461, 0.00000, 0.07888, 1267704
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.01602, 0.00122, 0.04786, 0.00226, 0.00478, 0.00454, 0.00000, 0.07668, 1304060
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.01623, 0.00074, 0.04670, 0.00252, 0.00492, 0.00491, 0.00000, 0.07602, 1315383
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.01549, 0.00084, 0.04820, 0.00271, 0.00442, 0.00418, 0.00000, 0.07584, 1318600
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.01528, 0.00073, 0.04844, 0.00258, 0.00483, 0.00501, 0.00000, 0.07686, 1301043
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.01612, 0.00077, 0.04815, 0.00235, 0.00400, 0.00466, 0.00000, 0.07604, 1315042
0.40, 2500, 24, 18, 100000, 0, 0.00000, 0.01916, 0.00088, 0.04818, 0.00256, 0.00410, 0.00489, 0.00000, 0.07976, 1253717
0.40, 2500, 24, 19, 100000, 0, 0.00000, 0.01955, 0.00102, 0.04718, 0.00238, 0.00383, 0.00483, 0.00000, 0.07880, 1269115
0.40, 2500, 24, 20, 100000, 0, 0.00000, 0.01759, 0.00077, 0.04651, 0.00203, 0.00365, 0.00400, 0.00000, 0.07455, 1341350
0.40, 2500, 24, 21, 100000, 0, 0.00000, 0.01969, 0.00060, 0.04653, 0.00282, 0.00330, 0.00476, 0.00000, 0.07769, 1287104
0.40, 2500, 24, 22, 100000, 0, 0.00000, 0.01895, 0.00081, 0.04838, 0.00290, 0.00357, 0.00488, 0.00000, 0.07949, 1258036
0.40, 2500, 24, 23, 100000, 0, 0.00000, 0.01937, 0.00080, 0.04727, 0.00206, 0.00391, 0.00520, 0.00000, 0.07861, 1272135
0.40, 2500, 24, 24, 100000, 0, 0.00000, 0.01591, 0.00092, 0.04826, 0.00235, 0.00316, 0.00431, 0.00000, 0.07490, 1335138
0.40, 2500, 24, 25, 100000, 0, 0.00000, 0.01522, 0.00067, 0.04591, 0.00259, 0.00316, 0.00391, 0.00000, 0.07146, 1399376
0.40, 2500, 24, 26, 100000, 0, 0.00000, 0.01574, 0.00068, 0.04562, 0.00257, 0.00357, 0.00442, 0.00000, 0.07260, 1377433
0.40, 2500, 24, 27, 100000, 0, 0.00000, 0.01609, 0.00078, 0.04824, 0.00278, 0.00330, 0.00480, 0.00000, 0.07600, 1315809
0.40, 2500, 24, 28, 100000, 0, 0.00000, 0.01576, 0.00089, 0.04885, 0.00269, 0.00328, 0.00460, 0.00000, 0.07608, 1314472
0.40, 2500, 24, 29, 100000, 0, 0.00000, 0.01575, 0.00075, 0.04828, 0.00276, 0.00291, 0.00491, 0.00000, 0.07535, 1327196
0.40, 2500, 24, 30, 100000, 0, 0.00000, 0.01585, 0.00076, 0.04805, 0.00255, 0.00313, 0.00564, 0.00000, 0.07598, 1316172
0.40, 2500, 24, 31, 100000, 0, 0.00000, 0.01617, 0.00118, 0.04790, 0.00290, 0.00285, 0.00468, 0.00000, 0.07568, 1321401
0.40, 2500, 24, 32, 100000, 0, 0.00000, 0.01627, 0.00096, 0.04803, 0.00228, 0.00287, 0.00479, 0.00000, 0.07521, 1329637
0.40, 2500, 24, 33, 100000, 0, 0.00000, 0.01575, 0.00107, 0.04898, 0.00266, 0.00292, 0.00494, 0.00000, 0.07632, 1310355
0.40, 2500, 24, 34, 100000, 0, 0.00000, 0.01586, 0.00097, 0.04818, 0.00273, 0.00277, 0.00462, 0.00000, 0.07514, 1330873
0.40, 2500, 24, 35, 100000, 0, 0.00000, 0.01560, 0.00080, 0.04784, 0.00248, 0.00290, 0.00484, 0.00000, 0.07446, 1343033
0.40, 2500, 24, 36, 100000, 0, 0.00000, 0.01592, 0.00075, 0.04814, 0.00256, 0.00274, 0.00484, 0.00000, 0.07495, 1334233
0.40, 2500, 24, 37, 100000, 0, 0.00000, 0.01632, 0.00119, 0.04819, 0.00228, 0.00284, 0.00448, 0.00000, 0.07530, 1327999
0.40, 2500, 24, 38, 100000, 0, 0.00000, 0.01581, 0.00079, 0.04754, 0.00271, 0.00267, 0.00442, 0.00000, 0.07393, 1352588
0.40, 2500, 24, 39, 100000, 0, 0.00000, 0.01446, 0.00083, 0.04880, 0.00248, 0.00250, 0.00453, 0.00000, 0.07360, 1358621
0.40, 2500, 24, 40, 100000, 0, 0.00000, 0.01422, 0.00073, 0.04751, 0.00260, 0.00291, 0.00562, 0.00000, 0.07359, 1358944
0.40, 2500, 24, 41, 100000, 0, 0.00000, 0.01422, 0.00100, 0.04847, 0.00278, 0.00291, 0.00481, 0.00000, 0.07418, 1348122
0.40, 2500, 24, 42, 100000, 0, 0.00000, 0.01530, 0.00073, 0.04847, 0.00273, 0.00271, 0.00444, 0.00000, 0.07438, 1344455
0.40, 2500, 24, 43, 100000, 0, 0.00000, 0.02072, 0.00080, 0.04883, 0.00282, 0.00264, 0.00427, 0.00000, 0.08008, 1248719
0.40, 2500, 24, 44, 100000, 0, 0.00000, 0.01608, 0.00083, 0.04862, 0.00269, 0.00269, 0.00489, 0.00000, 0.07580, 1319293
0.40, 2500, 24, 45, 100000, 0, 0.00000, 0.01622, 0.00075, 0.04794, 0.00247, 0.00278, 0.00475, 0.00000, 0.07492, 1334835
