zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.29905, 0.00078, 0.00070, 0.00193, 0.01234, 0.00891, 0.00000, 0.32371, 308917
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.01957, 0.00055, 0.04519, 0.00203, 0.01227, 0.00764, 0.00000, 0.08724, 1146235
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.01968, 0.00074, 0.04732, 0.00268, 0.01131, 0.00796, 0.00000, 0.08969, 1114968
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.01868, 0.00080, 0.04827, 0.00212, 0.01159, 0.00748, 0.00000, 0.08895, 1124246
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.01961, 0.00077, 0.04799, 0.00223, 0.01114, 0.00774, 0.00000, 0.08948, 1117511
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.01980, 0.00084, 0.04683, 0.00308, 0.01142, 0.00772, 0.00000, 0.08970, 1114832
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.01927, 0.00080, 0.04816, 0.00233, 0.01097, 0.00755, 0.00000, 0.08908, 1122554
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.01914, 0.00075, 0.04684, 0.00222, 0.01057, 0.00806, 0.00000, 0.08758, 1141790
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.01513, 0.00081, 0.04797, 0.00268, 0.00972, 0.00771, 0.00000, 0.08402, 1190251
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.01607, 0.00072, 0.04883, 0.00258, 0.00999, 0.00760, 0.00000, 0.08580, 1165538
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.01610, 0.00081, 0.04756, 0.00228, 0.00927, 0.00780, 0.00000, 0.08381, 1193114
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.01551, 0.00091, 0.04858, 0.00241, 0.01015, 0.00776, 0.00000, 0.08532, 1172044
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.01520, 0.00077, 0.04880, 0.00256, 0.00948, 0.00757, 0.00000, 0.08438, 1185055
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.01623, 0.00088, 0.04818, 0.00242, 0.00959, 0.00776, 0.00000, 0.08506, 1175623
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.01617, 0.00084, 0.04767, 0.00233, 0.00862, 0.00797, 0.00000, 0.08360, 1196126
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.02218, 0.00152, 0.04954, 0.00245, 0.00946, 0.00752, 0.00000, 0.09266, 1079160
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.01471, 0.00085, 0.04988, 0.00273, 0.00819, 0.00808, 0.00000, 0.08445, 1184190
0.40, 2500, 24, 18, 100000, 0, 0.00000, 0.02191, 0.00097, 0.05053, 0.00291, 0.00856, 0.00825, 0.00000, 0.09315, 1073564
0.40, 2500, 24, 19, 100000, 0, 0.00000, 0.01992, 0.00080, 0.05017, 0.00233, 0.00828, 0.00775, 0.00000, 0.08925, 1120432
0.40, 2500, 24, 20, 100000, 0, 0.00000, 0.01917, 0.00081, 0.04938, 0.00292, 0.00735, 0.00798, 0.00000, 0.08761, 1141463
0.40, 2500, 24, 21, 100000, 0, 0.00000, 0.01513, 0.00077, 0.04904, 0.00230, 0.00699, 0.00824, 0.00000, 0.08246, 1212669
0.40, 2500, 24, 22, 100000, 0, 0.00000, 0.01618, 0.00100, 0.04896, 0.00228, 0.00746, 0.00786, 0.00000, 0.08373, 1194369
0.40, 2500, 24, 23, 100000, 0, 0.00000, 0.01570, 0.00077, 0.04841, 0.00299, 0.00754, 0.00767, 0.00000, 0.08308, 1203673
