zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.31021, 0.00051, 0.00051, 0.00617, 9.34914, 0.23480, 0.00000, 9.90134, 10100
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.00787, 0.00017, 0.13461, 0.00620, 0.10468, 0.00713, 0.00000, 0.26067, 383627
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.00888, 0.00050, 0.13530, 0.00647, 0.09326, 0.00713, 0.00000, 0.25154, 397546
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.01027, 0.00049, 0.13502, 0.00597, 0.08454, 0.00557, 0.00000, 0.24186, 413456
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.00546, 0.00050, 0.13519, 0.00613, 0.07431, 0.00643, 0.00000, 0.22802, 438562
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.00569, 0.00051, 0.13519, 0.00605, 0.06588, 0.00523, 0.00000, 0.21855, 457568
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.00544, 0.00051, 0.13504, 0.00556, 0.05569, 0.00514, 0.00000, 0.20738, 482209
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.00542, 0.00046, 0.13534, 0.00467, 0.04711, 0.00475, 0.00000, 0.19775, 505679
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.00531, 0.00051, 0.13497, 0.00542, 0.03799, 0.00554, 0.00000, 0.18973, 527055
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.00893, 0.00051, 0.13479, 0.00533, 0.02859, 0.00514, 0.00000, 0.18330, 545568
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.00473, 0.00017, 0.12940, 0.00451, 0.01915, 0.00485, 0.00000, 0.16281, 614216
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.00787, 0.00026, 0.13510, 0.00465, 0.01336, 0.00636, 0.00000, 0.16760, 596664
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.00809, 0.00025, 0.13505, 0.00465, 0.01269, 0.00457, 0.00000, 0.16531, 604915
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.00597, 0.00051, 0.13512, 0.00429, 0.01169, 0.00466, 0.00000, 0.16225, 616321
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.00434, 0.00033, 0.12923, 0.00422, 0.01098, 0.00516, 0.00000, 0.15426, 648271
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.00556, 0.00032, 0.11198, 0.00483, 0.01062, 0.00485, 0.00000, 0.13816, 723782
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.00584, 0.00052, 0.08927, 0.00454, 0.01046, 0.00496, 0.00000, 0.11560, 865066
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.00557, 0.00052, 0.06647, 0.00455, 0.01040, 0.00473, 0.00000, 0.09224, 1084127
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.00825, 0.00036, 0.01914, 0.00391, 0.01007, 0.00470, 0.00000, 0.04643, 2153833
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.00543, 0.00040, 0.01931, 0.00443, 0.01065, 0.00454, 0.00000, 0.04476, 2234217
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.00539, 0.00040, 0.01919, 0.00432, 0.01017, 0.00552, 0.00000, 0.04500, 2222220
0.99, 2500, 24, 22, 100000, 0, 0.00000, 0.00524, 0.00047, 0.04340, 0.00449, 0.01005, 0.00460, 0.00000, 0.06827, 1464868
0.99, 2500, 24, 23, 100000, 0, 0.00000, 0.00445, 0.00032, 0.01656, 0.00417, 0.01003, 0.00461, 0.00000, 0.04015, 2490763
0.99, 2500, 24, 24, 100000, 0, 0.00000, 0.00542, 0.00052, 0.02418, 0.00456, 0.01031, 0.00510, 0.00000, 0.05010, 1996188
0.99, 2500, 24, 25, 100000, 0, 0.00000, 0.00469, 0.00052, 0.02025, 0.00458, 0.01033, 0.00574, 0.00000, 0.04610, 2169033
0.99, 2500, 24, 26, 100000, 0, 0.00000, 0.00409, 0.00053, 0.04194, 0.00477, 0.01011, 0.00505, 0.00000, 0.06650, 1503831
0.99, 2500, 24, 27, 100000, 0, 0.00000, 0.00414, 0.00017, 0.01505, 0.00421, 0.00979, 0.00483, 0.00000, 0.03819, 2618403
0.99, 2500, 24, 28, 100000, 0, 0.00000, 0.00477, 0.00051, 0.02024, 0.00423, 0.00995, 0.00483, 0.00000, 0.04454, 2245194
0.99, 2500, 24, 29, 100000, 0, 0.00000, 0.00444, 0.00035, 0.01695, 0.00407, 0.01005, 0.00477, 0.00000, 0.04062, 2461566
0.99, 2500, 24, 30, 100000, 0, 0.00000, 0.00467, 0.00052, 0.01972, 0.00429, 0.01064, 0.00487, 0.00000, 0.04472, 2236228
0.99, 2500, 24, 31, 100000, 0, 0.00000, 0.00437, 0.00025, 0.01655, 0.00393, 0.01024, 0.00475, 0.00000, 0.04009, 2494418
0.99, 2500, 24, 32, 100000, 0, 0.00000, 0.00401, 0.00023, 0.01521, 0.00346, 0.01040, 0.00387, 0.00000, 0.03717, 2690112
