zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.29991, 0.00051, 0.00041, 0.00595, 0.21333, 0.00522, 0.00000, 0.52534, 190351
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.00531, 0.00051, 0.13842, 0.00598, 0.20689, 0.00354, 0.00000, 0.36065, 277280
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.00508, 0.00051, 0.14105, 0.00540, 0.19317, 0.00351, 0.00000, 0.34872, 286760
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.00504, 0.00051, 0.14455, 0.00488, 0.18286, 0.00351, 0.00000, 0.34136, 292943
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.00510, 0.00050, 0.14673, 0.00464, 0.16532, 0.00344, 0.00000, 0.32573, 307007
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.00510, 0.00052, 0.15027, 0.00557, 0.15286, 0.00349, 0.00000, 0.31781, 314653
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.00515, 0.00051, 0.15427, 0.00452, 0.13382, 0.00345, 0.00000, 0.30172, 331434
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.00707, 0.00051, 0.15522, 0.00459, 0.11637, 0.00347, 0.00000, 0.28722, 348160
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.00745, 0.00051, 0.16013, 0.00483, 0.09919, 0.00300, 0.00000, 0.27511, 363485
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.00590, 0.00018, 0.15760, 0.00481, 0.08121, 0.00298, 0.00000, 0.25266, 395785
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.00512, 0.00018, 0.16024, 0.00433, 0.07268, 0.00305, 0.00000, 0.24560, 407160
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.00529, 0.00018, 0.15590, 0.00465, 0.06975, 0.00301, 0.00000, 0.23878, 418787
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.00461, 0.00018, 0.14129, 0.00462, 0.07211, 0.00290, 0.00000, 0.22572, 443036
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.00411, 0.00018, 0.14336, 0.00407, 0.07310, 0.00336, 0.00000, 0.22818, 438243
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.00544, 0.00055, 0.14988, 0.00448, 0.07514, 0.00331, 0.00000, 0.23879, 418778
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.00407, 0.00052, 0.12957, 0.00389, 0.07313, 0.00296, 0.00000, 0.21413, 467000
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.00435, 0.00017, 0.11386, 0.00460, 0.08186, 0.00350, 0.00000, 0.20835, 479960
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.00715, 0.00019, 0.10822, 0.00458, 0.07923, 0.00305, 0.00000, 0.20240, 494061
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.00542, 0.00019, 0.07005, 0.00405, 0.06545, 0.00290, 0.00000, 0.14807, 675370
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.00465, 0.00018, 0.03384, 0.00364, 0.06528, 0.00298, 0.00000, 0.11057, 904390
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.00420, 0.00018, 0.02215, 0.00407, 0.05989, 0.00329, 0.00000, 0.09377, 1066398
0.99, 2500, 24, 22, 100000, 0, 0.00000, 0.00506, 0.00052, 0.04665, 0.00500, 0.06842, 0.00300, 0.00000, 0.12865, 777310
0.99, 2500, 24, 23, 100000, 0, 0.00000, 0.00446, 0.00018, 0.02371, 0.00463, 0.06252, 0.00296, 0.00000, 0.09845, 1015785
0.99, 2500, 24, 24, 100000, 0, 0.00000, 0.00426, 0.00019, 0.01873, 0.00448, 0.06338, 0.00300, 0.00000, 0.09403, 1063450
0.99, 2500, 24, 25, 100000, 0, 0.00000, 0.00431, 0.00018, 0.02094, 0.00445, 0.53772, 0.00391, 0.00000, 0.57151, 174974
0.99, 2500, 24, 26, 100000, 0, 0.00000, 0.00562, 0.00053, 0.05401, 0.00520, 0.06489, 0.00298, 0.00000, 0.13323, 750576
0.99, 2500, 24, 27, 100000, 0, 0.00000, 0.00528, 0.00021, 0.01968, 0.00510, 0.06158, 0.00343, 0.00000, 0.09529, 1049447
0.99, 2500, 24, 28, 100000, 0, 0.00000, 0.00466, 0.00052, 0.02712, 0.00410, 0.06177, 0.00333, 0.00000, 0.10150, 985174
0.99, 2500, 24, 29, 100000, 0, 0.00000, 0.00694, 0.00053, 0.05960, 0.00452, 0.06324, 0.00337, 0.00000, 0.13820, 723598
0.99, 2500, 24, 30, 100000, 0, 0.00000, 0.00543, 0.00053, 0.04583, 0.00441, 0.06200, 0.00331, 0.00000, 0.12151, 823010
0.99, 2500, 24, 31, 100000, 0, 0.00000, 0.00586, 0.00053, 0.02974, 0.00423, 0.06097, 0.00328, 0.00000, 0.10461, 955971
0.99, 2500, 24, 32, 100000, 0, 0.00000, 0.00510, 0.00052, 0.02173, 0.00380, 0.06395, 0.00332, 0.00000, 0.09842, 1016066
0.99, 2500, 24, 33, 100000, 0, 0.00000, 0.00576, 0.00052, 0.03213, 0.00455, 0.06289, 0.00337, 0.00000, 0.10922, 915582
0.99, 2500, 24, 34, 100000, 0, 0.00000, 0.00612, 0.00052, 0.03519, 0.00466, 0.06169, 0.00332, 0.00000, 0.11150, 896882
0.99, 2500, 24, 35, 100000, 0, 0.00000, 0.00726, 0.00018, 0.04449, 0.00463, 0.06372, 0.00299, 0.00000, 0.12327, 811195
0.99, 2500, 24, 36, 100000, 0, 0.00000, 0.00504, 0.00021, 0.02309, 0.00390, 0.06405, 0.00349, 0.00000, 0.09978, 1002252
0.99, 2500, 24, 37, 100000, 0, 0.00000, 0.00593, 0.00053, 0.04890, 0.00558, 0.06212, 0.00330, 0.00000, 0.12636, 791372
0.99, 2500, 24, 38, 100000, 0, 0.00000, 0.00543, 0.00053, 0.03185, 0.00445, 0.06387, 0.00341, 0.00000, 0.10955, 912831
0.99, 2500, 24, 39, 100000, 0, 0.00000, 0.00578, 0.00053, 0.02453, 0.00437, 0.06250, 0.00305, 0.00000, 0.10075, 992544
0.99, 2500, 24, 40, 100000, 0, 0.00000, 0.00444, 0.00018, 0.04407, 0.00378, 0.06196, 0.00292, 0.00000, 0.11734, 852225
0.99, 2500, 24, 41, 100000, 0, 0.00000, 0.00705, 0.00019, 0.02345, 0.00447, 0.06481, 0.00287, 0.00000, 0.10284, 972413
0.99, 2500, 24, 42, 100000, 0, 0.00000, 0.00622, 0.00018, 0.04703, 0.00358, 0.06412, 0.00276, 0.00000, 0.12389, 807142
0.99, 2500, 24, 43, 100000, 0, 0.00000, 0.00547, 0.00019, 0.04630, 0.00477, 0.06165, 0.00329, 0.00000, 0.12167, 821902
0.99, 2500, 24, 44, 100000, 0, 0.00000, 0.00664, 0.00018, 0.01552, 0.00419, 0.06293, 0.00346, 0.00000, 0.09292, 1076186
0.99, 2500, 24, 45, 100000, 0, 0.00000, 0.00773, 0.00053, 0.03136, 0.00402, 0.06264, 0.00255, 0.00000, 0.10882, 918971
0.99, 2500, 24, 46, 100000, 0, 0.00000, 0.00518, 0.00033, 0.05422, 0.00429, 0.06324, 0.00335, 0.00000, 0.13061, 765663
0.99, 2500, 24, 47, 100000, 0, 0.00000, 0.00767, 0.00053, 0.05351, 0.00474, 0.06432, 0.00331, 0.00000, 0.13408, 745832
0.99, 2500, 24, 48, 100000, 0, 0.00000, 0.00486, 0.00054, 0.07435, 0.00517, 0.06298, 0.00299, 0.00000, 0.15089, 662732
0.99, 2500, 24, 49, 100000, 0, 0.00000, 0.00440, 0.00017, 0.04858, 0.00416, 0.50663, 0.00358, 0.00000, 0.56753, 176201
0.99, 2500, 24, 50, 100000, 0, 0.00000, 0.00770, 0.00053, 0.02901, 0.00499, 0.06562, 0.00366, 0.00000, 0.11151, 896775
0.99, 2500, 24, 51, 100000, 0, 0.00000, 0.00637, 0.00053, 0.05456, 0.00459, 0.06397, 0.00294, 0.00000, 0.13295, 752140
0.99, 2500, 24, 52, 100000, 0, 0.00000, 0.00461, 0.00019, 0.05460, 0.00450, 0.06305, 0.00294, 0.00000, 0.12988, 769919
0.99, 2500, 24, 53, 100000, 0, 0.00000, 0.00741, 0.00018, 0.02474, 0.00427, 0.06231, 0.00263, 0.00000, 0.10153, 984893
0.99, 2500, 24, 54, 100000, 0, 0.00000, 0.01290, 0.00041, 0.03289, 0.00508, 0.06064, 0.00298, 0.00000, 0.11490, 870342
0.99, 2500, 24, 55, 100000, 0, 0.00000, 0.00453, 0.00018, 0.02537, 0.00406, 0.06233, 0.00293, 0.00000, 0.09940, 1006072
0.99, 2500, 24, 56, 100000, 0, 0.00000, 0.00802, 0.00017, 0.02018, 0.00462, 0.06259, 0.00296, 0.00000, 0.09854, 1014840
