zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.29537, 0.00043, 0.00052, 0.00603, 0.20981, 0.01065, 0.00000, 0.52281, 191273
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.01936, 0.00066, 0.05012, 0.00619, 0.21688, 0.00767, 0.00000, 0.30089, 332351
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.01837, 0.00078, 0.04919, 0.00591, 0.21678, 0.00775, 0.00000, 0.29878, 334695
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.01840, 0.00079, 0.04968, 0.00689, 0.22467, 0.00794, 0.00000, 0.30837, 324288
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.02144, 0.00074, 0.05729, 0.00588, 0.22637, 0.00811, 0.00000, 0.31983, 312664
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.01802, 0.00087, 0.05095, 0.00570, 0.23046, 0.00790, 0.00000, 0.31390, 318572
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.01828, 0.00078, 0.05334, 0.00615, 0.23653, 0.00773, 0.00000, 0.32281, 309775
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.01801, 0.00082, 0.05313, 0.00522, 0.23224, 0.00789, 0.00000, 0.31730, 315155
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.01808, 0.00084, 0.05362, 0.00584, 0.23531, 0.00790, 0.00000, 0.32158, 310961
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.01835, 0.00076, 0.05595, 0.00589, 0.23881, 0.00903, 0.00000, 0.32878, 304156
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.01853, 0.00064, 0.05632, 0.00539, 0.23647, 0.00762, 0.00000, 0.32496, 307730
