zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.32019, 0.00118, 0.00142, 0.00206, 0.00493, 0.00801, 0.00000, 0.33778, 296047
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.01205, 0.00046, 0.00052, 0.00217, 0.00297, 0.00717, 0.00000, 0.02533, 3947271
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.01234, 0.00042, 0.00052, 0.00226, 0.00308, 0.00752, 0.00000, 0.02614, 3824840
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.01261, 0.00065, 0.00078, 0.00269, 0.00331, 0.00796, 0.00000, 0.02800, 3571035
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.01312, 0.00098, 0.00113, 0.00256, 0.00525, 0.00789, 0.00000, 0.03093, 3232674
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.01305, 0.00077, 0.00089, 0.00279, 0.00322, 0.00773, 0.00000, 0.02844, 3515620
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.01308, 0.00075, 0.00090, 0.00235, 0.00468, 0.00791, 0.00000, 0.02968, 3369520
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.01300, 0.00080, 0.00096, 0.00229, 0.00337, 0.00786, 0.00000, 0.02829, 3535376
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.01300, 0.00078, 0.00096, 0.00207, 0.00543, 0.00738, 0.00000, 0.02962, 3376054
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.01217, 0.00048, 0.00055, 0.00222, 0.00526, 0.00729, 0.00000, 0.02796, 3576052
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.01269, 0.00054, 0.00065, 0.00260, 0.00312, 0.00771, 0.00000, 0.02731, 3662306
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.01309, 0.00078, 0.00096, 0.00256, 0.00313, 0.00762, 0.00000, 0.02814, 3553710
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.01287, 0.00080, 0.00095, 0.00237, 0.00308, 0.00786, 0.00000, 0.02792, 3581814
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.01269, 0.00080, 0.00096, 0.00216, 0.00307, 0.00734, 0.00000, 0.02702, 3700491
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.01205, 0.00053, 0.00058, 0.00222, 0.00353, 0.00708, 0.00000, 0.02599, 3848296
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.01196, 0.00047, 0.00052, 0.00265, 0.00331, 0.00758, 0.00000, 0.02648, 3776304
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.01290, 0.00066, 0.00077, 0.00227, 0.00304, 0.00745, 0.00000, 0.02710, 3690335
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.01206, 0.00064, 0.00065, 0.00216, 0.00313, 0.00784, 0.00000, 0.02649, 3775388
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.01351, 0.00090, 0.00111, 0.00272, 0.00311, 0.00800, 0.00000, 0.02935, 3406965
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.01316, 0.00064, 0.00073, 0.00246, 0.00309, 0.00718, 0.00000, 0.02727, 3666809
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.01245, 0.00046, 0.00056, 0.00218, 0.00303, 0.00735, 0.00000, 0.02602, 3842639
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.01248, 0.00049, 0.00058, 0.00223, 0.00304, 0.00759, 0.00000, 0.02641, 3786405
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.01284, 0.00076, 0.00090, 0.00278, 0.00306, 0.00798, 0.00000, 0.02831, 3532158
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.01351, 0.00089, 0.00104, 0.00242, 0.00306, 0.00747, 0.00000, 0.02837, 3524520
0.00, 2500, 24, 25, 100000, 0, 0.00000, 0.01261, 0.00060, 0.00068, 0.00221, 0.00307, 0.00717, 0.00000, 0.02634, 3795802
0.00, 2500, 24, 26, 100000, 0, 0.00000, 0.01233, 0.00050, 0.00052, 0.00287, 0.00318, 0.00772, 0.00000, 0.02710, 3689544
