zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.30610, 0.00055, 0.00035, 0.00194, 0.00635, 0.22943, 0.00000, 0.54471, 183584
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.00586, 0.00018, 0.05355, 0.00257, 0.00592, 0.00299, 0.00000, 0.07106, 1407168
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.00572, 0.00052, 0.02759, 0.00225, 0.00500, 0.00243, 0.00000, 0.04351, 2298365
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.00553, 0.00052, 0.02750, 0.00275, 0.00479, 0.00316, 0.00000, 0.04426, 2259473
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.00585, 0.00051, 0.02756, 0.00230, 0.00430, 0.00290, 0.00000, 0.04342, 2303058
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.00475, 0.00029, 0.02621, 0.00210, 0.00456, 0.00298, 0.00000, 0.04090, 2444933
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.00560, 0.00054, 0.00043, 0.00265, 0.00464, 0.00305, 0.00000, 0.01690, 5915462
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.00583, 0.00052, 0.00041, 0.00281, 0.00470, 0.00318, 0.00000, 0.01745, 5729723
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.00590, 0.00052, 0.02747, 0.00254, 0.00432, 0.00298, 0.00000, 0.04372, 2287269
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.00567, 0.00052, 0.02760, 0.00246, 0.00422, 0.00296, 0.00000, 0.04343, 2302456
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.00578, 0.00052, 0.00036, 0.00279, 0.00434, 0.00295, 0.00000, 0.01674, 5972497
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.00600, 0.00052, 0.00034, 0.00258, 0.00448, 0.00300, 0.00000, 0.01692, 5908642
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.00584, 0.00053, 0.00050, 0.00271, 0.00438, 0.00289, 0.00000, 0.01685, 5936347
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.00533, 0.00052, 0.00044, 0.00248, 0.00406, 0.00306, 0.00000, 0.01590, 6288664
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.00560, 0.00052, 0.00041, 0.00271, 0.00419, 0.00306, 0.00000, 0.01650, 6060980
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.00558, 0.00052, 0.00044, 0.00235, 0.00434, 0.00308, 0.00000, 0.01632, 6127876
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.00578, 0.00051, 0.00041, 0.00268, 0.00408, 0.00274, 0.00000, 0.01620, 6172635
0.40, 2500, 24, 18, 100000, 0, 0.00000, 0.00517, 0.00037, 0.00030, 0.00261, 0.00432, 0.00307, 0.00000, 0.01583, 6317617
0.40, 2500, 24, 19, 100000, 0, 0.00000, 0.00569, 0.00051, 0.00045, 0.00271, 0.00441, 0.00303, 0.00000, 0.01679, 5954676
0.40, 2500, 24, 20, 100000, 0, 0.00000, 0.00576, 0.00052, 0.00041, 0.00255, 0.00471, 0.00279, 0.00000, 0.01675, 5971636
0.40, 2500, 24, 21, 100000, 0, 0.00000, 0.00557, 0.00053, 0.00034, 0.00231, 0.00410, 0.00276, 0.00000, 0.01561, 6404407
0.40, 2500, 24, 22, 100000, 0, 0.00000, 0.00539, 0.00052, 0.00044, 0.00251, 0.00418, 0.00289, 0.00000, 0.01594, 6274470
0.40, 2500, 24, 23, 100000, 0, 0.00000, 0.00497, 0.00035, 0.00028, 0.00198, 0.00410, 0.00326, 0.00000, 0.01493, 6695773
0.40, 2500, 24, 24, 100000, 0, 0.00000, 0.00561, 0.00052, 0.00053, 0.00274, 0.00431, 0.00310, 0.00000, 0.01682, 5946352
0.40, 2500, 24, 25, 100000, 0, 0.00000, 0.00562, 0.00052, 0.00042, 0.00287, 0.00442, 0.00273, 0.00000, 0.01659, 6029260
0.40, 2500, 24, 26, 100000, 0, 0.00000, 0.00582, 0.00052, 0.00041, 0.00260, 0.00424, 0.00287, 0.00000, 0.01646, 6073760
0.40, 2500, 24, 27, 100000, 0, 0.00000, 0.00583, 0.00052, 0.00037, 0.00276, 0.00430, 0.00291, 0.00000, 0.01669, 5992964
0.40, 2500, 24, 28, 100000, 0, 0.00000, 0.00512, 0.00031, 0.00026, 0.00212, 0.00420, 0.00285, 0.00000, 0.01486, 6727994
0.40, 2500, 24, 29, 100000, 0, 0.00000, 0.00588, 0.00052, 0.00034, 0.00249, 0.00439, 0.00301, 0.00000, 0.01663, 6014193
0.40, 2500, 24, 30, 100000, 0, 0.00000, 0.00589, 0.00052, 0.00034, 0.00231, 0.00453, 0.00300, 0.00000, 0.01659, 6026677
0.40, 2500, 24, 31, 100000, 0, 0.00000, 0.00557, 0.00047, 0.00037, 0.00249, 0.00431, 0.00284, 0.00000, 0.01606, 6226718
0.40, 2500, 24, 32, 100000, 0, 0.00000, 0.00561, 0.00053, 0.00038, 0.00269, 0.00397, 0.00298, 0.00000, 0.01615, 6190687
0.40, 2500, 24, 33, 100000, 0, 0.00000, 0.00564, 0.00052, 0.00046, 0.00265, 0.00429, 0.00288, 0.00000, 0.01644, 6082412
0.40, 2500, 24, 34, 100000, 0, 0.00000, 0.00544, 0.00038, 0.00025, 0.00225, 0.00414, 0.00266, 0.00000, 0.01512, 6614904
0.40, 2500, 24, 35, 100000, 0, 0.00000, 0.00511, 0.00029, 0.00019, 0.00213, 0.00416, 0.00238, 0.00000, 0.01425, 7016146
0.40, 2500, 24, 36, 100000, 0, 0.00000, 0.00506, 0.00026, 0.00026, 0.00250, 0.00458, 0.00286, 0.00000, 0.01553, 6438076
0.40, 2500, 24, 37, 100000, 0, 0.00000, 0.00541, 0.00044, 0.00037, 0.00256, 0.00458, 0.00297, 0.00000, 0.01634, 6120554
0.40, 2500, 24, 38, 100000, 0, 0.00000, 0.00541, 0.00043, 0.00035, 0.00225, 0.00403, 0.00296, 0.00000, 0.01544, 6477836
0.40, 2500, 24, 39, 100000, 0, 0.00000, 0.00619, 0.00053, 0.00037, 0.00264, 0.00428, 0.00311, 0.00000, 0.01712, 5841192
0.40, 2500, 24, 40, 100000, 0, 0.00000, 0.00580, 0.00051, 0.00044, 0.00227, 0.00415, 0.00281, 0.00000, 0.01598, 6257924
0.40, 2500, 24, 41, 100000, 0, 0.00000, 0.00567, 0.00054, 0.00039, 0.00252, 0.00405, 0.00287, 0.00000, 0.01604, 6235166
0.40, 2500, 24, 42, 100000, 0, 0.00000, 0.00515, 0.00037, 0.00031, 0.00243, 0.00408, 0.00245, 0.00000, 0.01480, 6756578
0.40, 2500, 24, 43, 100000, 0, 0.00000, 0.00486, 0.00028, 0.00018, 0.00213, 0.00427, 0.00290, 0.00000, 0.01462, 6840955
0.40, 2500, 24, 44, 100000, 0, 0.00000, 0.00487, 0.00022, 0.00018, 0.00187, 0.00395, 0.00306, 0.00000, 0.01415, 7068843
0.40, 2500, 24, 45, 100000, 0, 0.00000, 0.00577, 0.00052, 0.00053, 0.00238, 0.00411, 0.00280, 0.00000, 0.01610, 6210556
0.40, 2500, 24, 46, 100000, 0, 0.00000, 0.00580, 0.00052, 0.00034, 0.00259, 0.00416, 0.00307, 0.00000, 0.01647, 6070066
0.40, 2500, 24, 47, 100000, 0, 0.00000, 0.00589, 0.00054, 0.00037, 0.00286, 0.00416, 0.00306, 0.00000, 0.01688, 5923871
0.40, 2500, 24, 48, 100000, 0, 0.00000, 0.00594, 0.00052, 0.00044, 0.00292, 0.00407, 0.00299, 0.00000, 0.01687, 5927404
0.40, 2500, 24, 49, 100000, 0, 0.00000, 0.00583, 0.00051, 0.00044, 0.00255, 0.00486, 0.00327, 0.00000, 0.01746, 5727742
0.40, 2500, 24, 50, 100000, 0, 0.00000, 0.00564, 0.00052, 0.00041, 0.00260, 0.00441, 0.00330, 0.00000, 0.01687, 5927193
0.40, 2500, 24, 51, 100000, 0, 0.00000, 0.00555, 0.00047, 0.00031, 0.00280, 0.00423, 0.00308, 0.00000, 0.01645, 6079749
0.40, 2500, 24, 52, 100000, 0, 0.00000, 0.00553, 0.00052, 0.00034, 0.00260, 0.00424, 0.00299, 0.00000, 0.01623, 6162991
0.40, 2500, 24, 53, 100000, 0, 0.00000, 0.00539, 0.00053, 0.00045, 0.00247, 0.00429, 0.00254, 0.00000, 0.01567, 6383247
0.40, 2500, 24, 54, 100000, 0, 0.00000, 0.00524, 0.00047, 0.00031, 0.00253, 0.00381, 0.00316, 0.00000, 0.01552, 6444226
0.40, 2500, 24, 55, 100000, 0, 0.00000, 0.00574, 0.00052, 0.00045, 0.00265, 0.00417, 0.00292, 0.00000, 0.01645, 6080252
0.40, 2500, 24, 56, 100000, 0, 0.00000, 0.00564, 0.00053, 0.00039, 0.00270, 0.00403, 0.00309, 0.00000, 0.01638, 6103886
0.40, 2500, 24, 57, 100000, 0, 0.00000, 0.00564, 0.00052, 0.00034, 0.00258, 0.00423, 0.00318, 0.00000, 0.01650, 6059799
0.40, 2500, 24, 58, 100000, 0, 0.00000, 0.00532, 0.00052, 0.00044, 0.00245, 0.00413, 0.00290, 0.00000, 0.01576, 6345005
0.40, 2500, 24, 59, 100000, 0, 0.00000, 0.00501, 0.00033, 0.00027, 0.00249, 0.00465, 0.00311, 0.00000, 0.01586, 6305944
0.40, 2500, 24, 60, 100000, 0, 0.00000, 0.00576, 0.00052, 0.00044, 0.00269, 0.00436, 0.00305, 0.00000, 0.01683, 5942120
0.40, 2500, 24, 61, 100000, 0, 0.00000, 0.00576, 0.00052, 0.00044, 0.00267, 0.00432, 0.00282, 0.00000, 0.01654, 6047604
0.40, 2500, 24, 62, 100000, 0, 0.00000, 0.00579, 0.00054, 0.00034, 0.00247, 0.00429, 0.00310, 0.00000, 0.01653, 6048982
0.40, 2500, 24, 63, 100000, 0, 0.00000, 0.00585, 0.00053, 0.00053, 0.00246, 0.00436, 0.00338, 0.00000, 0.01712, 5841370
0.40, 2500, 24, 64, 100000, 0, 0.00000, 0.00539, 0.00052, 0.00053, 0.00276, 0.00412, 0.00294, 0.00000, 0.01626, 6150024
0.40, 2500, 24, 65, 100000, 0, 0.00000, 0.00579, 0.00052, 0.00044, 0.00254, 0.00430, 0.00282, 0.00000, 0.01641, 6094500
0.40, 2500, 24, 66, 100000, 0, 0.00000, 0.00617, 0.00052, 0.00043, 0.00245, 0.00453, 0.00298, 0.00000, 0.01707, 5858480
0.40, 2500, 24, 67, 100000, 0, 0.00000, 0.00567, 0.00052, 0.00044, 0.00265, 0.00389, 0.00301, 0.00000, 0.01619, 6174902
0.40, 2500, 24, 68, 100000, 0, 0.00000, 0.00577, 0.00053, 0.00036, 0.00266, 0.00446, 0.00313, 0.00000, 0.01691, 5915222
0.40, 2500, 24, 69, 100000, 0, 0.00000, 0.00542, 0.00052, 0.00044, 0.00272, 0.00414, 0.00296, 0.00000, 0.01621, 6170489
0.40, 2500, 24, 70, 100000, 0, 0.00000, 0.00532, 0.00044, 0.00028, 0.00272, 0.01255, 0.00284, 0.00000, 0.02414, 4141834
0.40, 2500, 24, 71, 100000, 0, 0.00000, 0.00560, 0.00052, 0.00041, 0.00282, 0.00393, 0.00286, 0.00000, 0.01614, 6196492
0.40, 2500, 24, 72, 100000, 0, 0.00000, 0.00553, 0.00052, 0.00041, 0.00266, 0.00442, 0.00303, 0.00000, 0.01656, 6037940
0.40, 2500, 24, 73, 100000, 0, 0.00000, 0.00557, 0.00052, 0.00034, 0.00284, 0.00423, 0.00288, 0.00000, 0.01638, 6103973
0.40, 2500, 24, 74, 100000, 0, 0.00000, 0.00575, 0.00051, 0.00053, 0.00255, 0.00417, 0.00294, 0.00000, 0.01646, 6076317
0.40, 2500, 24, 75, 100000, 0, 0.00000, 0.00606, 0.00053, 0.00044, 0.00244, 0.00407, 0.00314, 0.00000, 0.01668, 5994874
0.40, 2500, 24, 76, 100000, 0, 0.00000, 0.00543, 0.00054, 0.00038, 0.00254, 0.00414, 0.00301, 0.00000, 0.01603, 6237246
0.40, 2500, 24, 77, 100000, 0, 0.00000, 0.00558, 0.00052, 0.00053, 0.00257, 0.00434, 0.00283, 0.00000, 0.01636, 6112462
0.40, 2500, 24, 78, 100000, 0, 0.00000, 0.00529, 0.00040, 0.00034, 0.00247, 0.00851, 0.00295, 0.00000, 0.01996, 5009986
0.40, 2500, 24, 79, 100000, 0, 0.00000, 0.00563, 0.00053, 0.00053, 0.00256, 0.00456, 0.00274, 0.00000, 0.01654, 6046370
0.40, 2500, 24, 80, 100000, 0, 0.00000, 0.00558, 0.00053, 0.00034, 0.00282, 0.00441, 0.00303, 0.00000, 0.01671, 5983976
0.40, 2500, 24, 81, 100000, 0, 0.00000, 0.00574, 0.00053, 0.00054, 0.00264, 0.00425, 0.00303, 0.00000, 0.01672, 5981265
0.40, 2500, 24, 82, 100000, 0, 0.00000, 0.00546, 0.00047, 0.00040, 0.00256, 0.00409, 0.00318, 0.00000, 0.01616, 6187390
0.40, 2500, 24, 83, 100000, 0, 0.00000, 0.00507, 0.00040, 0.00026, 0.00222, 0.00422, 0.00310, 0.00000, 0.01527, 6547004
0.40, 2500, 24, 84, 100000, 0, 0.00000, 0.00564, 0.00052, 0.00053, 0.00256, 0.00391, 0.00304, 0.00000, 0.01620, 6172014
0.40, 2500, 24, 85, 100000, 0, 0.00000, 0.00572, 0.00052, 0.00044, 0.00252, 0.00407, 0.00312, 0.00000, 0.01639, 6099723
0.40, 2500, 24, 86, 100000, 0, 0.00000, 0.00576, 0.00054, 0.00043, 0.00244, 0.00440, 0.00307, 0.00000, 0.01663, 6011789
0.40, 2500, 24, 87, 100000, 0, 0.00000, 0.00514, 0.00037, 0.00024, 0.00248, 0.00397, 0.00274, 0.00000, 0.01494, 6691908
0.40, 2500, 24, 88, 100000, 0, 0.00000, 0.00571, 0.00053, 0.00043, 0.00285, 0.00400, 0.00310, 0.00000, 0.01661, 6018742
0.40, 2500, 24, 89, 100000, 0, 0.00000, 0.00581, 0.00052, 0.00033, 0.00286, 0.00407, 0.00312, 0.00000, 0.01671, 5983160
0.40, 2500, 24, 90, 100000, 0, 0.00000, 0.00595, 0.00052, 0.00034, 0.00255, 0.00413, 0.00323, 0.00000, 0.01671, 5984090
0.40, 2500, 24, 91, 100000, 0, 0.00000, 0.00607, 0.00052, 0.00053, 0.00247, 0.00419, 0.00307, 0.00000, 0.01684, 5937230
0.40, 2500, 24, 92, 100000, 0, 0.00000, 0.00576, 0.00052, 0.00044, 0.00284, 0.00454, 0.00292, 0.00000, 0.01703, 5873175
0.40, 2500, 24, 93, 100000, 0, 0.00000, 0.00587, 0.00047, 0.00031, 0.00257, 0.00421, 0.00329, 0.00000, 0.01673, 5977723
0.40, 2500, 24, 94, 100000, 0, 0.00000, 0.00579, 0.00052, 0.00044, 0.00281, 0.00386, 0.00301, 0.00000, 0.01643, 6084686
0.40, 2500, 24, 95, 100000, 0, 0.00000, 0.00566, 0.00052, 0.00053, 0.00246, 0.00464, 0.00294, 0.00000, 0.01675, 5968704
0.40, 2500, 24, 96, 100000, 0, 0.00000, 0.00576, 0.00053, 0.00053, 0.00274, 0.00399, 0.00316, 0.00000, 0.01671, 5985012
0.40, 2500, 24, 97, 100000, 0, 0.00000, 0.00563, 0.00052, 0.00046, 0.00262, 0.00436, 0.00289, 0.00000, 0.01649, 6065566
0.40, 2500, 24, 98, 100000, 0, 0.00000, 0.00575, 0.00051, 0.00042, 0.00278, 0.00439, 0.00310, 0.00000, 0.01695, 5901292
0.40, 2500, 24, 99, 100000, 0, 0.00000, 0.00568, 0.00052, 0.00036, 0.00275, 0.00446, 0.00282, 0.00000, 0.01659, 6027546
0.40, 2500, 24, 100, 100000, 0, 0.00000, 0.00574, 0.00052, 0.00044, 0.00237, 0.00428, 0.00269, 0.00000, 0.01603, 6236865
0.40, 2500, 24, total, 10000000,, 0.00000, 0.86116, 0.04872, 0.25412, 0.25492, 0.44344, 0.52336, 0.00001, 2.38575, 4191562.75000
