zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.28038, 0.00058, 0.00033, 0.00213, 0.01164, 0.00403, 0.00000, 0.29908, 334357
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.00718, 0.00026, 0.05420, 0.00273, 0.01113, 0.00347, 0.00000, 0.07898, 1266106
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.00607, 0.00053, 0.02685, 0.00193, 0.00912, 0.00314, 0.00000, 0.04763, 2099623
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.00501, 0.00018, 0.02642, 0.00187, 0.00887, 0.00310, 0.00000, 0.04545, 2200372
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.00510, 0.00018, 0.02641, 0.00183, 0.00801, 0.00296, 0.00000, 0.04449, 2247746
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.00475, 0.00018, 0.02636, 0.00192, 0.00782, 0.00284, 0.00000, 0.04387, 2279716
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.00463, 0.00018, 0.00016, 0.00184, 0.00853, 0.00296, 0.00000, 0.01829, 5466824
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.00465, 0.00018, 0.00018, 0.00208, 0.00803, 0.00296, 0.00000, 0.01808, 5531581
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.00610, 0.00018, 0.02772, 0.00263, 0.00811, 0.00332, 0.00000, 0.04805, 2081070
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.00602, 0.00053, 0.02794, 0.00248, 0.00792, 0.00331, 0.00000, 0.04819, 2075297
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.00524, 0.00039, 0.00024, 0.00266, 0.00789, 0.00343, 0.00000, 0.01985, 5037803
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.00643, 0.00035, 0.00022, 0.00226, 0.00790, 0.00363, 0.00000, 0.02079, 4810335
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.00578, 0.00052, 0.00042, 0.00264, 0.00750, 0.00317, 0.00000, 0.02003, 4992673
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.00494, 0.00033, 0.00021, 0.00250, 0.00738, 0.00332, 0.00000, 0.01867, 5354782
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.00513, 0.00040, 0.00034, 0.00252, 0.00763, 0.00343, 0.00000, 0.01944, 5142884
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.00535, 0.00055, 0.00039, 0.00267, 0.00798, 0.00310, 0.00000, 0.02004, 4989282
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.00517, 0.00047, 0.00038, 0.00284, 0.00755, 0.00319, 0.00000, 0.01960, 5103296
0.40, 2500, 24, 18, 100000, 0, 0.00000, 0.00483, 0.00029, 0.00023, 0.00228, 0.00763, 0.00303, 0.00000, 0.01828, 5469554
0.40, 2500, 24, 19, 100000, 0, 0.00000, 0.00450, 0.00018, 0.00015, 0.00185, 0.00784, 0.00331, 0.00000, 0.01782, 5611458
0.40, 2500, 24, 20, 100000, 0, 0.00000, 0.00503, 0.00036, 0.00030, 0.00273, 0.00879, 0.00335, 0.00000, 0.02057, 4862620
0.40, 2500, 24, 21, 100000, 0, 0.00000, 0.00570, 0.00056, 0.00035, 0.00266, 0.00785, 0.00345, 0.00000, 0.02056, 4864026
0.40, 2500, 24, 22, 100000, 0, 0.00000, 0.00507, 0.00035, 0.00029, 0.00222, 0.00801, 0.00338, 0.00000, 0.01931, 5177644
0.40, 2500, 24, 23, 100000, 0, 0.00000, 0.00552, 0.00052, 0.00044, 0.00273, 0.00767, 0.00338, 0.00000, 0.02026, 4935982
0.40, 2500, 24, 24, 100000, 0, 0.00000, 0.00534, 0.00052, 0.00046, 0.00273, 0.00774, 0.00329, 0.00000, 0.02009, 4978395
0.40, 2500, 24, 25, 100000, 0, 0.00000, 0.00516, 0.00040, 0.00034, 0.00240, 0.00781, 0.00315, 0.00000, 0.01927, 5190592
0.40, 2500, 24, 26, 100000, 0, 0.00000, 0.00480, 0.00025, 0.00020, 0.00247, 0.00801, 0.00341, 0.00000, 0.01914, 5224966
0.40, 2500, 24, 27, 100000, 0, 0.00000, 0.00577, 0.00052, 0.00042, 0.00263, 0.00778, 0.00344, 0.00000, 0.02057, 4862406
0.40, 2500, 24, 28, 100000, 0, 0.00000, 0.00494, 0.00033, 0.00027, 0.00218, 0.00761, 0.00307, 0.00000, 0.01838, 5440306
0.40, 2500, 24, 29, 100000, 0, 0.00000, 0.00461, 0.00021, 0.00013, 0.00215, 0.00786, 0.00296, 0.00000, 0.01792, 5580090
0.40, 2500, 24, 30, 100000, 0, 0.00000, 0.00455, 0.00018, 0.00015, 0.00186, 0.00797, 0.00289, 0.00000, 0.01761, 5678100
0.40, 2500, 24, 31, 100000, 0, 0.00000, 0.00456, 0.00018, 0.00015, 0.00244, 0.00796, 0.00338, 0.00000, 0.01867, 5356534
0.40, 2500, 24, 32, 100000, 0, 0.00000, 0.00527, 0.00038, 0.00030, 0.00224, 0.00799, 0.00290, 0.00000, 0.01907, 5244162
0.40, 2500, 24, 33, 100000, 0, 0.00000, 0.00472, 0.00019, 0.00012, 0.00193, 0.00859, 0.00286, 0.00000, 0.01842, 5429676
0.40, 2500, 24, 34, 100000, 0, 0.00000, 0.00471, 0.00018, 0.00014, 0.00234, 0.00823, 0.00333, 0.00000, 0.01893, 5283331
0.40, 2500, 24, 35, 100000, 0, 0.00000, 0.00497, 0.00035, 0.00027, 0.00230, 0.00835, 0.00299, 0.00000, 0.01923, 5200147
0.40, 2500, 24, 36, 100000, 0, 0.00000, 0.00462, 0.00024, 0.00020, 0.00231, 0.00860, 0.00331, 0.00000, 0.01928, 5186818
0.40, 2500, 24, 37, 100000, 0, 0.00000, 0.00579, 0.00052, 0.00040, 0.00282, 0.00856, 0.00331, 0.00000, 0.02140, 4673012
0.40, 2500, 24, 38, 100000, 0, 0.00000, 0.00559, 0.00053, 0.00035, 0.00245, 0.00798, 0.00335, 0.00000, 0.02025, 4939295
0.40, 2500, 24, 39, 100000, 0, 0.00000, 0.00574, 0.00053, 0.00035, 0.00253, 0.00796, 0.00312, 0.00000, 0.02023, 4942792
0.40, 2500, 24, 40, 100000, 0, 0.00000, 0.00478, 0.00037, 0.00032, 0.00225, 0.00850, 0.00311, 0.00000, 0.01933, 5174538
0.40, 2500, 24, 41, 100000, 0, 0.00000, 0.00457, 0.00022, 0.00017, 0.00253, 0.00820, 0.00333, 0.00000, 0.01902, 5258144
0.40, 2500, 24, 42, 100000, 0, 0.00000, 0.00487, 0.00031, 0.00026, 0.00232, 0.00826, 0.00294, 0.00000, 0.01897, 5272737
0.40, 2500, 24, 43, 100000, 0, 0.00000, 0.00458, 0.00021, 0.00014, 0.00197, 0.00799, 0.00289, 0.00000, 0.01778, 5623034
0.40, 2500, 24, 44, 100000, 0, 0.00000, 0.00448, 0.00018, 0.00014, 0.00189, 0.00821, 0.00340, 0.00000, 0.01830, 5465684
0.40, 2500, 24, 45, 100000, 0, 0.00000, 0.00516, 0.00052, 0.00035, 0.00264, 0.00786, 0.00344, 0.00000, 0.01997, 5008016
0.40, 2500, 24, 46, 100000, 0, 0.00000, 0.00567, 0.00053, 0.00042, 0.00288, 0.00769, 0.00332, 0.00000, 0.02051, 4876540
0.40, 2500, 24, 47, 100000, 0, 0.00000, 0.00495, 0.00036, 0.00023, 0.00244, 0.00800, 0.00316, 0.00000, 0.01914, 5224525
0.40, 2500, 24, 48, 100000, 0, 0.00000, 0.00462, 0.00023, 0.00021, 0.00259, 0.00802, 0.00334, 0.00000, 0.01901, 5260964
0.40, 2500, 24, 49, 100000, 0, 0.00000, 0.00560, 0.00054, 0.00034, 0.00264, 0.00903, 0.00312, 0.00000, 0.02127, 4701536
0.40, 2500, 24, 50, 100000, 0, 0.00000, 0.00465, 0.00029, 0.00025, 0.00247, 0.00827, 0.00301, 0.00000, 0.01893, 5282429
