zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.27937, 0.00053, 0.00041, 0.00195, 0.00149, 0.22881, 0.00000, 0.51256, 195100
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.00541, 0.00018, 0.00011, 0.00220, 0.00159, 0.00221, 0.00000, 0.01170, 8549357
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.00592, 0.00050, 0.00041, 0.00222, 0.00156, 0.00250, 0.00000, 0.01311, 7627658
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.00547, 0.00032, 0.00027, 0.00224, 0.00225, 0.00282, 0.00000, 0.01337, 7480955
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.00629, 0.00051, 0.00050, 0.00284, 0.00161, 0.00310, 0.00000, 0.01487, 6726888
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.00628, 0.00046, 0.00037, 0.00288, 0.00249, 0.00282, 0.00000, 0.01531, 6533314
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.00625, 0.00051, 0.00041, 0.00239, 0.00172, 0.00264, 0.00000, 0.01392, 7182005
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.00588, 0.00052, 0.00041, 0.00226, 0.00243, 0.00258, 0.00000, 0.01409, 7098508
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.00586, 0.00054, 0.00034, 0.00230, 0.00160, 0.00266, 0.00000, 0.01329, 7523900
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.00546, 0.00037, 0.00031, 0.00243, 0.00163, 0.00268, 0.00000, 0.01287, 7771679
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.00591, 0.00047, 0.00030, 0.00237, 0.00230, 0.00309, 0.00000, 0.01444, 6925579
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.00614, 0.00050, 0.00043, 0.00259, 0.00250, 0.00271, 0.00000, 0.01488, 6722360
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.00613, 0.00053, 0.00034, 0.00241, 0.00175, 0.00267, 0.00000, 0.01382, 7233930
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.00609, 0.00052, 0.00041, 0.00234, 0.00158, 0.00288, 0.00000, 0.01383, 7231042
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.00616, 0.00052, 0.00033, 0.00272, 0.00163, 0.00280, 0.00000, 0.01416, 7061856
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.00614, 0.00052, 0.00043, 0.00285, 0.00416, 0.00292, 0.00000, 0.01702, 5876036
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.00615, 0.00051, 0.00043, 0.00270, 0.00164, 0.00296, 0.00000, 0.01440, 6944358
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.00615, 0.00052, 0.00034, 0.00284, 0.00171, 0.00289, 0.00000, 0.01444, 6926553
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.00617, 0.00053, 0.00038, 0.00271, 0.00163, 0.00293, 0.00000, 0.01434, 6972118
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.00587, 0.00052, 0.00042, 0.00276, 0.00248, 0.00289, 0.00000, 0.01494, 6692478
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.00619, 0.00050, 0.00034, 0.00253, 0.00162, 0.00295, 0.00000, 0.01415, 7067614
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.00599, 0.00051, 0.00039, 0.00242, 0.00251, 0.00295, 0.00000, 0.01477, 6769136
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.00595, 0.00049, 0.00031, 0.00279, 0.00161, 0.00287, 0.00000, 0.01402, 7133660
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.00565, 0.00052, 0.00044, 0.00229, 0.00249, 0.00268, 0.00000, 0.01406, 7110152
