zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.34044, 0.00073, 0.00069, 0.00272, 0.00156, 0.23729, 0.00000, 0.58343, 171399
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.01619, 0.00061, 0.01816, 0.00231, 0.00258, 0.00571, 0.00000, 0.04558, 2194074
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.01932, 0.00100, 0.02375, 0.00234, 0.00631, 0.00496, 0.00000, 0.05768, 1733622
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.01351, 0.00083, 0.02053, 0.00270, 0.00169, 0.00489, 0.00000, 0.04415, 2265152
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.01388, 0.00074, 0.02585, 0.00281, 0.00195, 0.00460, 0.00000, 0.04984, 2006406
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.01596, 0.00090, 0.05257, 0.00232, 0.00168, 0.00444, 0.00000, 0.07787, 1284182
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.01582, 0.00097, 0.05215, 0.00233, 0.00255, 0.00458, 0.00000, 0.07839, 1275592
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.01555, 0.00107, 0.05279, 0.00271, 0.00168, 0.00475, 0.00000, 0.07855, 1273032
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.01531, 0.00115, 0.05123, 0.00251, 0.00175, 0.00495, 0.00000, 0.07690, 1300439
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.01417, 0.00102, 0.05195, 0.00256, 0.00161, 0.00478, 0.00000, 0.07609, 1314246
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.01545, 0.00096, 0.05133, 0.00236, 0.00164, 0.00446, 0.00000, 0.07620, 1312373
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.01602, 0.00051, 0.05150, 0.00253, 0.00171, 0.00464, 0.00000, 0.07691, 1300149
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.01777, 0.00070, 0.05471, 0.00238, 0.00163, 0.00413, 0.00000, 0.08132, 1229706
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.01652, 0.00077, 0.05138, 0.00239, 0.00165, 0.00433, 0.00000, 0.07705, 1297891
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.01741, 0.00082, 0.05345, 0.00273, 0.00168, 0.00474, 0.00000, 0.08084, 1237082
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.01514, 0.00101, 0.05217, 0.00252, 0.00168, 0.00449, 0.00000, 0.07701, 1298514
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.01516, 0.00092, 0.05144, 0.00241, 0.00163, 0.00436, 0.00000, 0.07591, 1317386
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.01602, 0.00073, 0.05193, 0.00238, 0.00162, 0.00463, 0.00000, 0.07731, 1293572
