zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.28617, 0.00085, 0.00073, 0.00198, 0.00310, 0.00821, 0.00000, 0.30104, 332180
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.01445, 0.00052, 0.01972, 0.00255, 0.00342, 0.00787, 0.00000, 0.04853, 2060420
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.01332, 0.00106, 0.02079, 0.00211, 0.00495, 0.00802, 0.00000, 0.05026, 1989826
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.01489, 0.00074, 0.02245, 0.00228, 0.00539, 0.00793, 0.00000, 0.05368, 1863032
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.01514, 0.00104, 0.02410, 0.00244, 0.00538, 0.00746, 0.00000, 0.05556, 1799843
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.01568, 0.00059, 0.02519, 0.00235, 0.00312, 0.00848, 0.00000, 0.05543, 1804174
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.01490, 0.00056, 0.02211, 0.00266, 0.00312, 0.00789, 0.00000, 0.05124, 1951578
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.01329, 0.00089, 0.01928, 0.00234, 0.00433, 0.00799, 0.00000, 0.04812, 2078081
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.01337, 0.00101, 0.02009, 0.00229, 0.00597, 0.00796, 0.00000, 0.05069, 1972766
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.01313, 0.00072, 0.01950, 0.00232, 0.01262, 0.00757, 0.00000, 0.05586, 1790322
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.01224, 0.00066, 0.02027, 0.00225, 0.00315, 0.00734, 0.00000, 0.04590, 2178455
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.01542, 0.00067, 0.01979, 0.00265, 0.00315, 0.00782, 0.00000, 0.04950, 2020259
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.01583, 0.00088, 0.02297, 0.00247, 0.00527, 0.00776, 0.00000, 0.05517, 1812464
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.01623, 0.00073, 0.02172, 0.00291, 0.00311, 0.00793, 0.00000, 0.05264, 1899873
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.01609, 0.00097, 0.02259, 0.00289, 0.00555, 0.00800, 0.00000, 0.05609, 1782905
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.01536, 0.00091, 0.02338, 0.00238, 0.00324, 0.00908, 0.00000, 0.05435, 1840036
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.01366, 0.00076, 0.02045, 0.00250, 0.00310, 0.00783, 0.00000, 0.04830, 2070317
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.01373, 0.00073, 0.01933, 0.00224, 0.00309, 0.00752, 0.00000, 0.04663, 2144424
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.01568, 0.00045, 0.02609, 0.00240, 0.00576, 0.00789, 0.00000, 0.05827, 1716008
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.01594, 0.00066, 0.02286, 0.00253, 0.00540, 0.00769, 0.00000, 0.05508, 1815633
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.01950, 0.00062, 0.01874, 0.00263, 0.00540, 0.00822, 0.00000, 0.05511, 1814658
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.01537, 0.00094, 0.01982, 0.00205, 0.00374, 0.00716, 0.00000, 0.04908, 2037328
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.01578, 0.00092, 0.02014, 0.00272, 0.00463, 0.00792, 0.00000, 0.05211, 1919054
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.02060, 0.00079, 0.02457, 0.00273, 0.00323, 0.00791, 0.00000, 0.05983, 1671519
