zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.29224, 0.00054, 0.00049, 0.00198, 0.00144, 0.22891, 0.00000, 0.52559, 190261
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.00608, 0.00053, 0.03328, 0.00260, 0.00159, 0.00300, 0.00000, 0.04708, 2124255
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.00619, 0.00051, 0.03417, 0.00230, 0.00243, 0.00281, 0.00000, 0.04840, 2065968
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.00593, 0.00052, 0.03412, 0.00253, 0.00163, 0.00305, 0.00000, 0.04778, 2092717
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.00647, 0.00052, 0.03452, 0.00260, 0.00170, 0.00335, 0.00000, 0.04916, 2033980
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.00648, 0.00047, 0.03422, 0.00277, 0.00167, 0.00291, 0.00000, 0.04852, 2060926
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.00570, 0.00053, 0.03391, 0.00230, 0.00155, 0.00301, 0.00000, 0.04699, 2128222
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.00586, 0.00053, 0.03418, 0.00257, 0.00163, 0.00283, 0.00000, 0.04759, 2101184
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.00604, 0.00048, 0.03442, 0.00238, 0.00162, 0.00303, 0.00000, 0.04797, 2084759
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.00561, 0.00047, 0.03460, 0.00265, 0.00667, 0.00287, 0.00000, 0.05286, 1891682
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.00654, 0.00052, 0.03475, 0.00292, 0.00164, 0.00275, 0.00000, 0.04911, 2036194
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.00668, 0.00051, 0.03227, 0.00244, 0.00175, 0.00283, 0.00000, 0.04648, 2151433
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.00669, 0.00053, 0.03500, 0.00253, 0.00164, 0.00324, 0.00000, 0.04962, 2015176
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.00674, 0.00053, 0.03258, 0.00260, 0.00161, 0.00312, 0.00000, 0.04717, 2119870
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.00667, 0.00054, 0.03529, 0.00286, 0.00164, 0.00307, 0.00000, 0.05007, 1997049
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.00621, 0.00053, 0.03259, 0.00261, 0.00162, 0.00299, 0.00000, 0.04655, 2148421
