zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.27863, 0.00053, 0.00042, 0.00193, 0.00239, 0.00303, 0.00000, 0.28692, 348530
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.00573, 0.00018, 0.02774, 0.00245, 0.00215, 0.00332, 0.00000, 0.04157, 2405550
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.00667, 0.00053, 0.03411, 0.00249, 0.00232, 0.00338, 0.00000, 0.04949, 2020736
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.00629, 0.00052, 0.03431, 0.00289, 0.00228, 0.00338, 0.00000, 0.04967, 2013304
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.00599, 0.00051, 0.03441, 0.00258, 0.00225, 0.00348, 0.00000, 0.04924, 2030895
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.00669, 0.00052, 0.03492, 0.00264, 0.00227, 0.00334, 0.00000, 0.05039, 1984714
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.00637, 0.00052, 0.03490, 0.00298, 0.00228, 0.00338, 0.00000, 0.05044, 1982667
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.00688, 0.00052, 0.03497, 0.00271, 0.00248, 0.00351, 0.00000, 0.05107, 1958036
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.00741, 0.00044, 0.03327, 0.00244, 0.00234, 0.00353, 0.00000, 0.04943, 2022917
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.00785, 0.00054, 0.03432, 0.00260, 0.00245, 0.00388, 0.00000, 0.05164, 1936476
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.00675, 0.00051, 0.03604, 0.00274, 0.00244, 0.00354, 0.00000, 0.05203, 1921980
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.00659, 0.00051, 0.03244, 0.00259, 0.00231, 0.00352, 0.00000, 0.04796, 2084964
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.00662, 0.00052, 0.03493, 0.00294, 0.00228, 0.00343, 0.00000, 0.05071, 1972029
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.00611, 0.00052, 0.03333, 0.00306, 0.00241, 0.00366, 0.00000, 0.04909, 2037136
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.00671, 0.00053, 0.03543, 0.00280, 0.00230, 0.00352, 0.00000, 0.05130, 1949366
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.00647, 0.00053, 0.03243, 0.00270, 0.00222, 0.00359, 0.00000, 0.04793, 2086224
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.00671, 0.00052, 0.03518, 0.00226, 0.00234, 0.00341, 0.00000, 0.05042, 1983527
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.00657, 0.00053, 0.03521, 0.00272, 0.00231, 0.00336, 0.00000, 0.05069, 1972607
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.00608, 0.00053, 0.03524, 0.00283, 0.00244, 0.00345, 0.00000, 0.05057, 1977474
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.00687, 0.00053, 0.03551, 0.00292, 0.00260, 0.00352, 0.00000, 0.05194, 1925382
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.00677, 0.00052, 0.03521, 0.00257, 0.00237, 0.00339, 0.00000, 0.05084, 1967048
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.00667, 0.00054, 0.03472, 0.00284, 0.00226, 0.00346, 0.00000, 0.05049, 1980644
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.00556, 0.00052, 0.03412, 0.00216, 0.00392, 0.00342, 0.00000, 0.04971, 2011550
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.00684, 0.00052, 0.03515, 0.00243, 0.00258, 0.00359, 0.00000, 0.05111, 1956422
0.00, 2500, 24, 25, 100000, 0, 0.00000, 0.00669, 0.00053, 0.03531, 0.00262, 0.00256, 0.00354, 0.00000, 0.05125, 1951180
0.00, 2500, 24, 26, 100000, 0, 0.00000, 0.00682, 0.00052, 0.03584, 0.00251, 0.00231, 0.00357, 0.00000, 0.05159, 1938529
0.00, 2500, 24, 27, 100000, 0, 0.00000, 0.00813, 0.00054, 0.03568, 0.00272, 0.00244, 0.00360, 0.00000, 0.05312, 1882658
0.00, 2500, 24, 28, 100000, 0, 0.00000, 0.00683, 0.00056, 0.03568, 0.00259, 0.00239, 0.00363, 0.00000, 0.05167, 1935411
0.00, 2500, 24, 29, 100000, 0, 0.00000, 0.00673, 0.00052, 0.03591, 0.00261, 0.00234, 0.00335, 0.00000, 0.05146, 1943071
0.00, 2500, 24, 30, 100000, 0, 0.00000, 0.00661, 0.00053, 0.03618, 0.00269, 0.00240, 0.00353, 0.00000, 0.05194, 1925352
0.00, 2500, 24, 31, 100000, 0, 0.00000, 0.00616, 0.00054, 0.03551, 0.00268, 0.00229, 0.00347, 0.00000, 0.05064, 1974538
0.00, 2500, 24, 32, 100000, 0, 0.00000, 0.00664, 0.00053, 0.03609, 0.00296, 0.00242, 0.00350, 0.00000, 0.05214, 1918014
0.00, 2500, 24, 33, 100000, 0, 0.00000, 0.00635, 0.00048, 0.03561, 0.00266, 0.00231, 0.00347, 0.00000, 0.05088, 1965250
0.00, 2500, 24, 34, 100000, 0, 0.00000, 0.00668, 0.00053, 0.03616, 0.00252, 0.00234, 0.00355, 0.00000, 0.05178, 1931135
0.00, 2500, 24, 35, 100000, 0, 0.00000, 0.00684, 0.00055, 0.03641, 0.00289, 0.00242, 0.00367, 0.00000, 0.05278, 1894618
0.00, 2500, 24, 36, 100000, 0, 0.00000, 0.00690, 0.00048, 0.03587, 0.00265, 0.00242, 0.00346, 0.00000, 0.05177, 1931533
0.00, 2500, 24, 37, 100000, 0, 0.00000, 0.00679, 0.00054, 0.03239, 0.00284, 0.00270, 0.00392, 0.00000, 0.04919, 2033140
0.00, 2500, 24, 38, 100000, 0, 0.00000, 0.00648, 0.00056, 0.03646, 0.00273, 0.00244, 0.00397, 0.00000, 0.05263, 1900132
0.00, 2500, 24, 39, 100000, 0, 0.00000, 0.00602, 0.00054, 0.03571, 0.00257, 0.00238, 0.00360, 0.00000, 0.05083, 1967155
0.00, 2500, 24, 40, 100000, 0, 0.00000, 0.00786, 0.00044, 0.03344, 0.00279, 0.00247, 0.00393, 0.00000, 0.05093, 1963301
0.00, 2500, 24, 41, 100000, 0, 0.00000, 0.00684, 0.00053, 0.03596, 0.00272, 0.00238, 0.00391, 0.00000, 0.05234, 1910685
0.00, 2500, 24, 42, 100000, 0, 0.00000, 0.00665, 0.00053, 0.03610, 0.00251, 0.00236, 0.00331, 0.00000, 0.05145, 1943646
0.00, 2500, 24, 43, 100000, 0, 0.00000, 0.00663, 0.00046, 0.03305, 0.00268, 0.00241, 0.00352, 0.00000, 0.04875, 2051379
0.00, 2500, 24, 44, 100000, 0, 0.00000, 0.00727, 0.00053, 0.03643, 0.00254, 0.00234, 0.00343, 0.00000, 0.05254, 1903437
0.00, 2500, 24, 45, 100000, 0, 0.00000, 0.00665, 0.00039, 0.03145, 0.00251, 0.00236, 0.00369, 0.00000, 0.04705, 2125538
0.00, 2500, 24, 46, 100000, 0, 0.00000, 0.00680, 0.00055, 0.03623, 0.00268, 0.00243, 0.00355, 0.00000, 0.05225, 1914029
0.00, 2500, 24, 47, 100000, 0, 0.00000, 0.00687, 0.00054, 0.03587, 0.00262, 0.00239, 0.00337, 0.00000, 0.05167, 1935514
0.00, 2500, 24, 48, 100000, 0, 0.00000, 0.01037, 0.00053, 0.03630, 0.00179, 0.00220, 0.00234, 0.00000, 0.05354, 1867711
0.00, 2500, 24, 49, 100000, 0, 0.00000, 0.00634, 0.00018, 0.02898, 0.00251, 0.00235, 0.00334, 0.00000, 0.04371, 2288058
0.00, 2500, 24, 50, 100000, 0, 0.00000, 0.00657, 0.00056, 0.03559, 0.00267, 0.00237, 0.00355, 0.00000, 0.05131, 1949057
0.00, 2500, 24, 51, 100000, 0, 0.00000, 0.01072, 0.00053, 0.03562, 0.00261, 0.00243, 0.00265, 0.00000, 0.05457, 1832568
0.00, 2500, 24, 52, 100000, 0, 0.00000, 0.01377, 0.00022, 0.03331, 0.00295, 0.00239, 0.00384, 0.00000, 0.05648, 1770515
0.00, 2500, 24, 53, 100000, 0, 0.00000, 0.00771, 0.00054, 0.03562, 0.00291, 0.00273, 0.00359, 0.00000, 0.05309, 1883668
0.00, 2500, 24, 54, 100000, 0, 0.00000, 0.00742, 0.00041, 0.03568, 0.00258, 0.00262, 0.00376, 0.00000, 0.05246, 1906079
0.00, 2500, 24, 55, 100000, 0, 0.00000, 0.00666, 0.00053, 0.03547, 0.00277, 0.00249, 0.00340, 0.00000, 0.05132, 1948440
0.00, 2500, 24, 56, 100000, 0, 0.00000, 0.00649, 0.00053, 0.03329, 0.00224, 0.00249, 0.00366, 0.00000, 0.04869, 2053883
0.00, 2500, 24, 57, 100000, 0, 0.00000, 0.01093, 0.00033, 0.03479, 0.00213, 0.00225, 0.00260, 0.00000, 0.05305, 1885124
0.00, 2500, 24, 58, 100000, 0, 0.00000, 0.00668, 0.00018, 0.03238, 0.00276, 0.00238, 0.00338, 0.00000, 0.04776, 2093674
0.00, 2500, 24, 59, 100000, 0, 0.00000, 0.01034, 0.00054, 0.03564, 0.00221, 0.00234, 0.00285, 0.00000, 0.05391, 1854893
0.00, 2500, 24, 60, 100000, 0, 0.00000, 0.01407, 0.00032, 0.03501, 0.00277, 0.00246, 0.00323, 0.00000, 0.05786, 1728308
0.00, 2500, 24, 61, 100000, 0, 0.00000, 0.00669, 0.00056, 0.03547, 0.00266, 0.00243, 0.00367, 0.00000, 0.05148, 1942620
0.00, 2500, 24, 62, 100000, 0, 0.00000, 0.00661, 0.00054, 0.03244, 0.00252, 0.00240, 0.00337, 0.00000, 0.04789, 2088258
0.00, 2500, 24, 63, 100000, 0, 0.00000, 0.01173, 0.00049, 0.03584, 0.00282, 0.00231, 0.00323, 0.00000, 0.05642, 1772513
0.00, 2500, 24, 64, 100000, 0, 0.00000, 0.01197, 0.00054, 0.03464, 0.00257, 0.00234, 0.00296, 0.00000, 0.05501, 1817862
0.00, 2500, 24, 65, 100000, 0, 0.00000, 0.00656, 0.00041, 0.03422, 0.00272, 0.00237, 0.00337, 0.00000, 0.04964, 2014321
0.00, 2500, 24, 66, 100000, 0, 0.00000, 0.00644, 0.00054, 0.03313, 0.00283, 0.00245, 0.00344, 0.00000, 0.04883, 2048088
0.00, 2500, 24, 67, 100000, 0, 0.00000, 0.01032, 0.00056, 0.03571, 0.00259, 0.00242, 0.00308, 0.00000, 0.05469, 1828626
0.00, 2500, 24, 68, 100000, 0, 0.00000, 0.01205, 0.00046, 0.03597, 0.00264, 0.00233, 0.00283, 0.00000, 0.05628, 1776775
0.00, 2500, 24, 69, 100000, 0, 0.00000, 0.00633, 0.00034, 0.03402, 0.00267, 0.00249, 0.00364, 0.00000, 0.04949, 2020512
0.00, 2500, 24, 70, 100000, 0, 0.00000, 0.00604, 0.00054, 0.03612, 0.00231, 0.00244, 0.00332, 0.00000, 0.05077, 1969787
0.00, 2500, 24, 71, 100000, 0, 0.00000, 0.00634, 0.00054, 0.03598, 0.00262, 0.00264, 0.00343, 0.00000, 0.05155, 1939812
0.00, 2500, 24, 72, 100000, 0, 0.00000, 0.00658, 0.00054, 0.03624, 0.00284, 0.00268, 0.00355, 0.00000, 0.05242, 1907630
0.00, 2500, 24, 73, 100000, 0, 0.00000, 0.01023, 0.00054, 0.03642, 0.00204, 0.00230, 0.00241, 0.00000, 0.05394, 1853779
0.00, 2500, 24, 74, 100000, 0, 0.00000, 0.00651, 0.00029, 0.03300, 0.00290, 0.00257, 0.00328, 0.00000, 0.04854, 2060033
0.00, 2500, 24, 75, 100000, 0, 0.00000, 0.00650, 0.00054, 0.03604, 0.00266, 0.00241, 0.00353, 0.00000, 0.05166, 1935801
0.00, 2500, 24, 76, 100000, 0, 0.00000, 0.00743, 0.00057, 0.03626, 0.00234, 0.00242, 0.00345, 0.00000, 0.05247, 1905779
0.00, 2500, 24, 77, 100000, 0, 0.00000, 0.01263, 0.00054, 0.03306, 0.00208, 0.00231, 0.00246, 0.00000, 0.05308, 1883859
0.00, 2500, 24, 78, 100000, 0, 0.00000, 0.00675, 0.00054, 0.03510, 0.00270, 0.00238, 0.00371, 0.00000, 0.05119, 1953656
0.00, 2500, 24, 79, 100000, 0, 0.00000, 0.00656, 0.00055, 0.03644, 0.00268, 0.00248, 0.00347, 0.00000, 0.05218, 1916619
