zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.28760, 0.00076, 0.00090, 0.00597, 9.37211, 0.24458, 0.00000, 9.91192, 10089
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.01863, 0.00047, 0.02220, 0.00695, 0.11117, 0.00769, 0.00000, 0.16711, 598405
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.01647, 0.00077, 0.02023, 0.00591, 0.10683, 0.00788, 0.00000, 0.15809, 632568
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.01545, 0.00079, 0.01977, 0.00568, 0.10551, 0.00723, 0.00000, 0.15444, 647482
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.01731, 0.00078, 0.02166, 0.00591, 0.10200, 0.00883, 0.00000, 0.15648, 639061
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.01724, 0.00109, 0.02024, 0.00640, 0.10089, 0.00742, 0.00000, 0.15328, 652388
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.01566, 0.00106, 0.02084, 0.00582, 0.09915, 0.00774, 0.00000, 0.15027, 665479
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.01430, 0.00074, 0.02075, 0.00594, 0.09672, 0.00730, 0.00000, 0.14575, 686127
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.01291, 0.00112, 0.02121, 0.00582, 0.09453, 0.00777, 0.00000, 0.14335, 697612
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.01080, 0.00041, 0.01850, 0.00597, 0.09258, 0.00734, 0.00000, 0.13561, 737431
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.01542, 0.00103, 0.02147, 0.00557, 0.08937, 0.00751, 0.00000, 0.14038, 712360
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.01193, 0.00084, 0.02079, 0.00610, 0.08757, 0.00720, 0.00000, 0.13443, 743873
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.01463, 0.00105, 0.02301, 0.00611, 0.08469, 0.00711, 0.00000, 0.13660, 732068
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.01506, 0.00095, 0.02187, 0.00558, 0.08217, 0.00701, 0.00000, 0.13263, 753954
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.01158, 0.00115, 0.02054, 0.00505, 0.08151, 0.00827, 0.00000, 0.12811, 780601
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.01275, 0.00113, 0.02125, 0.00535, 0.07816, 0.00791, 0.00000, 0.12655, 790209
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.01560, 0.00078, 0.01998, 0.00527, 0.07614, 0.00744, 0.00000, 0.12521, 798630
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.01247, 0.00079, 0.02115, 0.00592, 0.07479, 0.00712, 0.00000, 0.12224, 818030
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.01154, 0.00075, 0.02006, 0.00597, 0.07237, 0.00712, 0.00000, 0.11783, 848688
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.01214, 0.00077, 0.02065, 0.00540, 0.07039, 0.00772, 0.00000, 0.11707, 854204
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.01085, 0.00054, 0.01863, 0.00476, 0.06723, 0.00746, 0.00000, 0.10947, 913451
0.99, 2500, 24, 22, 100000, 0, 0.00000, 0.01257, 0.00074, 0.02076, 0.00486, 0.06433, 0.00672, 0.00000, 0.10997, 909306
0.99, 2500, 24, 23, 100000, 0, 0.00000, 0.01217, 0.00074, 0.02044, 0.00482, 0.06437, 0.00726, 0.00000, 0.10979, 910823
0.99, 2500, 24, 24, 100000, 0, 0.00000, 0.01325, 0.00078, 0.02172, 0.00475, 0.06048, 0.00681, 0.00000, 0.10779, 927694
0.99, 2500, 24, 25, 100000, 0, 0.00000, 0.01694, 0.00090, 0.02328, 0.00469, 0.05890, 0.00671, 0.00000, 0.11141, 897553
0.99, 2500, 24, 26, 100000, 0, 0.00000, 0.01580, 0.00111, 0.02090, 0.00482, 0.05588, 0.00703, 0.00000, 0.10553, 947557
0.99, 2500, 24, 27, 100000, 0, 0.00000, 0.01525, 0.00117, 0.02253, 0.00433, 0.05423, 0.00798, 0.00000, 0.10549, 947951
0.99, 2500, 24, 28, 100000, 0, 0.00000, 0.01872, 0.00049, 0.02429, 0.00487, 0.05150, 0.00653, 0.00000, 0.10640, 939852
0.99, 2500, 24, 29, 100000, 0, 0.00000, 0.01411, 0.00115, 0.02410, 0.00451, 0.04899, 0.00611, 0.00000, 0.09897, 1010403
0.99, 2500, 24, 30, 100000, 0, 0.00000, 0.01507, 0.00078, 0.02072, 0.00430, 0.04764, 0.00591, 0.00000, 0.09442, 1059057
0.99, 2500, 24, 31, 100000, 0, 0.00000, 0.01170, 0.00041, 0.01860, 0.00456, 0.04606, 0.00598, 0.00000, 0.08731, 1145370
0.99, 2500, 24, 32, 100000, 0, 0.00000, 0.01213, 0.00078, 0.02094, 0.00487, 0.04287, 0.00704, 0.00000, 0.08863, 1128291
0.99, 2500, 24, 33, 100000, 0, 0.00000, 0.01992, 0.00101, 0.02440, 0.00420, 0.04069, 0.00633, 0.00000, 0.09655, 1035709
0.99, 2500, 24, 34, 100000, 0, 0.00000, 0.01528, 0.00079, 0.01983, 0.00443, 0.03815, 0.00711, 0.00000, 0.08558, 1168430
0.99, 2500, 24, 35, 100000, 0, 0.00000, 0.01539, 0.00077, 0.01996, 0.00400, 0.03555, 0.00595, 0.00000, 0.08162, 1225177
0.99, 2500, 24, 36, 100000, 0, 0.00000, 0.01579, 0.00104, 0.02035, 0.00362, 0.03368, 0.00597, 0.00000, 0.08045, 1243003
0.99, 2500, 24, 37, 100000, 0, 0.00000, 0.01212, 0.00080, 0.02070, 0.00467, 0.03231, 0.00550, 0.00000, 0.07610, 1314124
0.99, 2500, 24, 38, 100000, 0, 0.00000, 0.01423, 0.00115, 0.02456, 0.00394, 0.02892, 0.00658, 0.00000, 0.07938, 1259733
0.99, 2500, 24, 39, 100000, 0, 0.00000, 0.01269, 0.00076, 0.02085, 0.00430, 0.02790, 0.00554, 0.00000, 0.07204, 1388206
0.99, 2500, 24, 40, 100000, 0, 0.00000, 0.01261, 0.00097, 0.02172, 0.00345, 0.02439, 0.00533, 0.00000, 0.06847, 1460430
0.99, 2500, 24, 41, 100000, 0, 0.00000, 0.01236, 0.00092, 0.02114, 0.00348, 0.02273, 0.00517, 0.00000, 0.06580, 1519864
0.99, 2500, 24, 42, 100000, 0, 0.00000, 0.01428, 0.00077, 0.02168, 0.00342, 0.02092, 0.00514, 0.00000, 0.06621, 1510362
0.99, 2500, 24, 43, 100000, 0, 0.00000, 0.01262, 0.00074, 0.02084, 0.00335, 0.01740, 0.00552, 0.00000, 0.06048, 1653565
0.99, 2500, 24, 44, 100000, 0, 0.00000, 0.01250, 0.00093, 0.02139, 0.00317, 0.01574, 0.00518, 0.00000, 0.05891, 1697555
0.99, 2500, 24, 45, 100000, 0, 0.00000, 0.01263, 0.00090, 0.02154, 0.00313, 0.01364, 0.00564, 0.00000, 0.05749, 1739551
