zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.28182, 0.00126, 0.00140, 0.00198, 0.00240, 0.23693, 0.00000, 0.52579, 190192
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.01693, 0.00067, 0.00063, 0.00213, 0.00335, 0.00471, 0.00000, 0.02842, 3518961
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.01749, 0.00083, 0.00104, 0.00230, 0.00163, 0.00432, 0.00000, 0.02762, 3620941
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.01752, 0.00093, 0.00081, 0.00241, 0.00169, 0.00487, 0.00000, 0.02824, 3541616
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.01615, 0.00086, 0.00090, 0.00238, 0.00167, 0.00475, 0.00000, 0.02670, 3745826
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.01699, 0.00083, 0.00090, 0.00315, 0.00251, 0.00556, 0.00000, 0.02994, 3339733
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.01791, 0.00089, 0.00076, 0.00268, 0.00464, 0.00452, 0.00000, 0.03140, 3185008
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.01738, 0.00081, 0.00096, 0.00218, 0.00248, 0.00419, 0.00000, 0.02800, 3571436
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.01589, 0.00086, 0.00096, 0.00226, 0.00172, 0.00403, 0.00000, 0.02571, 3889694
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.01623, 0.00044, 0.00052, 0.00252, 0.00173, 0.00469, 0.00000, 0.02613, 3826591
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.01754, 0.00097, 0.00119, 0.00222, 0.00164, 0.00471, 0.00000, 0.02827, 3537539
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.01770, 0.00069, 0.00085, 0.00209, 0.00203, 0.00450, 0.00000, 0.02786, 3589248
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.01697, 0.00085, 0.00091, 0.00224, 0.00242, 0.00479, 0.00000, 0.02818, 3548512
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.01717, 0.00090, 0.00106, 0.00268, 0.00189, 0.00436, 0.00000, 0.02806, 3563985
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.01683, 0.00061, 0.00062, 0.00229, 0.00251, 0.00428, 0.00000, 0.02714, 3684672
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.01663, 0.00059, 0.00063, 0.00215, 0.00252, 0.00465, 0.00000, 0.02715, 3682866
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.01728, 0.00096, 0.00085, 0.00262, 0.00164, 0.00466, 0.00000, 0.02802, 3568585
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.01706, 0.00077, 0.00092, 0.00275, 0.00252, 0.00418, 0.00000, 0.02820, 3545534
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.01633, 0.00059, 0.00054, 0.00286, 0.00167, 0.00458, 0.00000, 0.02656, 3764644
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.01725, 0.00078, 0.00091, 0.00205, 0.00252, 0.00421, 0.00000, 0.02771, 3608660
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.01755, 0.00092, 0.00110, 0.00228, 0.00162, 0.00398, 0.00000, 0.02745, 3642886
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.01705, 0.00046, 0.00052, 0.00241, 0.00249, 0.00416, 0.00000, 0.02709, 3691475
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.01692, 0.00056, 0.00065, 0.00239, 0.00162, 0.00469, 0.00000, 0.02683, 3726718
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.01719, 0.00080, 0.00096, 0.00217, 0.00228, 0.00459, 0.00000, 0.02799, 3572730
0.00, 2500, 24, 25, 100000, 0, 0.00000, 0.01763, 0.00083, 0.00082, 0.00262, 0.00158, 0.00470, 0.00000, 0.02819, 3547216
0.00, 2500, 24, 26, 100000, 0, 0.00000, 0.01723, 0.00075, 0.00090, 0.00221, 0.00254, 0.00464, 0.00000, 0.02827, 3537415
0.00, 2500, 24, 27, 100000, 0, 0.00000, 0.01727, 0.00080, 0.00097, 0.00246, 0.00156, 0.00460, 0.00000, 0.02765, 3616131
0.00, 2500, 24, 28, 100000, 0, 0.00000, 0.01616, 0.00088, 0.00096, 0.00262, 0.00170, 0.00481, 0.00000, 0.02714, 3684858
0.00, 2500, 24, 29, 100000, 0, 0.00000, 0.01666, 0.00058, 0.00060, 0.00271, 0.00167, 0.00489, 0.00000, 0.02712, 3687932
0.00, 2500, 24, 30, 100000, 0, 0.00000, 0.01703, 0.00092, 0.00110, 0.00263, 0.00169, 0.00476, 0.00000, 0.02812, 3555622
0.00, 2500, 24, 31, 100000, 0, 0.00000, 0.01693, 0.00077, 0.00090, 0.00230, 0.00161, 0.00400, 0.00000, 0.02652, 3770211
0.00, 2500, 24, 32, 100000, 0, 0.00000, 0.01762, 0.00076, 0.00091, 0.00213, 0.00159, 0.00450, 0.00000, 0.02750, 3635927
0.00, 2500, 24, 33, 100000, 0, 0.00000, 0.01736, 0.00081, 0.00096, 0.00245, 0.00201, 0.00450, 0.00000, 0.02810, 3558384
0.00, 2500, 24, 34, 100000, 0, 0.00000, 0.01732, 0.00091, 0.00109, 0.00223, 0.00254, 0.00501, 0.00000, 0.02911, 3435158
0.00, 2500, 24, 35, 100000, 0, 0.00000, 0.01393, 0.00080, 0.00090, 0.00265, 0.00160, 0.00488, 0.00000, 0.02476, 4038143
0.00, 2500, 24, 36, 100000, 0, 0.00000, 0.01373, 0.00093, 0.00090, 0.00236, 0.00257, 0.00460, 0.00000, 0.02508, 3986510
0.00, 2500, 24, 37, 100000, 0, 0.00000, 0.01368, 0.00105, 0.00129, 0.00209, 0.00161, 0.00432, 0.00000, 0.02404, 4159264
0.00, 2500, 24, 38, 100000, 0, 0.00000, 0.01256, 0.00052, 0.00062, 0.00212, 0.00247, 0.00394, 0.00000, 0.02223, 4499188
