zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.28331, 0.00056, 0.00034, 0.00193, 0.00239, 0.00344, 0.00000, 0.29198, 342489
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.00423, 0.00018, 0.00011, 0.00205, 0.00205, 0.00232, 0.00000, 0.01093, 9149506
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.00437, 0.00017, 0.00012, 0.00173, 0.00371, 0.00272, 0.00000, 0.01281, 7806605
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.00497, 0.00020, 0.00013, 0.00194, 0.00326, 0.00303, 0.00000, 0.01353, 7389969
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.00487, 0.00020, 0.00013, 0.00254, 0.00231, 0.00334, 0.00000, 0.01339, 7470226
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.00560, 0.00047, 0.00031, 0.00274, 0.00366, 0.00329, 0.00000, 0.01607, 6222396
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.00574, 0.00051, 0.00035, 0.00236, 0.00238, 0.00310, 0.00000, 0.01443, 6931754
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.00521, 0.00035, 0.00022, 0.00235, 0.00376, 0.00319, 0.00000, 0.01508, 6630050
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.00545, 0.00047, 0.00038, 0.00259, 0.00344, 0.00320, 0.00000, 0.01554, 6433418
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.00555, 0.00054, 0.00034, 0.00272, 0.00375, 0.00329, 0.00000, 0.01619, 6177004
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.00555, 0.00051, 0.00033, 0.00278, 0.00393, 0.00332, 0.00000, 0.01643, 6087370
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.00557, 0.00050, 0.00034, 0.00288, 0.00240, 0.00325, 0.00000, 0.01495, 6689614
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.00547, 0.00052, 0.00042, 0.00264, 0.00231, 0.00352, 0.00000, 0.01489, 6717688
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.00558, 0.00052, 0.00033, 0.00253, 0.00245, 0.00324, 0.00000, 0.01465, 6825378
0.00, 2500, 24, 15, 100000, 0, 0.00000, 0.00587, 0.00052, 0.00044, 0.00253, 0.00276, 0.00333, 0.00000, 0.01545, 6472334
0.00, 2500, 24, 16, 100000, 0, 0.00000, 0.00568, 0.00051, 0.00043, 0.00267, 0.00357, 0.00333, 0.00000, 0.01619, 6177683
0.00, 2500, 24, 17, 100000, 0, 0.00000, 0.00564, 0.00051, 0.00042, 0.00272, 0.00233, 0.00316, 0.00000, 0.01480, 6758455
0.00, 2500, 24, 18, 100000, 0, 0.00000, 0.00552, 0.00043, 0.00028, 0.00293, 0.00261, 0.00330, 0.00000, 0.01507, 6637583
0.00, 2500, 24, 19, 100000, 0, 0.00000, 0.00584, 0.00051, 0.00033, 0.00277, 0.00366, 0.00322, 0.00000, 0.01634, 6118825
0.00, 2500, 24, 20, 100000, 0, 0.00000, 0.00585, 0.00052, 0.00041, 0.00262, 0.00333, 0.00335, 0.00000, 0.01609, 6216776
0.00, 2500, 24, 21, 100000, 0, 0.00000, 0.00591, 0.00051, 0.00039, 0.00261, 0.00239, 0.00333, 0.00000, 0.01514, 6604032
0.00, 2500, 24, 22, 100000, 0, 0.00000, 0.00577, 0.00053, 0.00034, 0.00239, 0.00226, 0.00313, 0.00000, 0.01442, 6935549
0.00, 2500, 24, 23, 100000, 0, 0.00000, 0.00508, 0.00033, 0.00026, 0.00256, 0.00231, 0.00328, 0.00000, 0.01382, 7236700
0.00, 2500, 24, 24, 100000, 0, 0.00000, 0.00599, 0.00051, 0.00050, 0.00255, 0.00239, 0.00338, 0.00000, 0.01533, 6522642
0.00, 2500, 24, 25, 100000, 0, 0.00000, 0.00596, 0.00053, 0.00041, 0.00331, 0.00249, 0.00330, 0.00000, 0.01600, 6251068
0.00, 2500, 24, 26, 100000, 0, 0.00000, 0.00581, 0.00042, 0.00038, 0.00255, 0.00380, 0.00319, 0.00000, 0.01615, 6192162
0.00, 2500, 24, 27, 100000, 0, 0.00000, 0.00570, 0.00043, 0.00036, 0.00267, 0.00246, 0.00335, 0.00000, 0.01497, 6679572
0.00, 2500, 24, 28, 100000, 0, 0.00000, 0.00568, 0.00048, 0.00039, 0.00249, 0.00257, 0.00322, 0.00000, 0.01482, 6746166
0.00, 2500, 24, 29, 100000, 0, 0.00000, 0.00556, 0.00039, 0.00026, 0.00235, 0.00242, 0.00331, 0.00000, 0.01429, 6998138
0.00, 2500, 24, 30, 100000, 0, 0.00000, 0.00582, 0.00041, 0.00026, 0.00226, 0.00256, 0.00309, 0.00000, 0.01441, 6941694
0.00, 2500, 24, 31, 100000, 0, 0.00000, 0.00551, 0.00031, 0.00026, 0.00254, 0.00231, 0.00333, 0.00000, 0.01427, 7008386
0.00, 2500, 24, 32, 100000, 0, 0.00000, 0.00592, 0.00055, 0.00034, 0.00300, 0.00245, 0.00348, 0.00000, 0.01573, 6356949
0.00, 2500, 24, 33, 100000, 0, 0.00000, 0.00583, 0.00052, 0.00041, 0.00272, 0.00229, 0.00323, 0.00000, 0.01499, 6671605
0.00, 2500, 24, 34, 100000, 0, 0.00000, 0.00589, 0.00049, 0.00031, 0.00383, 0.00278, 0.00365, 0.00000, 0.01696, 5897850
0.00, 2500, 24, 35, 100000, 0, 0.00000, 0.00610, 0.00052, 0.00036, 0.00233, 0.00249, 0.00307, 0.00000, 0.01485, 6734244
0.00, 2500, 24, 36, 100000, 0, 0.00000, 0.00578, 0.00047, 0.00030, 0.00253, 0.00620, 0.00336, 0.00000, 0.01865, 5361742
0.00, 2500, 24, 37, 100000, 0, 0.00000, 0.00612, 0.00052, 0.00034, 0.00282, 0.00265, 0.00335, 0.00000, 0.01580, 6329592
0.00, 2500, 24, 38, 100000, 0, 0.00000, 0.00603, 0.00052, 0.00041, 0.00252, 0.00392, 0.00341, 0.00000, 0.01681, 5950307
0.00, 2500, 24, 39, 100000, 0, 0.00000, 0.00601, 0.00051, 0.00041, 0.00246, 0.00247, 0.00324, 0.00000, 0.01511, 6619791
0.00, 2500, 24, 40, 100000, 0, 0.00000, 0.00548, 0.00039, 0.00033, 0.00244, 0.00244, 0.00308, 0.00000, 0.01415, 7065035
0.00, 2500, 24, 41, 100000, 0, 0.00000, 0.00519, 0.00033, 0.00026, 0.00236, 0.00236, 0.00325, 0.00000, 0.01375, 7274781
0.00, 2500, 24, 42, 100000, 0, 0.00000, 0.00524, 0.00035, 0.00022, 0.00291, 0.00249, 0.00333, 0.00000, 0.01453, 6880313
0.00, 2500, 24, 43, 100000, 0, 0.00000, 0.00633, 0.00051, 0.00041, 0.00282, 0.00378, 0.00330, 0.00000, 0.01715, 5829808
0.00, 2500, 24, 44, 100000, 0, 0.00000, 0.00601, 0.00052, 0.00043, 0.00236, 0.00372, 0.00347, 0.00000, 0.01652, 6053564
0.00, 2500, 24, 45, 100000, 0, 0.00000, 0.00586, 0.00052, 0.00034, 0.00245, 0.00267, 0.00327, 0.00000, 0.01510, 6622154
0.00, 2500, 24, 46, 100000, 0, 0.00000, 0.00601, 0.00052, 0.00041, 0.00279, 0.00238, 0.00340, 0.00000, 0.01550, 6449896
0.00, 2500, 24, 47, 100000, 0, 0.00000, 0.00610, 0.00052, 0.00034, 0.00258, 0.00379, 0.00328, 0.00000, 0.01660, 6023814
0.00, 2500, 24, 48, 100000, 0, 0.00000, 0.00609, 0.00052, 0.00043, 0.00255, 0.00313, 0.00328, 0.00000, 0.01599, 6253809
0.00, 2500, 24, 49, 100000, 0, 0.00000, 0.00612, 0.00052, 0.00034, 0.00261, 0.00247, 0.00326, 0.00000, 0.01531, 6533118
0.00, 2500, 24, 50, 100000, 0, 0.00000, 0.00606, 0.00052, 0.00036, 0.00248, 0.00236, 0.00320, 0.00000, 0.01499, 6672313
0.00, 2500, 24, 51, 100000, 0, 0.00000, 0.00581, 0.00047, 0.00032, 0.00251, 0.00240, 0.00339, 0.00000, 0.01491, 6705808
0.00, 2500, 24, 52, 100000, 0, 0.00000, 0.00583, 0.00051, 0.00047, 0.00245, 0.00234, 0.00339, 0.00000, 0.01499, 6671118
0.00, 2500, 24, 53, 100000, 0, 0.00000, 0.00585, 0.00052, 0.00033, 0.00295, 0.00250, 0.00328, 0.00000, 0.01543, 6480304
0.00, 2500, 24, 54, 100000, 0, 0.00000, 0.00574, 0.00051, 0.00038, 0.00280, 0.00399, 0.00324, 0.00000, 0.01667, 5999100
0.00, 2500, 24, 55, 100000, 0, 0.00000, 0.00579, 0.00051, 0.00034, 0.00241, 0.00261, 0.00310, 0.00000, 0.01476, 6775490
0.00, 2500, 24, 56, 100000, 0, 0.00000, 0.00576, 0.00045, 0.00028, 0.00245, 0.00251, 0.00329, 0.00000, 0.01476, 6777004
0.00, 2500, 24, 57, 100000, 0, 0.00000, 0.00566, 0.00046, 0.00040, 0.00261, 0.00300, 0.00340, 0.00000, 0.01554, 6436692
0.00, 2500, 24, 58, 100000, 0, 0.00000, 0.00608, 0.00050, 0.00043, 0.00280, 0.00235, 0.00352, 0.00000, 0.01568, 6376272
0.00, 2500, 24, 59, 100000, 0, 0.00000, 0.00598, 0.00052, 0.00043, 0.00240, 0.00250, 0.00323, 0.00000, 0.01506, 6639504
0.00, 2500, 24, 60, 100000, 0, 0.00000, 0.00544, 0.00035, 0.00023, 0.00226, 0.00275, 0.00303, 0.00000, 0.01404, 7120608
0.00, 2500, 24, 61, 100000, 0, 0.00000, 0.00528, 0.00029, 0.00019, 0.00237, 0.00306, 0.00327, 0.00000, 0.01447, 6913058
0.00, 2500, 24, 62, 100000, 0, 0.00000, 0.00536, 0.00032, 0.00027, 0.00266, 0.00801, 0.00342, 0.00000, 0.02003, 4992140
0.00, 2500, 24, 63, 100000, 0, 0.00000, 0.00583, 0.00051, 0.00043, 0.00267, 0.00241, 0.00330, 0.00000, 0.01515, 6601147
0.00, 2500, 24, 64, 100000, 0, 0.00000, 0.00583, 0.00047, 0.00037, 0.00260, 0.00252, 0.00331, 0.00000, 0.01510, 6622638
0.00, 2500, 24, 65, 100000, 0, 0.00000, 0.00605, 0.00051, 0.00043, 0.00274, 0.00395, 0.00336, 0.00000, 0.01704, 5869481
0.00, 2500, 24, 66, 100000, 0, 0.00000, 0.00587, 0.00052, 0.00035, 0.00226, 0.00235, 0.00310, 0.00000, 0.01444, 6923021
0.00, 2500, 24, 67, 100000, 0, 0.00000, 0.00601, 0.00040, 0.00033, 0.00248, 0.00341, 0.00339, 0.00000, 0.01603, 6239588
0.00, 2500, 24, 68, 100000, 0, 0.00000, 0.00683, 0.00042, 0.00026, 0.00234, 0.00257, 0.00318, 0.00000, 0.01560, 6411066
0.00, 2500, 24, 69, 100000, 0, 0.00000, 0.00550, 0.00030, 0.00020, 0.00222, 0.00405, 0.00348, 0.00000, 0.01575, 6347822
0.00, 2500, 24, 70, 100000, 0, 0.00000, 0.00542, 0.00032, 0.00021, 0.00303, 0.00254, 0.00337, 0.00000, 0.01490, 6709696
0.00, 2500, 24, 71, 100000, 0, 0.00000, 0.00539, 0.00029, 0.00024, 0.00274, 0.00425, 0.00312, 0.00000, 0.01602, 6242826
0.00, 2500, 24, 72, 100000, 0, 0.00000, 0.00566, 0.00037, 0.00024, 0.00243, 0.00275, 0.00345, 0.00000, 0.01489, 6714856
0.00, 2500, 24, 73, 100000, 0, 0.00000, 0.00551, 0.00035, 0.00022, 0.00230, 0.00263, 0.00309, 0.00000, 0.01411, 7085466
0.00, 2500, 24, 74, 100000, 0, 0.00000, 0.00528, 0.00031, 0.00024, 0.00282, 0.00386, 0.00321, 0.00000, 0.01572, 6360748
0.00, 2500, 24, 75, 100000, 0, 0.00000, 0.00624, 0.00031, 0.00020, 0.00257, 0.00263, 0.00352, 0.00000, 0.01546, 6468214
0.00, 2500, 24, 76, 100000, 0, 0.00000, 0.00568, 0.00043, 0.00044, 0.00253, 0.00265, 0.00308, 0.00000, 0.01481, 6752721
0.00, 2500, 24, 77, 100000, 0, 0.00000, 0.00538, 0.00029, 0.00019, 0.00223, 0.00246, 0.00305, 0.00000, 0.01359, 7356277
0.00, 2500, 24, 78, 100000, 0, 0.00000, 0.00506, 0.00024, 0.00021, 0.00282, 0.00283, 0.00347, 0.00000, 0.01462, 6838468
