zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.40, 2500, 24, 1, 100000, 0, 0.00000, 0.31142, 0.00076, 0.00072, 0.00209, 0.00638, 0.23652, 0.00000, 0.55789, 179246
0.40, 2500, 24, 2, 100000, 0, 0.00000, 0.01765, 0.00053, 0.01818, 0.00240, 0.00652, 0.00460, 0.00000, 0.04988, 2004687
0.40, 2500, 24, 3, 100000, 0, 0.00000, 0.01745, 0.00093, 0.01980, 0.00217, 0.00557, 0.00465, 0.00000, 0.05057, 1977464
0.40, 2500, 24, 4, 100000, 0, 0.00000, 0.01405, 0.00080, 0.02213, 0.00447, 0.00592, 0.00471, 0.00000, 0.05208, 1920023
0.40, 2500, 24, 5, 100000, 0, 0.00000, 0.01777, 0.00092, 0.02056, 0.00301, 0.00589, 0.00569, 0.00000, 0.05383, 1857616
0.40, 2500, 24, 6, 100000, 0, 0.00000, 0.01562, 0.00068, 0.02447, 0.00288, 0.00592, 0.00490, 0.00000, 0.05447, 1835880
0.40, 2500, 24, 7, 100000, 0, 0.00000, 0.01635, 0.00074, 0.02139, 0.00234, 0.00563, 0.00499, 0.00000, 0.05144, 1943910
0.40, 2500, 24, 8, 100000, 0, 0.00000, 0.01310, 0.00098, 0.02071, 0.00217, 0.00588, 0.00477, 0.00000, 0.04762, 2100145
0.40, 2500, 24, 9, 100000, 0, 0.00000, 0.01563, 0.00071, 0.02064, 0.00253, 0.00496, 0.00496, 0.00000, 0.04943, 2023167
0.40, 2500, 24, 10, 100000, 0, 0.00000, 0.01317, 0.00103, 0.02143, 0.00250, 0.00504, 0.00454, 0.00000, 0.04771, 2096090
0.40, 2500, 24, 11, 100000, 0, 0.00000, 0.01327, 0.00100, 0.02096, 0.00214, 0.00478, 0.00392, 0.00000, 0.04607, 2170564
0.40, 2500, 24, 12, 100000, 0, 0.00000, 0.01231, 0.00047, 0.01815, 0.00265, 0.00519, 0.00520, 0.00000, 0.04397, 2274122
0.40, 2500, 24, 13, 100000, 0, 0.00000, 0.01198, 0.00057, 0.01877, 0.00220, 0.00489, 0.00447, 0.00000, 0.04288, 2331976
0.40, 2500, 24, 14, 100000, 0, 0.00000, 0.01237, 0.00082, 0.01998, 0.00247, 0.00520, 0.00486, 0.00000, 0.04571, 2187851
0.40, 2500, 24, 15, 100000, 0, 0.00000, 0.01415, 0.00078, 0.02090, 0.00258, 0.00458, 0.00455, 0.00000, 0.04754, 2103383
0.40, 2500, 24, 16, 100000, 0, 0.00000, 0.01243, 0.00094, 0.01994, 0.00232, 0.00500, 0.00463, 0.00000, 0.04526, 2209214
0.40, 2500, 24, 17, 100000, 0, 0.00000, 0.01352, 0.00094, 0.02046, 0.00267, 0.00414, 0.00492, 0.00000, 0.04663, 2144486
0.40, 2500, 24, 18, 100000, 0, 0.00000, 0.01392, 0.00098, 0.02085, 0.00282, 0.00424, 0.00468, 0.00000, 0.04749, 2105675
0.40, 2500, 24, 19, 100000, 0, 0.00000, 0.01202, 0.00067, 0.01913, 0.00200, 0.00399, 0.00432, 0.00000, 0.04214, 2373271
0.40, 2500, 24, 20, 100000, 0, 0.00000, 0.01311, 0.00106, 0.02038, 0.00215, 0.00384, 0.00461, 0.00000, 0.04515, 2215024
0.40, 2500, 24, 21, 100000, 0, 0.00000, 0.01495, 0.00103, 0.02294, 0.00238, 0.00339, 0.00429, 0.00000, 0.04898, 2041726
