zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.00, 2500, 24, 1, 100000, 0, 0.00000, 0.31797, 0.00055, 0.00044, 0.00286, 0.00241, 0.22974, 0.00000, 0.55397, 180516
0.00, 2500, 24, 2, 100000, 0, 0.00000, 0.01713, 0.00046, 0.01731, 0.00278, 0.00166, 0.00454, 0.00000, 0.04388, 2278864
0.00, 2500, 24, 3, 100000, 0, 0.00000, 0.01938, 0.00079, 0.02092, 0.00274, 0.00255, 0.00467, 0.00000, 0.05105, 1958873
0.00, 2500, 24, 4, 100000, 0, 0.00000, 0.01977, 0.00077, 0.02340, 0.00316, 0.00249, 0.00460, 0.00000, 0.05420, 1845167
0.00, 2500, 24, 5, 100000, 0, 0.00000, 0.01716, 0.00063, 0.01907, 0.00235, 0.00251, 0.00411, 0.00000, 0.04583, 2182151
0.00, 2500, 24, 6, 100000, 0, 0.00000, 0.01986, 0.00050, 0.01930, 0.00258, 0.00164, 0.00415, 0.00000, 0.04803, 2081897
0.00, 2500, 24, 7, 100000, 0, 0.00000, 0.01672, 0.00074, 0.01822, 0.00270, 0.00262, 0.00516, 0.00000, 0.04616, 2166267
0.00, 2500, 24, 8, 100000, 0, 0.00000, 0.01907, 0.00080, 0.02419, 0.00205, 0.00251, 0.00483, 0.00000, 0.05345, 1870840
0.00, 2500, 24, 9, 100000, 0, 0.00000, 0.01746, 0.00099, 0.01941, 0.00258, 0.00256, 0.00480, 0.00000, 0.04779, 2092335
0.00, 2500, 24, 10, 100000, 0, 0.00000, 0.01899, 0.00073, 0.02274, 0.00246, 0.00245, 0.00448, 0.00000, 0.05186, 1928328
0.00, 2500, 24, 11, 100000, 0, 0.00000, 0.01909, 0.00093, 0.02161, 0.00236, 0.00206, 0.00564, 0.00000, 0.05168, 1935017
0.00, 2500, 24, 12, 100000, 0, 0.00000, 0.01798, 0.00076, 0.02119, 0.00213, 0.00163, 0.00597, 0.00000, 0.04966, 2013748
0.00, 2500, 24, 13, 100000, 0, 0.00000, 0.01740, 0.00100, 0.01989, 0.00234, 0.00157, 0.00477, 0.00000, 0.04698, 2128597
0.00, 2500, 24, 14, 100000, 0, 0.00000, 0.01684, 0.00081, 0.01887, 0.00241, 0.00166, 0.00423, 0.00000, 0.04483, 2230706
