zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, receive_result_time, merge_time, batch_time, throughput
0.99, 2500, 24, 1, 100000, 0, 0.00000, 0.29578, 0.00023, 0.00019, 0.00606, 9.34929, 0.23743, 0.00000, 9.88898, 10112
0.99, 2500, 24, 2, 100000, 0, 0.00000, 0.00454, 0.00017, 0.02790, 0.00586, 0.10012, 0.00709, 0.00000, 0.14567, 686460
0.99, 2500, 24, 3, 100000, 0, 0.00000, 0.00538, 0.00019, 0.03112, 0.00585, 0.08873, 0.00668, 0.00000, 0.13796, 724865
0.99, 2500, 24, 4, 100000, 0, 0.00000, 0.00384, 0.00017, 0.02837, 0.00550, 0.08074, 0.00491, 0.00000, 0.12353, 809522
0.99, 2500, 24, 5, 100000, 0, 0.00000, 0.00508, 0.00017, 0.03148, 0.00493, 0.07119, 0.00487, 0.00000, 0.11772, 849491
0.99, 2500, 24, 6, 100000, 0, 0.00000, 0.00474, 0.00017, 0.02822, 0.00465, 0.06275, 0.00498, 0.00000, 0.10551, 947785
0.99, 2500, 24, 7, 100000, 0, 0.00000, 0.00507, 0.00050, 0.03413, 0.00453, 0.05328, 0.00505, 0.00000, 0.10256, 975011
0.99, 2500, 24, 8, 100000, 0, 0.00000, 0.00692, 0.00051, 0.03439, 0.00606, 0.04495, 0.00526, 0.00000, 0.09808, 1019536
0.99, 2500, 24, 9, 100000, 0, 0.00000, 0.00564, 0.00051, 0.03433, 0.00488, 0.03627, 0.00539, 0.00000, 0.08701, 1149264
0.99, 2500, 24, 10, 100000, 0, 0.00000, 0.00528, 0.00051, 0.03409, 0.00473, 0.02748, 0.00515, 0.00000, 0.07724, 1294654
0.99, 2500, 24, 11, 100000, 0, 0.00000, 0.00526, 0.00051, 0.03394, 0.00511, 0.01831, 0.00503, 0.00000, 0.06816, 1467077
0.99, 2500, 24, 12, 100000, 0, 0.00000, 0.00581, 0.00053, 0.03390, 0.00527, 0.01272, 0.00509, 0.00000, 0.06331, 1579528
0.99, 2500, 24, 13, 100000, 0, 0.00000, 0.00522, 0.00053, 0.03449, 0.00475, 0.01209, 0.00515, 0.00000, 0.06222, 1607089
0.99, 2500, 24, 14, 100000, 0, 0.00000, 0.00518, 0.00051, 0.03440, 0.00479, 0.01120, 0.00594, 0.00000, 0.06202, 1612474
0.99, 2500, 24, 15, 100000, 0, 0.00000, 0.00511, 0.00052, 0.03436, 0.00449, 0.01059, 0.00494, 0.00000, 0.06001, 1666458
0.99, 2500, 24, 16, 100000, 0, 0.00000, 0.00547, 0.00051, 0.03217, 0.00504, 0.01007, 0.00488, 0.00000, 0.05813, 1720302
0.99, 2500, 24, 17, 100000, 0, 0.00000, 0.00412, 0.00040, 0.02587, 0.00455, 0.01001, 0.00513, 0.00000, 0.05008, 1996683
0.99, 2500, 24, 18, 100000, 0, 0.00000, 0.00534, 0.00052, 0.02655, 0.00452, 0.00986, 0.00485, 0.00000, 0.05163, 1936847
0.99, 2500, 24, 19, 100000, 0, 0.00000, 0.00489, 0.00042, 0.01768, 0.00498, 0.00966, 0.00479, 0.00000, 0.04243, 2357085
0.99, 2500, 24, 20, 100000, 0, 0.00000, 0.00501, 0.00037, 0.01883, 0.00434, 0.01016, 0.00456, 0.00000, 0.04326, 2311532
0.99, 2500, 24, 21, 100000, 0, 0.00000, 0.00538, 0.00054, 0.01887, 0.00459, 0.00962, 0.00556, 0.00000, 0.04457, 2243894
0.99, 2500, 24, 22, 100000, 0, 0.00000, 0.00545, 0.00052, 0.02262, 0.00460, 0.00959, 0.00517, 0.00000, 0.04795, 2085640
0.99, 2500, 24, 23, 100000, 0, 0.00000, 0.00482, 0.00052, 0.02007, 0.00457, 0.00963, 0.00504, 0.00000, 0.04466, 2238992
0.99, 2500, 24, 24, 100000, 0, 0.00000, 0.00480, 0.00052, 0.02066, 0.00468, 0.00987, 0.00510, 0.00000, 0.04563, 2191351
0.99, 2500, 24, 25, 100000, 0, 0.00000, 0.00422, 0.00030, 0.01755, 0.00470, 0.00984, 0.00559, 0.00000, 0.04220, 2369689
0.99, 2500, 24, 26, 100000, 0, 0.00000, 0.00402, 0.00021, 0.01874, 0.00515, 0.00964, 0.00513, 0.00000, 0.04290, 2330877
0.99, 2500, 24, 27, 100000, 0, 0.00000, 0.00429, 0.00041, 0.01851, 0.00417, 0.00935, 0.00426, 0.00000, 0.04098, 2440278
0.99, 2500, 24, 28, 100000, 0, 0.00000, 0.00400, 0.00023, 0.01633, 0.00415, 0.00953, 0.00436, 0.00000, 0.03860, 2590718
0.99, 2500, 24, 29, 100000, 0, 0.00000, 0.00456, 0.00053, 0.02024, 0.00414, 0.00955, 0.00475, 0.00000, 0.04377, 2284819
0.99, 2500, 24, 30, 100000, 0, 0.00000, 0.00403, 0.00028, 0.01678, 0.00412, 0.01006, 0.00479, 0.00000, 0.04005, 2496654
0.99, 2500, 24, 31, 100000, 0, 0.00000, 0.00392, 0.00025, 0.01605, 0.00404, 0.00978, 0.00465, 0.00000, 0.03868, 2585015
0.99, 2500, 24, 32, 100000, 0, 0.00000, 0.00477, 0.00051, 0.02010, 0.00430, 0.00998, 0.00433, 0.00000, 0.04400, 2272926
0.99, 2500, 24, 33, 100000, 0, 0.00000, 0.00467, 0.00052, 0.02008, 0.00377, 0.00959, 0.00496, 0.00000, 0.04358, 2294672
0.99, 2500, 24, 34, 100000, 0, 0.00000, 0.00504, 0.00052, 0.02403, 0.00403, 0.00999, 0.00510, 0.00000, 0.04871, 2053133
0.99, 2500, 24, 35, 100000, 0, 0.00000, 0.00486, 0.00052, 0.02715, 0.00449, 0.00990, 0.00453, 0.00000, 0.05144, 1943900
0.99, 2500, 24, 36, 100000, 0, 0.00000, 0.00464, 0.00053, 0.02026, 0.00415, 0.00950, 0.00457, 0.00000, 0.04366, 2290650
0.99, 2500, 24, 37, 100000, 0, 0.00000, 0.00471, 0.00053, 0.02061, 0.00458, 0.01119, 0.00557, 0.00000, 0.04719, 2119117
0.99, 2500, 24, 38, 100000, 0, 0.00000, 0.00702, 0.00052, 0.02480, 0.00472, 0.00986, 0.00532, 0.00000, 0.05224, 1914069
0.99, 2500, 24, 39, 100000, 0, 0.00000, 0.00666, 0.00047, 0.02046, 0.00443, 0.00957, 0.00519, 0.00000, 0.04679, 2137405
0.99, 2500, 24, 40, 100000, 0, 0.00000, 0.00599, 0.00054, 0.02212, 0.00410, 0.00948, 0.00509, 0.00000, 0.04731, 2113817
0.99, 2500, 24, 41, 100000, 0, 0.00000, 0.00611, 0.00052, 0.02398, 0.00421, 0.00993, 0.00475, 0.00000, 0.04951, 2019895
0.99, 2500, 24, 42, 100000, 0, 0.00000, 0.00604, 0.00052, 0.03678, 0.00454, 0.00960, 0.00490, 0.00000, 0.06238, 1603104
0.99, 2500, 24, 43, 100000, 0, 0.00000, 0.00688, 0.00052, 0.02349, 0.00468, 0.00939, 0.00506, 0.00000, 0.05001, 1999647
0.99, 2500, 24, 44, 100000, 0, 0.00000, 0.00535, 0.00053, 0.02011, 0.00386, 0.00944, 0.00436, 0.00000, 0.04364, 2291352
0.99, 2500, 24, 45, 100000, 0, 0.00000, 0.00590, 0.00054, 0.02436, 0.00478, 0.00954, 0.00483, 0.00000, 0.04995, 2001856
0.99, 2500, 24, 46, 100000, 0, 0.00000, 0.00710, 0.00053, 0.02295, 0.00504, 0.00960, 0.00481, 0.00000, 0.05004, 1998545
0.99, 2500, 24, 47, 100000, 0, 0.00000, 0.00636, 0.00047, 0.02111, 0.00508, 0.00971, 0.00580, 0.00000, 0.04852, 2060816
0.99, 2500, 24, 48, 100000, 0, 0.00000, 0.00587, 0.00052, 0.02406, 0.00521, 0.01022, 0.00579, 0.00000, 0.05168, 1935054
0.99, 2500, 24, 49, 100000, 0, 0.00000, 0.00562, 0.00052, 0.02167, 0.00451, 0.00982, 0.00489, 0.00000, 0.04704, 2125971
